t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.42,3.314449578781676e-14,-8.182855417972158e-13,3.263474576974167e-13,2.813873283279188e-13,5.768541196202615e-14,-2.7320200680740203e-17,1.7770834242624052e-14,-5.687225694453023e-14,-1.2353728591718528e-12,9.197283810469335e-14,1.221276820619684e-11,-4.752691592534229e-12,3.683056319981107e-13,-1.9885309693909274e-15,-5.547297122116034e-16
0.43,1.8161987704918984e-14,7.748344901381944e-13,-5.336223249807358e-13,-5.621948549801455e-14,4.1298428384890654e-14,1.0935129703999605e-14,-2.0928604410207132e-15,-1.9275322770944e-13,1.4523422281771518e-13,5.914474356727087e-12,6.239260443017446e-12,1.982206959149805e-12,-8.384667662628966e-13,8.71531977649268e-14,-3.1515643806950214e-15
0.44,-6.106065063903672e-15,1.2975178104509551e-12,-5.742141256585002e-13,-3.074010783080664e-13,-4.118390847163069e-14,4.8335348564750675e-15,-2.2004588880796612e-14,1.013788556514315e-14,1.3847266557394177e-12,1.5347783051762918e-12,-1.0260936138009084e-11,5.560101433517816e-12,-7.085528599141473e-13,3.9730717995014e-14,-9.742221440645852e-16
0.45,-8.429595658109544e-16,7.356973865969016e-14,2.508862334801355e-13,-8.710468649397165e-14,-6.173413881737635e-14,-1.0023116200680218e-14,-4.005252042299425e-15,2.2193952625275968e-13,2.2264558581253655e-13,-5.703043661201468e-12,-9.063357289032634e-12,-2.34370176904915e-13,6.231863551199178e-13,-7.57806149307024e-14,2.949003651139207e-15
0.46,5.55702063683404e-15,-1.2243480460429144e-12,6.904397267402853e-13,2.6697290957263496e-13,1.4586690010162315e-14,-9.613136160583138e-15,2.4911980979610768e-14,5.1513965483715105e-14,-1.4394320188104801e-12,-3.158380786858492e-12,7.53384520770623e-12,-5.811873414644851e-12,9.856683781076393e-13,-7.434238432648364e-14,2.204846031702494e-15
0.47000000000000003,-1.6743331608594803e-14,-8.58847495786776e-13,8.956746189316784e-14,2.124674159956967e-13,7.042782410184674e-14,6.770845108270817e-15,1.2144584755977971e-14,-2.364187379463108e-13,-6.355805071223759e-13,5.02560379633609e-12,1.1066833934549297e-11,-1.6513912540013398e-12,-2.8841837687538846e-13,4.823876605645648e-14,-2.0718688470053835e-15
0.48,-3.470339555273431e-14,6.411726262634454e-13,-6.410517004517636e-13,-1.6633768235680638e-13,1.7534332479355284e-14,1.335061313616822e-14,-2.5940006232968472e-14,-1.24536809697714e-13,1.380686274064422e-12,4.642852229180794e-12,-4.278949544746246e-12,5.444523417923327e-12,-1.146972052179355e-12,9.841063409326851e-14,-3.2188996883534757e-15
0.49,-9.878438738124447e-15,1.2523896291094473e-12,-4.0708848137338983e-13,-2.9101813359578167e-13,-6.449447265577824e-14,-1.457657304864031e-15,-2.186798004233815e-14,2.309458488569628e-13,1.0618547040323846e-12,-3.909228031955263e-12,-1.2112903807762134e-11,3.4698307239472903e-12,-1.267203623799137e-13,-9.151022089615504e-15,7.341412430771944e-16
0.5,5.2355414789781105e-14,1.855821777447999e-13,4.3773464331888466e-13,2.7982549952306965e-14,-4.790813267472639e-14,-1.533783205152385e-14,2.4154015240826152e-14,2.0438397813917451e-13,-1.1960216379834718e-12,-5.85790579794008e-12,7.808344323499607e-13,-4.464901128805937e-12,1.156133311509171e-12,-1.060193108298876e-13,3.601062319429776e-15
0.51,5.106528874342271e-14,-1.1008188548807928e-12,6.271877717970321e-13,3.031414264845645e-13,4.420619211941042e-14,-4.976687871484017e-15,3.271538381454005e-14,-2.0167307968467323e-13,-1.4661707008797441e-12,2.4210218417975316e-12,1.2147675514827998e-11,-5.0120599910782795e-12,5.641001819031276e-13,-3.446884027117833e-14,6.976502166765319e-16
0.52,-1.5290645540098208e-14,-8.940876806821409e-13,-1.1917976506939723e-13,1.1751978378068614e-13,6.998142164501772e-14,1.4398279389506857e-14,-1.866901950956304e-14,-2.841567381243505e-13,8.851989982488172e-13,6.68899990599733e-12,2.667274516217951e-12,2.950999653786226e-12,-9.968818305561289e-13,9.516138013221723e-14,-3.496716330657519e-15
0.53,-8.403826882974995e-14,4.907241910186936e-13,-6.90997196392323e-13,-2.4589490803228996e-13,-1.2248472499925764e-14,1.1548464143524076e-14,-4.3623548648180285e-14,1.459695842117529e-13,1.8092417517769858e-12,-6.618905964495599e-13,-1.1204700656744981e-11,6.092027100471466e-12,-9.588993112724913e-13,7.41646429328318e-14,-2.2301970925391046e-15
