{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{8.992806499463768*^-15 + 0.*I, 0.717061635941519 + 0.*I, 0.6550692624149258 + 0.*I, 0.069365531306528 + 0.*I, 0.08395322152710392 + 0.*I, 0.0010442829503489737 + 0.*I, 0.0010442809964570365 + 0.*I, 2.3499754200351215*^-6 + 0.*I, 1.9411206789721187*^-6 + 0.*I, 1.415293993112243*^-9 + 0.*I, 1.4152440191983473*^-9 + 0.*I, 4.359845817702989*^-13 + 0.*I, 5.300204719560497*^-13 + 0.*I, 1.3988810110276971*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{9.992007221626407*^-16 + 0.*I, 0.7050416227581291 + 0.*I, 0.637215850909201 + 0.*I, 0.07323311256350205 + 0.*I, 0.08993293651293997 + 0.*I, 0.0012694719963499688 + 0.*I, 0.0012694687024870086 + 0.*I, 3.232957705989747*^-6 + 0.*I, 2.6318119830115445*^-6 + 0.*I, 2.183275005229745*^-9 + 0.*I, 2.1831649960057926*^-9 + 0.*I, 7.579492589115944*^-13 + 0.*I, 9.349188090368443*^-13 + 0.*I, 5.995204332975845*^-15 + 0.*I, 3.108624468950438*^-15 + 0.*I}
{9.992007221626409*^-15 + 0.*I, 0.6931102842614579 + 0.*I, 0.6192287838426319 + 0.*I, 0.076934060432981 + 0.*I, 0.09588107908707198 + 0.*I, 0.0015293246556179472 + 0.*I, 0.0015293192195690029 + 0.*I, 4.390548471011613*^-6 + 0.*I, 3.521717811927338*^-6 + 0.*I, 3.312552010470426*^-9 + 0.*I, 3.312330049132228*^-9 + 0.*I, 1.3009593402557584*^-12 + 0.*I, 1.6269208202857042*^-12 + 0.*I, 2.1094237467877974*^-15 + 0.*I, 0. + 0.*I}
{3.996802888650563*^-15 + 0.*I, 0.681269581683689 + 0.*I, 0.6011298896897729 + 0.*I, 0.080447165504542 + 0.*I, 0.10176561611453006 + 0.*I, 0.001826486957131945 + 0.*I, 0.0018264781653619664 + 0.*I, 5.889479929965802*^-6 + 0.*I, 4.65395783200151*^-6 + 0.*I, 4.9473529717403145*^-9 + 0.*I, 4.94694397945583*^-9 + 0.*I, 2.209010752096674*^-12 + 0.*I, 2.8119728767705965*^-12 + 0.*I, 7.993605777301126*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I}
{4.9960036108132044*^-15 + 0.*I, 0.669518423765761 + 0.*I, 0.582940422671293 + 0.*I, 0.08375502177200998 + 0.*I, 0.10755778920649205 + 0.*I, 0.0021633660479549732 + 0.*I, 0.0021633521007710095 + 0.*I, 7.807489459943362*^-6 + 0.*I, 6.077226597067664*^-6 + 0.*I, 7.279036928764525*^-9 + 0.*I, 7.278282046496719*^-9 + 0.*I, 3.679945237422543*^-12 + 0.*I, 4.748090809414407*^-12 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
{1.0991207943789048*^-14 + 0.*I, 0.657852851695963 + 0.*I, 0.56468123543694 + 0.*I, 0.08684407628406798 + 0.*I, 0.11323277607851001 + 0.*I, 0.0025420605304160566 + 0.*I, 0.0025420388093209123 + 0.*I, 0.000010233905109902073 + 0.*I, 7.845653487992264*^-6 + 0.*I, 1.0557690055534863*^-8 + 0.*I, 1.055633595814509*^-8 + 0.*I, 6.021960707869311*^-12 + 0.*I, 7.886025166214948*^-12 + 0.*I, 8.104628079763641*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
{1.9984014443252814*^-15 + 0.*I, 0.646266259533321 + 0.*I, 0.5463729627357039 + 0.*I, 0.08970456444088293 + 0.*I, 0.11877021864786108 + 0.*I, 0.0029642961891290782 + 0.*I, 0.002964262954129992 + 0.*I, 0.000013269998582088325 + 0.*I, 0.000010018441275017052 + 0.*I, 1.5105522943592572*^-8 + 0.*I, 1.5103176015385245*^-8 + 0.*I, 9.70790114962483*^-12 + 0.*I, 1.292299600663682*^-11 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.6347496463346091 + 0.*I, 0.52803620713837 + 0.*I, 0.09233033905303199 + 0.*I, 0.12415459570307895 + 0.*I, 0.00343137018850892 + 0.*I, 0.0034313201925959547 + 0.*I, 0.000017029060027984322 + 0.*I, 0.000012659257241920407 + 0.*I, 2.1331988064865467*^-8 + 0.*I, 2.132799202525515*^-8 + 0.*I, 1.5411005804821795*^-11 + 0.*I, 2.0826007585128533*^-11 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626407*^-16 + 0.*I}
{8.104628079763641*^-15 + 0.*I, 0.6232918957056989 + 0.*I, 0.5096917177582779 + 0.*I, 0.094718604250134 + 0.*I, 0.12937542554454404 + 0.*I, 0.003944106580289985 + 0.*I, 0.0039440325893379535 + 0.*I, 0.00002163615615791148 + 0.*I, 0.00001583535810401049 + 0.*I, 2.975024804285908*^-8 + 0.*I, 2.9743598015108393*^-8 + 0.*I, 2.4113044894136237*^-11 + 0.*I, 3.309796881012516*^-11 + 0.*I, 9.992007221626407*^-16 + 0.*I, 3.996802888650563*^-15 + 0.*I}
{8.104628079763641*^-15 + 0.*I, 0.6118800780443688 + 0.*I, 0.49136055317290395 + 0.*I, 0.096869567842349 + 0.*I, 0.1344272923325099 + 0.*I, 0.004502825535180999 + 0.*I, 0.004502717743511963 + 0.*I, 0.000027227542075070055 + 0.*I, 0.000019616439622005544 + 0.*I, 4.099499895104941*^-8 + 0.*I, 4.0984168031554795*^-8 + 0.*I, 3.7214009651620466*^-11 + 0.*I, 5.1877058204752296*^-11 + 0.*I, 7.993605777301126*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
