{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{4.396483177515619*^-14 + 0.*I, 0.355477578933311 + 0.*I, 0.2625825443846879 + 0.*I, 0.0010450524524940605 + 0.*I, 0.0003113572399560116 + 0.*I, 0.03186021704146902 + 0.*I, 0.052175973890752014 + 0.*I, 0.0014905015110979745 + 0.*I, 0.00013250797237995823 + 0.*I, 9.617243030057843*^-6 + 0.*I, 8.950187678991027*^-6 + 0.*I, 0.000024941561649005628 + 0.*I, 0.000264167638901025 + 0.*I, 5.995204332975845*^-15 + 0.*I, 1.2101430968414205*^-14 + 0.*I}
{3.896882816434299*^-14 + 0.*I, 0.3553794787657479 + 0.*I, 0.26459446279059595 + 0.*I, 0.00549286253636802 + 0.*I, 0.00153754981679699 + 0.*I, 0.030036113242897008 + 0.*I, 0.050730311080960044 + 0.*I, 0.0014514322947239977 + 0.*I, 0.00014525371804097184 + 0.*I, 0.000011935330722967484 + 0.*I, 0.000011069054651979826 + 0.*I, 0.000029178995111012185 + 0.*I, 0.00027419718970900225 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{3.597122599785507*^-14 + 0.*I, 0.35496436225866196 + 0.*I, 0.2662971570477479 + 0.*I, 0.012159535874900039 + 0.*I, 0.0031918065024629794 + 0.*I, 0.028228346770161058 + 0.*I, 0.049275599743387015 + 0.*I, 0.001413051880032934 + 0.*I, 0.00015832887114497485 + 0.*I, 0.000014590121732993566 + 0.*I, 0.000013482256992963791 + 0.*I, 0.000033903483410924196 + 0.*I, 0.0002842744706140765 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{3.608224830031759*^-14 + 0.*I, 0.354242348671692 + 0.*I, 0.267699331649054 + 0.*I, 0.018944042488308024 + 0.*I, 0.0046531648059149324 + 0.*I, 0.026441905441154986 + 0.*I, 0.04781698954253299 + 0.*I, 0.0013753856450909874 + 0.*I, 0.00017166549622893432 + 0.*I, 0.000017598690231990233 + 0.*I, 0.000016202779339002937 + 0.*I, 0.00003914096288593071 + 0.*I, 0.00029437002221699426 + 0.*I, 8.104628079763641*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{2.4980018054066022*^-14 + 0.*I, 0.35322585989220495 + 0.*I, 0.2688118984509169 + 0.*I, 0.025835491104241073 + 0.*I, 0.005923601691819935 + 0.*I, 0.024681290982158984 + 0.*I, 0.046359412472095955 + 0.*I, 0.0013384934102380617 + 0.*I, 0.0001852004071720703 + 0.*I, 0.00002097412343005089 + 0.*I, 0.000019240425216032753 + 0.*I, 0.000044916597289001985 + 0.*I, 0.00030445352845798185 + 0.*I, 1.3988810110276971*^-14 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{2.4980018054066022*^-14 + 0.*I, 0.35192933711276 + 0.*I, 0.26964760411701294 + 0.*I, 0.03282303168091396 + 0.*I, 0.0070053063300630205 + 0.*I, 0.022950497005606026 + 0.*I, 0.04490751228321099 + 0.*I, 0.0013024676231599974 + 0.*I, 0.00019887878478697105 + 0.*I, 0.000024724517444063562 + 0.*I, 0.000022601085639950558 + 0.*I, 0.00005125497708502457 + 0.*I, 0.00031449436969199773 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{1.4988010832439613*^-14 + 0.*I, 0.3503689088593949 + 0.*I, 0.27022061769539996 + 0.*I, 0.039895849528916 + 0.*I, 0.007900678507472001 + 0.*I, 0.021253003204318995 + 0.*I, 0.04346558384740207 + 0.*I, 0.0012674302874289276 + 0.*I, 0.00021265780801893447 + 0.*I, 0.00002885191899004713 + 0.*I, 0.000026285943849013726 + 0.*I, 0.00005818040607796782 + 0.*I, 0.0003244622792749618 + 0.*I, 1.199040866595169*^-14 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{1.199040866595169*^-14 + 0.*I, 0.34856202018238597 + 0.*I, 0.270546092013429 + 0.*I, 0.04704314748041202 + 0.*I, 0.008612337191246986 + 0.*I, 0.019591784734184988 + 0.*I, 0.04203752365560997 + 0.*I, 0.001233528808075923 + 0.*I, 0.0002265101101679434 + 0.*I, 0.00003335124938796951 + 0.*I, 0.00003029063445897373 + 0.*I, 0.00006571726117998722 + 0.*I, 0.0003343280896099809 + 0.*I, 3.996802888650563*^-15 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{9.992007221626407*^-16 + 0.*I, 0.346527033945084 + 0.*I, 0.27063971285885197 + 0.*I, 0.05425411807676194 + 0.*I, 0.009143137792195997 + 0.*I, 0.01796933532579703 + 0.*I, 0.040626792298823045 + 0.*I, 0.0012009309559980472 + 0.*I, 0.0002404268762900008 + 0.*I, 0.00003820925650599438 + 0.*I, 0.00003460438149996414 + 0.*I, 0.00007389040546901259 + 0.*I, 0.00034406454892099697 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.598721155460225*^-14 + 0.*I}
{1.9984014443252814*^-15 + 0.*I, 0.34428281591246 + 0.*I, 0.27051724970417196 + 0.*I, 0.061517908279231974 + 0.*I, 0.009496196320558065 + 0.*I, 0.01638770230505493 + 0.*I, 0.03923638939681806 + 0.*I, 0.0011698191722110396 + 0.*I, 0.000254420415210066 + 0.*I, 0.000043403546104991975 + 0.*I, 0.00003920914531105323 + 0.*I, 0.00008272562961708639 + 0.*I, 0.000353647185904915 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{4.9960036108132044*^-15 + 0.*I, 0.34184831572639 + 0.*I, 0.27019412109475205 + 0.*I, 0.06882357962958795 + 0.*I, 0.009674918351335021 + 0.*I, 0.014848531415380006 + 0.*I, 0.03786884105188604 + 0.*I, 0.0011403844428869991 + 0.*I, 0.00026852606910798826 + 0.*I, 0.0000489017473729314 + 0.*I, 0.000044078812166031815 + 0.*I, 0.00009225009282198826 + 0.*I, 0.00036305519772295014 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{1.7097434579227408*^-14 + 0.*I, 0.33924215584712997 + 0.*I, 0.26968498683325104 + 0.*I, 0.07616006707245795 + 0.*I, 0.00968303053053998 + 0.*I, 0.01335311912161008 + 0.*I, 0.03652619951822811 + 0.*I, 0.0011128199765769729 + 0.*I, 0.00028280336141195406 + 0.*I, 0.000054660865799971425 + 0.*I, 0.00004917846339702602 + 0.*I, 0.00010249273121099023 + 0.*I, 0.00037227233694592243 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{1.9984014443252818*^-14 + 0.*I, 0.336482240148223 + 0.*I, 0.26900337783883893 + 0.*I, 0.08351613977969899 + 0.*I, 0.009524612267493043 + 0.*I, 0.011902469938405045 + 0.*I, 0.03521005441136105 + 0.*I, 0.0010873149066420451 + 0.*I, 0.00029733632859596515 + 0.*I, 0.00006062687165298008 + 0.*I, 0.00005446376180795464 + 0.*I, 0.0001134846006050072 + 0.*I, 0.0003812877753780475 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{3.19744231092045*^-14 + 0.*I, 0.33358539309177293 + 0.*I, 0.268161373111863 + 0.*I, 0.09088036727431602 + 0.*I, 0.009204125275248968 + 0.*I, 0.010497356265958933 + 0.*I, 0.033921554449125035 + 0.*I, 0.001064048225000058 + 0.*I, 0.00031223302719696194 + 0.*I, 0.00006673456230399388 + 0.*I, 0.00005988049326999256 + 0.*I, 0.00012525911981098314 + 0.*I, 0.00039009692621994047 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.9095836023552692*^-14 + 0.*I}
{3.597122599785507*^-14 + 0.*I, 0.33056703931675785 + 0.*I, 0.26716933166141194 + 0.*I, 0.09824109393343695 + 0.*I, 0.008726438742648 + 0.*I, 0.009138378234939015 + 0.*I, 0.03266143843170798 + 0.*I, 0.0010431831293350455 + 0.*I, 0.0003276242524039574 + 0.*I, 0.00007290772387302802 + 0.*I, 0.00006536429970196987 + 0.*I, 0.0001378521823129919 + 0.*I, 0.00039870221096793834 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{3.608224830031759*^-14 + 0.*I, 0.32744093208926606 + 0.*I, 0.266035685604435 + 0.*I, 0.10558642456062693 + 0.*I, 0.008096848142699035 + 0.*I, 0.007826021161133954 + 0.*I, 0.031430073943253034 + 0.*I, 0.0010248619367669853 + 0.*I, 0.0003436615437010237 + 0.*I, 0.0000790596016230216 + 0.*I, 0.00007084063724402401 + 0.*I, 0.000151302106485951 + 0.*I, 0.00040711376256297166 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{4.707345624410663*^-14 + 0.*I, 0.32421893744173097 + 0.*I, 0.2647667989571231 + 0.*I, 0.11290422317215006 + 0.*I, 0.007321085994249964 + 0.*I, 0.006560708388252955 + 0.*I, 0.03022750209896796 + 0.*I, 0.0010092016834549744 + 0.*I, 0.00036051458390196073 + 0.*I, 0.00008509367148701319 + 0.*I, 0.00007622498960099809 + 0.*I, 0.00016564939843999316 + 0.*I, 0.0004153500609680449 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{5.095923683029468*^-14 + 0.*I, 0.32091087903097787 + 0.*I, 0.2633668949337819 + 0.*I, 0.12018212646635203 + 0.*I, 0.006405323283429103 + 0.*I, 0.00534284755297898 + 0.*I, 0.029053486575002948 + 0.*I, 0.0009962904950600038 + 0.*I, 0.0003783681189108989 + 0.*I, 0.00009090468837291697 + 0.*I, 0.00008142336156297114 + 0.*I, 0.00018093630676496716 + 0.*I, 0.0004234385011380181 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{5.795364188543317*^-14 + 0.*I, 0.31752444683446696 + 0.*I, 0.261838052856875 + 0.*I, 0.1274075726730699 + 0.*I, 0.005356160700364042 + 0.*I, 0.004172868632405957 + 0.*I, 0.027907565141228937 + 0.*I, 0.0009861847777589137 + 0.*I, 0.0003974185342849878 + 0.*I, 0.00009637997086198169 + 0.*I, 0.00008633307162897451 + 0.*I, 0.00019720615476004344 + 0.*I, 0.0004314158951710389 + 0.*I, 6.106226635438361*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{5.706546346573303*^-14 + 0.*I, 0.314065170848035 + 0.*I, 0.2601802740686221 + 0.*I, 0.13456784565564306 + 0.*I, 0.004180609333187979 + 0.*I, 0.0030512525231969345 + 0.*I, 0.026789101966998016 + 0.*I, 0.0009789072468380231 + 0.*I, 0.00041787022275807656 + 0.*I, 0.00010140086995302776 + 0.*I, 0.00009084385463298261 + 0.*I, 0.00021450244332099633 + 0.*I, 0.0004393289105439901 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{5.295763827461996*^-14 + 0.*I, 0.3105364590095379 + 0.*I, 0.2583916145252251 + 0.*I, 0.14165013330751605 + 0.*I, 0.002886060962053987 + 0.*I, 0.001978549339295976 + 0.*I, 0.025697339078785904 + 0.*I, 0.000974445779855948 + 0.*I, 0.00043993186417201624 + 0.*I, 0.00010584436018701292 + 0.*I, 0.00009483927586304008 + 0.*I, 0.00023286772638708705 + 0.*I, 0.0004472344438849474 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{6.09512440519211*^-14 + 0.*I, 0.30693969671433896 + 0.*I, 0.256468380058645 + 0.*I, 0.14864159849954092 + 0.*I, 0.00148024858538498 + 0.*I, 0.0009553860849560446 + 0.*I, 0.02463144550708607 + 0.*I, 0.0009727530565799557 + 0.*I, 0.00046381271856899 + 0.*I, 0.0001095846875419637 + 0.*I, 0.00009819844651404173 + 0.*I, 0.00025234227059001135 + 0.*I, 0.0004551999260280492 + 0.*I, 8.992806499463768*^-15 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{6.006306563222097*^-14 + 0.*I, 0.303274403563902 + 0.*I, 0.254405378626985 + 0.*I, 0.15552946014046296 + 0.*I, 0.000028801736144973274 + 0.*I, 0.00001753615834593214 + 0.*I, 0.02359056285542593 + 0.*I, 0.0009737469276870357 + 0.*I, 0.0004897190066119883 + 0.*I, 0.00011249500862098304 + 0.*I, 0.00010079801681603383 + 0.*I, 0.0002729625214580311 + 0.*I, 0.00046330354828205683 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{6.306066779870889*^-14 + 0.*I, 0.2995384414474989 + 0.*I, 0.25219622227489197 + 0.*I, 0.1623010813546879 + 0.*I, 0.001632826237474988 + 0.*I, 0.0009394549213080083 + 0.*I, 0.022573846246892956 + 0.*I, 0.0009773114400539738 + 0.*I, 0.0005178504229039759 + 0.*I, 0.00011444895999401794 + 0.*I, 0.00010251440802999667 + 0.*I, 0.00029475941013401563 + 0.*I, 0.00047163439428898885 + 0.*I, 8.104628079763641*^-15 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{6.306066779870889*^-14 + 0.*I, 0.2957282667376219 + 0.*I, 0.24983367003301904 + 0.*I, 0.168944061393644 + 0.*I, 0.0033233842125330593 + 0.*I, 0.0018095678644469981 + 0.*I, 0.02158049983903398 + 0.*I, 0.0009832984377119436 + 0.*I, 0.0005483967991150028 + 0.*I, 0.00011532210457299019 + 0.*I, 0.00010322622806202551 + 0.*I, 0.00031775654610499693 + 0.*I, 0.0004802924561989607 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.7097434579227408*^-14 + 0.*I}
{7.30526750203353*^-14 + 0.*I, 0.2918392183132079 + 0.*I, 0.24731000165790296 + 0.*I, 0.17544632770239196 + 0.*I, 0.00509192216418397 + 0.*I, 0.0026270616934979396 + 0.*I, 0.02060980633786702 + 0.*I, 0.000991529653726064 + 0.*I, 0.0005815349099740351 + 0.*I, 0.00011499321180996612 + 0.*I, 0.00010281679892792937 + 0.*I, 0.00034196835345801086 + 0.*I, 0.000489388510245936 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{6.106226635438361*^-14 + 0.*I, 0.287865832330351 + 0.*I, 0.2446174110123059 + 0.*I, 0.181796224573795 + 0.*I, 0.006929839203405979 + 0.*I, 0.0033911467348279874 + 0.*I, 0.019661150175546923 + 0.*I, 0.0010017992089920156 + 0.*I, 0.0006174253963199261 + 0.*I, 0.00011334533967999326 + 0.*I, 0.00010117670890805174 + 0.*I, 0.0003673982189059677 + 0.*I, 0.0004990438255809693 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{6.505906924303416*^-14 + 0.*I, 0.28380217414982495 + 0.*I, 0.24174840707881906 + 0.*I, 0.18798259503444104 + 0.*I, 0.008828551548868966 + 0.*I, 0.004101095217056954 + 0.*I, 0.018734034237142035 + 0.*I, 0.0010138764380569487 + 0.*I, 0.0006562097699150948 + 0.*I, 0.00011026669729208294 + 0.*I, 0.00009820628910697792 + 0.*I, 0.00039403672919602334 + 0.*I, 0.0005093896826010579 + 0.*I, 3.996802888650563*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{6.306066779870889*^-14 + 0.*I, 0.27964217760471594 + 0.*I, 0.23869621014806294 + 0.*I, 0.19399485300469105 + 0.*I, 0.010779554073221063 + 0.*I, 0.004756281190201993 + 0.*I, 0.017828090225130985 + 0.*I, 0.001027508968656998 + 0.*I, 0.0006980074634330702 + 0.*I, 0.00010565127637796046 + 0.*I, 0.00009381790569598646 + 0.*I, 0.00042186008266198444 + 0.*I, 0.0005205666836909373 + 0.*I, 7.993605777301126*^-15 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{6.894484982922222*^-14 + 0.*I, 0.27537998184400697 + 0.*I, 0.23545513067886903 + 0.*I, 0.19982304333037698 + 0.*I, 0.012774477034366958 + 0.*I, 0.005356220005395956 + 0.*I, 0.01694308293070401 + 0.*I, 0.0010424259894069585 + 0.*I, 0.0007429128976430555 + 0.*I, 0.00009939924769597484 + 0.*I, 0.00008793795599501551 + 0.*I, 0.0004508287629239049 + 0.*I, 0.000532723849614003 + 0.*I, 1.5099033134902126*^-14 + 0.*I, 1.4099832412739486*^-14 + 0.*I}
{6.195044477408373*^-14 + 0.*I, 0.271010256303768 + 0.*I, 0.23202091872622496 + 0.*I, 0.20545788795969908 + 0.*I, 0.014805136407967906 + 0.*I, 0.005900605373323015 + 0.*I, 0.016078908838257022 + 0.*I, 0.0010583416485490105 + 0.*I, 0.000790992554789982 + 0.*I, 0.00009141712339399975 + 0.*I, 0.00008050846080306927 + 0.*I, 0.0004808865624329472 + 0.*I, 0.0005460175098650487 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I}
{6.60582699651968*^-14 + 0.*I, 0.26652850491703695 + 0.*I, 0.2283910726861049 + 0.*I, 0.21089081729001705 + 0.*I, 0.01686357658293 + 0.*I, 0.006389342210562059 + 0.*I, 0.015235589621114931 + 0.*I, 0.0010749585345100063 + 0.*I, 0.0008422820713859247 + 0.*I, 0.0000816176902879162 + 0.*I, 0.00007148815734903112 + 0.*I, 0.0005119600377260225 + 0.*I, 0.0005606100125049585 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{5.995204332975845*^-14 + 0.*I, 0.261931341450239 + 0.*I, 0.224565097401316 + 0.*I, 0.21611398648934596 + 0.*I, 0.01894210457588105 + 0.*I, 0.006822573755946053 + 0.*I, 0.014413261192717018 + 0.*I, 0.0010919711956259848 + 0.*I, 0.0008967833922339796 + 0.*I, 0.0000699197203050117 + 0.*I, 0.00006085301748501303 + 0.*I, 0.0005439584669939545 + 0.*I, 0.0005766682989160054 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{6.106226635438361*^-14 + 0.*I, 0.257216728819372 + 0.*I, 0.22054470336979903 + 0.*I, 0.221120277359009 + 0.*I, 0.021033315341632025 + 0.*I, 0.007200701774549011 + 0.*I, 0.013612159058710936 + 0.*I, 0.0011090696619079352 + 0.*I, 0.0009544620588201046 + 0.*I, 0.00005624746684507186 + 0.*I, 0.0000485961431969939 + 0.*I, 0.0005767743642689503 + 0.*I, 0.0005943624081778953 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{6.206146707654625*^-14 + 0.*I, 0.252384176360669 + 0.*I, 0.21633394083004495 + 0.*I, 0.22590328700394097 + 0.*I, 0.023130108183112005 + 0.*I, 0.007524399045209989 + 0.*I, 0.012832600771035095 + 0.*I, 0.0011259429352570292 + 0.*I, 0.001015244735017018 + 0.*I, 0.000040529957882950995 + 0.*I, 0.00003472702527401727 + 0.*I, 0.0006102845820330494 + 0.*I, 0.0006138639943069623 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{6.195044477408373*^-14 + 0.*I, 0.247434890274941 + 0.*I, 0.21193926478129796 + 0.*I, 0.230457305178515 + 0.*I, 0.025225694675112043 + 0.*I, 0.0077946137234210225 + 0.*I, 0.012074966315991031 + 0.*I, 0.0011422824162459209 + 0.*I, 0.0010790170991520354 + 0.*I, 0.00002270010142102485 + 0.*I, 0.000019270188736958405 + 0.*I, 0.0006443520074149722 + 0.*I, 0.0006353449536650179 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{6.694644838489693*^-14 + 0.*I, 0.24237187379729908 + 0.*I, 0.20736952942474993 + 0.*I, 0.23477728265063 + 0.*I, 0.02731359889246898 + 0.*I, 0.008012565564344959 + 0.*I, 0.011339677275001958 + 0.*I, 0.0011577852363869878 + 0.*I, 0.0011456222507230107 + 0.*I, 2.6936261660059913*^-6 + 0.*I, 2.2632876559569577*^-6 + 0.*I, 0.0006788278271350201 + 0.*I, 0.0006589762695909939 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.598721155460225*^-14 + 0.*I}
{5.39568389967826*^-14 + 0.*I, 0.237199975031236 + 0.*I, 0.2026359129729209 + 0.*I, 0.23885879325565798 + 0.*I, 0.029387651059341043 + 0.*I, 0.008179734358261026 + 0.*I, 0.010627175579142055 + 0.*I, 0.0011721574638279273 + 0.*I, 0.0012148597896270983 + 0.*I, 0.00001955210925597139 + 0.*I, 0.000016245250587992865 + 0.*I, 0.0007135543038979675 + 0.*I, 0.000684927183929096 + 0.*I, 3.996802888650563*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{6.09512440519211*^-14 + 0.*I, 0.23192588179343496 + 0.*I, 0.19775177615426798 + 0.*I, 0.242697992486335 + 0.*I, 0.03144197599810594 + 0.*I, 0.008297841255614974 + 0.*I, 0.009937902638088025 + 0.*I, 0.0011851171493519883 + 0.*I, 0.001286485724441011 + 0.*I, 0.00004409939178695587 + 0.*I, 0.00003619889870307147 + 0.*I, 0.0007483679752140482 + 0.*I, 0.000713364800397076 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{5.795364188543317*^-14 + 0.*I, 0.226558064211138 + 0.*I, 0.19273245993010998 + 0.*I, 0.24629157548480096 + 0.*I, 0.03347097794528505 + 0.*I, 0.00836882392725094 + 0.*I, 0.009272279561802987 + 0.*I, 0.001196397177919972 + 0.*I, 0.001360213352421091 + 0.*I, 0.00007101145221699579 + 0.*I, 0.00005753586241100116 + 0.*I, 0.000783103155495013 + 0.*I, 0.0007444542125160102 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{4.4964032497318834*^-14 + 0.*I, 0.22110666716657698 + 0.*I, 0.18759502984848994 + 0.*I, 0.24963673717791898 + 0.*I, 0.035469323411505015 + 0.*I, 0.008394806707775952 + 0.*I, 0.008630689111225998 + 0.*I, 0.0012057478902829375 + 0.*I, 0.0014357152274209195 + 0.*I, 0.00010035370815297817 + 0.*I, 0.00008019189877797595 + 0.*I, 0.0008175955969800253 + 0.*I, 0.0007783592289640762 + 0.*I, 5.995204332975845*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{5.495603971894524*^-14 + 0.*I, 0.21558335596280095 + 0.*I, 0.182357976007786 + 0.*I, 0.25273113704081396 + 0.*I, 0.03743192378987794 + 0.*I, 0.00837806700227897 + 0.*I, 0.008013459914764987 + 0.*I, 0.0012129394383849634 + 0.*I, 0.0015126262938159882 + 0.*I, 0.0001321948595309763 + 0.*I, 0.00010410294097498717 + 0.*I, 0.0008516861452849688 + 0.*I, 0.0008152437429890247 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.8984813721090174*^-14 + 0.*I}
{5.60662627435704*^-14 + 0.*I, 0.21000111976507507 + 0.*I, 0.17704087874345897 + 0.*I, 0.2555728706074969 + 0.*I, 0.03935391936334997 + 0.*I, 0.008320999298587038 + 0.*I, 0.007420853374477954 + 0.*I, 0.0012177638398610524 + 0.*I, 0.001590548215837928 + 0.*I, 0.00016660773391807826 + 0.*I, 0.000129207356391936 + 0.*I, 0.0008852242145359622 + 0.*I, 0.0008552737618700013 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.2101430968414205*^-14 + 0.*I}
{5.295763827461996*^-14 + 0.*I, 0.20437403842686397 + 0.*I, 0.17166405085630396 + 0.*I, 0.25816044939278593 + 0.*I, 0.041230666230095046 + 0.*I, 0.008226078122838959 + 0.*I, 0.006853053563332988 + 0.*I, 0.001220036698796001 + 0.*I, 0.0016690548760041057 + 0.*I, 0.00020366977392094474 + 0.*I, 0.00015544768196903977 + 0.*I, 0.0009180709043060674 + 0.*I, 0.0008986200787620688 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{4.307665335545607*^-14 + 0.*I, 0.19871701921555107 + 0.*I, 0.16624816747096005 + 0.*I, 0.26049279037136497 + 0.*I, 0.043057727462367995 + 0.*I, 0.008095821213049052 + 0.*I, 0.006310160287169019 + 0.*I, 0.0012195985641639817 + 0.*I, 0.0017476989554570108 + 0.*I, 0.00024346306305700338 + 0.*I, 0.00018277170570207835 + 0.*I, 0.0009501015880060135 + 0.*I, 0.0009454615349839822 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{4.9960036108132044*^-14 + 0.*I, 0.19304551069093598 + 0.*I, 0.16081389447147199 + 0.*I, 0.262569215601036 + 0.*I, 0.044830869548289964 + 0.*I, 0.007932754072584062 + 0.*I, 0.005792185357624935 + 0.*I, 0.0012163159026800097 + 0.*I, 0.0018260194480940184 + 0.*I, 0.00028607379854794773 + 0.*I, 0.00021113279556803086 + 0.*I, 0.0009812078191929752 + 0.*I, 0.000995988788627944 + 0.*I, 7.993605777301126*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{4.8960835385969403*^-14 + 0.*I, 0.18737520154177098 + 0.*I, 0.15538152594810303 + 0.*I, 0.26438946200131497 + 0.*I, 0.04654606484760193 + 0.*I, 0.007739376914187024 + 0.*I, 0.005299051999663961 + 0.*I, 0.0012100816699819328 + 0.*I, 0.001903549902560031 + 0.*I, 0.00033159114204794893 + 0.*I, 0.00024048941290599754 + 0.*I, 0.001011298427339935 + 0.*I, 0.0010504084765369235 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{4.396483177515619*^-14 + 0.*I, 0.18172171253848388 + 0.*I, 0.149970640262721 + 0.*I, 0.265953700726857 + 0.*I, 0.04819950043564799 + 0.*I, 0.007518134826763 + 0.*I, 0.0048305972044490044 + 0.*I, 0.0012008154718760042 + 0.*I, 0.0019798271356679105 + 0.*I, 0.0003801054109409119 + 0.*I, 0.0002708037843980881 + 0.*I, 0.0010402997072259668 + 0.*I, 0.0011089476337210467 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{5.10702591327572*^-14 + 0.*I, 0.176100289903808 + 0.*I, 0.144599783263329 + 0.*I, 0.267262565027905 + 0.*I, 0.049787593328096014 + 0.*I, 0.007271391802487009 + 0.*I, 0.004386576739274005 + 0.*I, 0.0011884633168310899 + 0.*I, 0.002054400121451971 + 0.*I, 0.0004317056116239781 + 0.*I, 0.0003020397425919363 + 0.*I, 0.0010681546434679887 + 0.*I, 0.0011718582172609569 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{5.2069459854919835*^-14 + 0.*I, 0.17052550833238497 + 0.*I, 0.13928618591972097 + 0.*I, 0.26831718498603896 + 0.*I, 0.051307011690374014 + 0.*I, 0.007001409061405006 + 0.*I, 0.003966672444590923 + 0.*I, 0.0011729969703009322 + 0.*I, 0.002126838734812009 + 0.*I, 0.00048647636002296935 + 0.*I, 0.0003341597778260263 + 0.*I, 0.0010948211524850482 + 0.*I, 0.001239421572669985 + 0.*I, 7.993605777301126*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{5.695444116327052*^-14 + 0.*I, 0.16501099160451005 + 0.*I, 0.1340455222779979 + 0.*I, 0.2691192270702 + 0.*I, 0.05275470125571094 + 0.*I, 0.0067103279133049745 + 0.*I, 0.0035705013858779995 + 0.*I, 0.0011544129315079754 + 0.*I, 0.0021967420195919685 + 0.*I, 0.0005444942801060559 + 0.*I, 0.000367121373178042 + 0.*I, 0.001120269365160964 + 0.*I, 0.0013119526774220123 + 0.*I, 5.995204332975845*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
