{1.1044263947823652*^-6 + 0.*I, 0.9995855109061981 + 0.*I, 0.9995860399580004 + 0.*I, 1.9120797833949155*^-6 + 0.*I, 4.1134959882782596*^-7 + 0.*I, 2.361835838016191*^-7 + 0.*I, 1.6160379701091188*^-7 + 0.*I, 1.2018039896588562*^-7 + 0.*I, 9.392560063048451*^-8 + 0.*I, 7.58528129196634*^-8 + 0.*I, 6.266880347993721*^-8 + 0.*I, 5.261440172432686*^-8 + 0.*I, 4.466078618037273*^-8 + 0.*I, 3.815798788053826*^-8 + 0.*I, 3.265958614662168*^-8 + 0.*I, 2.781361807535632*^-8 + 0.*I, 2.3220803058165987*^-8 + 0.*I, 1.0466805200337603*^-8 + 0.*I}
{0.1660134017797965 + 0.*I, 0.138568469239192 + 0.*I, 0.32610874281719937 + 0.*I, 0.19546872050140163 + 0.*I, 0.13108199681479693 + 0.*I, 0.02484541936240703 + 0.*I, 0.002365250128999463 + 0.*I, 0.00006868791098124662 + 0.*I, 0.00006021727900762386 + 0.*I, 0.00004407397899974796 + 0.*I, 0.00005556745781287731 + 0.*I, 5.464316799042024*^-6 + 0.*I, 0.00007396631618306061 + 0.*I, 0.00008609029540362911 + 0.*I, 0.00002734315300845225 + 0.*I, 0.000016151148396481577 + 0.*I, 0.00007709201179650904 + 0.*I, 0.000012790791403816117 + 0.*I}
{0.1634063581199996 + 0.*I, 0.14001600005861262 + 0.*I, 0.3298380008856184 + 0.*I, 0.19166725295240994 + 0.*I, 0.1330409215078099 + 0.*I, 0.02570943024078343 + 0.*I, 0.002421553370202112 + 0.*I, 2.011115207700698*^-6 + 0.*I, 0.00006073955360896833 + 0.*I, 0.0001397143601922224 + 0.*I, 0.00013309712301179388 + 0.*I, 0.00008138139320212902 + 0.*I, 0.000014878680199004181 + 0.*I, 0.0000888013429900525 + 0.*I, 4.969516198549685*^-6 + 0.*I, 9.011117785284739*^-6 + 0.*I, 0.00004028402760258843 + 0.*I, 0.00006289514260515716 + 0.*I}
{0.16078455649759515 + 0.*I, 0.14132883536479568 + 0.*I, 0.33329349641779693 + 0.*I, 0.18795048288537952 + 0.*I, 0.13505297912561612 + 0.*I, 0.026616274280599764 + 0.*I, 0.0025308761136155766 + 0.*I, 0.0001229944998071275 + 0.*I, 0.00016915909699655177 + 0.*I, 0.00019580696140053536 + 0.*I, 0.00017248601240638095 + 0.*I, 0.00013510013558981626 + 0.*I, 0.00005124502500120087 + 0.*I, 0.00006370528597976488 + 0.*I, 0.000033510661578972645 + 0.*I, 0.000032662847004871765 + 0.*I, 0.00015504904020691157 + 0.*I, 0.00012826616500039026 + 0.*I}
{0.15814832350398156 + 0.*I, 0.1425322503465998 + 0.*I, 0.3364623484260143 + 0.*I, 0.1842921596352021 + 0.*I, 0.13707987098838803 + 0.*I, 0.02756960063958758 + 0.*I, 0.0027013928218133647 + 0.*I, 0.0002619021680194678 + 0.*I, 0.00023200156520353232 + 0.*I, 0.00019448079759953885 + 0.*I, 0.00016093486479018537 + 0.*I, 0.00014959276160020352 + 0.*I, 0.0001043070835926585 + 0.*I, 0.000017945143193642817 + 0.*I, 0.00005017550941399663 + 0.*I, 0.00004909673860797881 + 0.*I, 0.00024057406760036315 + 0.*I, 0.0001693023449877984 + 0.*I}
{0.15549755427060052 + 0.*I, 0.14364635643220325 + 0.*I, 0.3393502540570026 + 0.*I, 0.1806389361713956 + 0.*I, 0.13906856842058613 + 0.*I, 0.028564217546800386 + 0.*I, 0.0029248271252058093 + 0.*I, 0.0003812705342109979 + 0.*I, 0.0002298945626089122 + 0.*I, 0.00013545954560267862 + 0.*I, 0.00010132343040147873 + 0.*I, 0.00011977224858572555 + 0.*I, 0.00012787210179610042 + 0.*I, 0.00003510279280583006 + 0.*I, 0.00005035876879944113 + 0.*I, 0.00005422583360115141 + 0.*I, 0.00027619569040737707 + 0.*I, 0.00017696804999189908 + 0.*I}
{0.15283129427638986 + 0.*I, 0.14468422651920385 + 0.*I, 0.3419789486722058 + 0.*I, 0.17692636893220653 + 0.*I, 0.14096508384260353 + 0.*I, 0.0295866171253989 + 0.*I, 0.003179223669791398 + 0.*I, 0.0004497443313988825 + 0.*I, 0.00016324074618712103 + 0.*I, 0.00003640557719730709 + 0.*I, 0.000011582837800006022 + 0.*I, 0.00005429303160386923 + 0.*I, 0.00011429892539105424 + 0.*I, 0.0000797423383991358 + 0.*I, 0.00003424083780956266 + 0.*I, 0.000046600894187953656 + 0.*I, 0.00025229024660511357 + 0.*I, 0.00014922828979191394 + 0.*I}
{0.15014763382059648 + 0.*I, 0.14565091773039998 + 0.*I, 0.34438117829600495 + 0.*I, 0.17309731674799433 + 0.*I, 0.1427292117005985 + 0.*I, 0.03061821200320836 + 0.*I, 0.0034357699403964053 + 0.*I, 0.0004514935898036754 + 0.*I, 0.00005229130000117266 + 0.*I, 0.00007231189240730629 + 0.*I, 0.0000806372419948076 + 0.*I, 0.000026921870399654324 + 0.*I, 0.00006725972521159919 + 0.*I, 0.00010263772260987738 + 0.*I, 6.6771044027191814*^-6 + 0.*I, 0.000027835428606515226 + 0.*I, 0.00017291547180775527 + 0.*I, 0.00009160062559576688 + 0.*I}
{0.14744400278321468 + 0.*I, 0.14654346419600286 + 0.*I, 0.34659447819640476 + 0.*I, 0.16911779784620776 + 0.*I, 0.14434616145480028 + 0.*I, 0.031640492835616214 + 0.*I, 0.0036675575685984896 + 0.*I, 0.00039093577079984954 + 0.*I, 0.00006894743700414097 + 0.*I, 0.00015693358619284228 + 0.*I, 0.0001464835519993102 + 0.*I, 0.00009875840640827249 + 0.*I, 7.775660115783012*^-7 + 0.*I, 0.00009683553041650585 + 0.*I, 0.00002425995959676186 + 0.*I, 2.2957219902863812*^-6 + 0.*I, 0.000055270145393748755 + 0.*I, 0.000016076704789647067 + 0.*I}
{0.14471785238459045 + 0.*I, 0.14735180187600005 + 0.*I, 0.3486550800799959 + 0.*I, 0.16498615975659717 + 0.*I, 0.145831701848409 + 0.*I, 0.0326406418381886 + 0.*I, 0.0038576018241975873 + 0.*I, 0.0002913047832064919 + 0.*I, 0.00016314456940946798 + 0.*I, 0.00019086899041287353 + 0.*I, 0.00016499442681006116 + 0.*I, 0.00013873787800822157 + 0.*I, 0.00006498800220189338 + 0.*I, 0.00006388449860228462 + 0.*I, 0.000049644178612417995 + 0.*I, 0.000023909386803744326 + 0.*I, 0.00007402860140448553 + 0.*I, 0.0000613922055858751 + 0.*I}
{0.14196761103819622 + 0.*I, 0.1480604833042132 + 0.*I, 0.3505930178036021 + 0.*I, 0.16073331430781493 + 0.*I, 0.14722911176459078 + 0.*I, 0.033615883557591715 + 0.*I, 0.004003715766209837 + 0.*I, 0.00018753710360197573 + 0.*I, 0.0002011623259967621 + 0.*I, 0.00016315185600301874 + 0.*I, 0.0001298692662077272 + 0.*I, 0.0001341153065936851 + 0.*I, 0.00010991722201314504 + 0.*I, 0.000013398340592551962 + 0.*I, 0.00006226833200173587 + 0.*I, 0.00004441237380081731 + 0.*I, 0.00018505063179574677 + 0.*I, 0.00012431371101406796 + 0.*I}
{0.13919372244799444 + 0.*I, 0.14865095494359107 + 0.*I, 0.3524290699516097 + 0.*I, 0.15641425164061307 + 0.*I, 0.14859844635080058 + 0.*I, 0.034575126586600106 + 0.*I, 0.004118851694201453 + 0.*I, 0.00011571334139759415 + 0.*I, 0.00017103803839901843 + 0.*I, 0.0000820348754038136 + 0.*I, 0.000051659413391469407 + 0.*I, 0.00008596520100212501 + 0.*I, 0.0001201319986154914 + 0.*I, 0.00003979582019475458 + 0.*I, 0.00005868477701564956 + 0.*I, 0.000054173197616691475 + 0.*I, 0.0002516073301928046 + 0.*I, 0.00015922129159573475 + 0.*I}
{0.13639953076500788 + 0.*I, 0.1491041146436112 + 0.*I, 0.35417369705481594 + 0.*I, 0.15209338828159338 + 0.*I, 0.15000076909819082 + 0.*I, 0.03553719119440135 + 0.*I, 0.004226926575001678 + 0.*I, 0.00010231416360806379 + 0.*I, 0.0000816249559942861 + 0.*I, 0.000027493165188907653 + 0.*I, 0.00004541684521797151 + 0.*I, 8.932794615112982*^-6 + 0.*I, 0.00009228329758137477 + 0.*I, 0.00008004530800409527 + 0.*I, 0.00004014155881026937 + 0.*I, 0.00005075324760461797 + 0.*I, 0.000257541540005235 + 0.*I, 0.00015859135940043958 + 0.*I}
{0.13359177819480816 + 0.*I, 0.14940284774419 + 0.*I, 0.35582772081961256 + 0.*I, 0.14782789083440662 + 0.*I, 0.1514814720944058 + 0.*I, 0.036525920780783316 + 0.*I, 0.004355488759189008 + 0.*I, 0.00015651914739844844 + 0.*I, 0.00004019443939906609 + 0.*I, 0.0001314997446044686 + 0.*I, 0.0001310563114031993 + 0.*I, 0.00007327026141368266 + 0.*I, 0.00003460874720140339 + 0.*I, 0.00009547725561276366 + 0.*I, 0.000012167174001653791 + 0.*I, 0.000034941060000903697 + 0.*I, 0.00020070098081248489 + 0.*I, 0.00012246336940080485 + 0.*I}
{0.13078052773560778 + 0.*I, 0.1495342570285996 + 0.*I, 0.35738423283919746 + 0.*I, 0.14365354093059945 + 0.*I, 0.1530571889301946 + 0.*I, 0.037563442947985415 + 0.*I, 0.004527467179404887 + 0.*I, 0.0002677635775993892 + 0.*I, 0.00015778500461749445 + 0.*I, 0.00019771032919724266 + 0.*I, 0.00017840852839512422 + 0.*I, 0.00013519346639956356 + 0.*I, 0.00003553571841230507 + 0.*I, 0.00008147355838872274 + 0.*I, 0.00001705913019733885 + 0.*I, 0.000010570234998397156 + 0.*I, 0.00009360652579726293 + 0.*I, 0.000058419060011694064 + 0.*I}
{0.12797841335581153 + 0.*I, 0.14949134740260273 + 0.*I, 0.35883113710559744 + 0.*I, 0.13957689091501638 + 0.*I, 0.15470997567681444 + 0.*I, 0.0386634835067845 + 0.*I, 0.004754447763599679 + 0.*I, 0.00040914700958349925 + 0.*I, 0.00023592552820250748 + 0.*I, 0.00020554254280824583 + 0.*I, 0.00017250341279861914 + 0.*I, 0.00015750666280123227 + 0.*I, 0.00009689716780059145 + 0.*I, 0.000042025986601856864 + 0.*I, 0.00003907859320584351 + 0.*I, 0.00001641475280145244 + 0.*I, 0.00003936448638164337 + 0.*I, 0.000020052304994244707 + 0.*I}
{0.1251992413016101 + 0.*I, 0.14927399127601104 + 0.*I, 0.3601538010308048 + 0.*I, 0.13557565899100513 + 0.*I, 0.15639059509560127 + 0.*I, 0.039826735518411205 + 0.*I, 0.0050334262502005345 + 0.*I, 0.0005455728874004251 + 0.*I, 0.00025145743038912377 + 0.*I, 0.00015244374040879197 + 0.*I, 0.00011491351559200781 + 0.*I, 0.00013297831500391768 + 0.*I, 0.00013072747779840912 + 0.*I, 0.000011400429800190182 + 0.*I, 0.000047591143204073205 + 0.*I, 0.000039401694795770936 + 0.*I, 0.00016761890799799065 + 0.*I, 0.00009642914360341592 + 0.*I}
{0.1224561013315917 + 0.*I, 0.14888907683319744 + 0.*I, 0.36133745588038396 + 0.*I, 0.13160703234780247 + 0.*I, 0.15803035361141582 + 0.*I, 0.04103978763398964 + 0.*I, 0.005347953536216643 + 0.*I, 0.0006441724305972231 + 0.*I, 0.00020023747020481156 + 0.*I, 0.000054631814205841074 + 0.*I, 0.000023249470593178504 + 0.*I, 0.00006876684779388853 + 0.*I, 0.00012646716458508678 + 0.*I, 0.00006316873779610432 + 0.*I, 0.00004026831119663399 + 0.*I, 0.00005270744041219189 + 0.*I, 0.0002614841210002439 + 0.*I, 0.0001546501598115313 + 0.*I}
{0.1197592706720041 + 0.*I, 0.14834982337799674 + 0.*I, 0.36236917756840015 + 0.*I, 0.1276214028185896 + 0.*I, 0.15955862285779168 + 0.*I, 0.04227813664279268 + 0.*I, 0.005673305884190683 + 0.*I, 0.0006839611481845864 + 0.*I, 0.00009835586420869902 + 0.*I, 0.00005790544939099363 + 0.*I, 0.00007427943080617894 + 0.*I, 0.00001566604019842544 + 0.*I, 0.00008502273718402621 + 0.*I, 0.00009800636080470326 + 0.*I, 0.000019419276608978464 + 0.*I, 0.00005295294200902134 + 0.*I, 0.00029916489601156115 + 0.*I, 0.0001824895151880668 + 0.*I}
{0.1171142785975965 + 0.*I, 0.14767433335860505 + 0.*I, 0.3632394285953966 + 0.*I, 0.1235776195090077 + 0.*I, 0.16092154045719287 + 0.*I, 0.04351261308939147 + 0.*I, 0.005984125968416798 + 0.*I, 0.0006619273476005106 + 0.*I, 0.000022723543202651797 + 0.*I, 0.00015057844580113056 + 0.*I, 0.00014752547221608125 + 0.*I, 0.00009441723660685852 + 0.*I, 0.000018630032605493344 + 0.*I, 0.00010548821041123092 + 0.*I, 8.69315142093541*^-6 + 0.*I, 0.000039902339787900594 + 0.*I, 0.00027188574880376853 + 0.*I, 0.00017411551460622124 + 0.*I}
{0.11452052112759238 + 0.*I, 0.14688353626619577 + 0.*I, 0.36394321197079643 + 0.*I, 0.11945548596341561 + 0.*I, 0.1620968912282139 + 0.*I, 0.0447174849773857 + 0.*I, 0.006262228026199247 + 0.*I, 0.0005937865428018441 + 0.*I, 0.00012566211340381273 + 0.*I, 0.00019475694801318608 + 0.*I, 0.0001736526544116046 + 0.*I, 0.000143052526402343 + 0.*I, 0.000052721203180894356 + 0.*I, 0.00008316312720690888 + 0.*I, 0.00003570316420287157 + 0.*I, 0.000016571097205542177 + 0.*I, 0.0001859962646122426 + 0.*I, 0.00013130389659998798 + 0.*I}
{0.11197075883599972 + 0.*I, 0.1459987581611977 + 0.*I, 0.36448087268921014 + 0.*I, 0.11526204985579103 + 0.*I, 0.16310100964300744 + 0.*I, 0.045877908631819515 + 0.*I, 0.006502181511192085 + 0.*I, 0.000509186461417066 + 0.*I, 0.0001785592420144866 + 0.*I, 0.000176561421594279 + 0.*I, 0.00014420257139491355 + 0.*I, 0.00014618885340045296 + 0.*I, 0.00010729451358493237 + 0.*I, 0.000037374302608306216 + 0.*I, 0.000053627323204352706 + 0.*I, 0.000011436940394737862 + 0.*I, 0.00006151602260917599 + 0.*I, 0.00006305182218557803 + 0.*I}
{0.10945169930940414 + 0.*I, 0.14503920995699307 + 0.*I, 0.3648585110776148 + 0.*I, 0.11103000668519769 + 0.*I, 0.16398555811578677 + 0.*I, 0.046994481947404416 + 0.*I, 0.0067129403187982115 + 0.*I, 0.0004427902454029465 + 0.*I, 0.00016466719081620343 + 0.*I, 0.00010122639999554651 + 0.*I, 0.0000678364934003639 + 0.*I, 0.00010240166941066776 + 0.*I, 0.0001282576207906061 + 0.*I, 0.000018523822209459695 + 0.*I, 0.00005724766578563135 + 0.*I, 0.000037236390992845265 + 0.*I, 0.00007256729779303585 + 0.*I, 0.000016329963403727277 + 0.*I}
{0.10694567959039782 + 0.*I, 0.1440197136908017 + 0.*I, 0.36508789445399703 + 0.*I, 0.10680877550761637 + 0.*I, 0.16482472892778155 + 0.*I, 0.04808343771998125 + 0.*I, 0.006914999443008441 + 0.*I, 0.00042391550199027966 + 0.*I, 0.00008752091220642912 + 0.*I, 8.348732993823662*^-6 + 0.*I, 0.000032141423811360426 + 0.*I, 0.00002486027621539932 + 0.*I, 0.00010892468120804466 + 0.*I, 0.00006807240340300781 + 0.*I, 0.000045668285597599834 + 0.*I, 0.000054329108412076734 + 0.*I, 0.00018514689539284038 + 0.*I, 0.00009024480238650766 + 0.*I}
{0.10443325849840425 + 0.*I, 0.14294896836281049 + 0.*I, 0.36518572238219965 + 0.*I, 0.10265087431979847 + 0.*I, 0.16569606617100607 + 0.*I, 0.049172281814602314 + 0.*I, 0.007133966505001865 + 0.*I, 0.00046785938698779006 + 0.*I, 0.000030138318796169017 + 0.*I, 0.00011852036299053736 + 0.*I, 0.0001248298471923093 + 0.*I, 0.00006260951419534422 + 0.*I, 0.000054921197989443726 + 0.*I, 0.00009659423778618505 + 0.*I, 0.000022561231394213625 + 0.*I, 0.000058245654011024335 + 0.*I, 0.00025035439721321495 + 0.*I, 0.00014331097379916002 + 0.*I}
{0.10189634454860207 + 0.*I, 0.14182859327040445 + 0.*I, 0.3651721486776172 + 0.*I, 0.09859753632359691 + 0.*I, 0.16665995294220529 + 0.*I, 0.050292051908007465 + 0.*I, 0.00739257453801212 + 0.*I, 0.0005715252090032764 + 0.*I, 0.0001533473934056673 + 0.*I, 0.00019524991179409315 + 0.*I, 0.00018126846379473704 + 0.*I, 0.0001328761983998561 + 0.*I, 0.000017452330003386862 + 0.*I, 0.00009558661580033602 + 0.*I, 4.980480805549803*^-6 + 0.*I, 0.00004774551920494475 + 0.*I, 0.00025364483779988234 + 0.*I, 0.00016458474758618283 + 0.*I}
{0.09932135917218866 + 0.*I, 0.14065308565180404 + 0.*I, 0.36506859290179605 + 0.*I, 0.09466769163419819 + 0.*I, 0.167743299071188 + 0.*I, 0.051468415945610246 + 0.*I, 0.0077036517105888444 + 0.*I, 0.0007146309842109845 + 0.*I, 0.0002456523097826846 + 0.*I, 0.00021469642421667603 + 0.*I, 0.0001835311716158472 + 0.*I, 0.00016397226119124753 + 0.*I, 0.00008617556559453732 + 0.*I, 0.00006528124480986719 + 0.*I, 0.000028628099202343552 + 0.*I, 0.000025242934209579463 + 0.*I, 0.00019513344899912968 + 0.*I, 0.00014982000520191718 + 0.*I}
{0.09670189196240299 + 0.*I, 0.1394107070724071 + 0.*I, 0.36489505420058693 + 0.*I, 0.09085344767378878 + 0.*I, 0.16893191817999312 + 0.*I, 0.05271420967820628 + 0.*I, 0.00806624061060468 + 0.*I, 0.0008660545471883552 + 0.*I, 0.00028024198781562154 + 0.*I, 0.00017070476998615192 + 0.*I, 0.0001304749022157381 + 0.*I, 0.00014598976281199327 + 0.*I, 0.00013024228180391617 + 0.*I, 0.000014590380792434132 + 0.*I, 0.000041358724800488744 + 0.*I, 3.695650208079826*^-6 + 0.*I, 0.00008939040858635394 + 0.*I, 0.00010229690838858829 + 0.*I}
{0.09404035493161268 + 0.*I, 0.13808518835139452 + 0.*I, 0.3646673208180129 + 0.*I, 0.08712332922740097 + 0.*I, 0.17017377016101953 + 0.*I, 0.05402560418179547 + 0.*I, 0.008466039873389342 + 0.*I, 0.0009933109390125596 + 0.*I, 0.0002480407670146789 + 0.*I, 0.0000767786760169642 + 0.*I, 0.000038243923206060515 + 0.*I, 0.00008420647998885755 + 0.*I, 0.00013608230520212317 + 0.*I, 0.00004153849020305245 + 0.*I, 0.00003956437439889271 + 0.*I, 0.00003169795959045985 + 0.*I, 0.00003822040299805707 + 0.*I, 0.000032067871802432535 + 0.*I}
{0.09134828082320023 + 0.*I, 0.1366580335049994 + 0.*I, 0.36439459224499876 + 0.*I, 0.08343232758478702 + 0.*I, 0.1713923091809955 + 0.*I, 0.055383025099398075 + 0.*I, 0.008879972348219134 + 0.*I, 0.0010722542943986115 + 0.*I, 0.00016031477358957602 + 0.*I, 0.000038110595990126235 + 0.*I, 0.00006469629039163038 + 0.*I, 2.529951403928976*^-6 + 0.*I, 0.00010170508260021195 + 0.*I, 0.00008655225638420916 + 0.*I, 0.000024086202610185126 + 0.*I, 0.00005145918420268458 + 0.*I, 0.0001577261145913056 + 0.*I, 0.00004619487599111239 + 0.*I}
{0.08864511845279034 + 0.*I, 0.1351111218155954 + 0.*I, 0.3640780516797948 + 0.*I, 0.07973588124658983 + 0.*I, 0.17250643792341427 + 0.*I, 0.05675654887000726 + 0.*I, 0.009283412772398414 + 0.*I, 0.0010941022847932302 + 0.*I, 0.00004508553281823425 + 0.*I, 0.0001385390814068188 + 0.*I, 0.00014643578880590982 + 0.*I, 0.00008761697258830027 + 0.*I, 0.000037326659607650477 + 0.*I, 0.00010717663421200287 + 0.*I, 1.2143701599853785*^-7 + 0.*I, 0.0000576658518047779 + 0.*I, 0.0002417208850191699 + 0.*I, 0.00011628177620792714 + 0.*I}
{0.08595562635880238 + 0.*I, 0.1334292631676115 + 0.*I, 0.3637108171369974 + 0.*I, 0.0760038009048003 + 0.*I, 0.17345178057981417 + 0.*I, 0.05811420299579595 + 0.*I, 0.00965782498620893 + 0.*I, 0.001067755117190039 + 0.*I, 0.0000614616606053886 + 0.*I, 0.00019359672338570277 + 0.*I, 0.00018157685979236507 + 0.*I, 0.0001448724062047546 + 0.*I, 0.00003768363419087706 + 0.*I, 0.00009731339758456416 + 0.*I, 0.000025564083805385 + 0.*I, 0.00004845764620675653 + 0.*I, 0.0002717886914194168 + 0.*I, 0.0001638110739943244 + 0.*I}
{0.08330621677781203 + 0.*I, 0.13160236120819405 + 0.*I, 0.3632794621593938 + 0.*I, 0.07223015811179678 + 0.*I, 0.1741976287530145 + 0.*I, 0.0594307783742032 + 0.*I, 0.009996479358598266 + 0.*I, 0.001016825626987128 + 0.*I, 0.0001259216062088342 + 0.*I, 0.00018636941578886737 + 0.*I, 0.0001591209981999242 + 0.*I, 0.00015655250378276977 + 0.*I, 0.00010061311319642387 + 0.*I, 0.00005981886881389898 + 0.*I, 0.000044512708807786794 + 0.*I, 0.000026016990184452027 + 0.*I, 0.00024264106099902707 + 0.*I, 0.00017918191819177312 + 0.*I}
{0.08072081094201433 + 0.*I, 0.12962688479599138 + 0.*I, 0.3627669661542044 + 0.*I, 0.06843627590078505 + 0.*I, 0.174755068934207 + 0.*I, 0.060694646616599186 + 0.*I, 0.010306538317994551 + 0.*I, 0.0009723707202091703 + 0.*I, 0.000127676983785463 + 0.*I, 0.00011904276280283456 + 0.*I, 0.00008584655220023052 + 0.*I, 0.00011879495958044829 + 0.*I, 0.00013224959061197694 + 0.*I, 5.659551804981788*^-6 + 0.*I, 0.00005133321741013219 + 0.*I, 3.904455803116492*^-6 + 0.*I, 0.00016301519378814078 + 0.*I, 0.000159510250985484 + 0.*I}
{0.07821689159339673 + 0.*I, 0.1275064388194025 + 0.*I, 0.36215660012799417 + 0.*I, 0.06466588562701325 + 0.*I, 0.17517414664620645 + 0.*I, 0.061910676816601125 + 0.*I, 0.010606904535004348 + 0.*I, 0.0009635601412094631 + 0.*I, 0.000065011670979942 + 0.*I, 0.000012145407390917741 + 0.*I, 0.000015806454989331087 + 0.*I, 0.00004286687038668191 + 0.*I, 0.00012273064500245567 + 0.*I, 0.00004930020358617782 + 0.*I, 0.0000441457340016882 + 0.*I, 0.000033432273993661 + 0.*I, 0.000053178236592010826 + 0.*I, 0.00010915245960418928 + 0.*I}
{0.07580244647660273 + 0.*I, 0.12525135085940664 + 0.*I, 0.3614359691357816 + 0.*I, 0.06097372204698637 + 0.*I, 0.17553083210219977 + 0.*I, 0.06309847630801002 + 0.*I, 0.010922490254405837 + 0.*I, 0.0010090860698142026 + 0.*I, 0.000044461169590448435 + 0.*I, 0.00010175659099775913 + 0.*I, 0.00011462960298747049 + 0.*I, 0.00004816319241207623 + 0.*I, 0.00007463598481471934 + 0.*I, 0.00008894336700482341 + 0.*I, 0.0000253352608003965 + 0.*I, 0.00005463003500683073 + 0.*I, 0.00006028286039239107 + 0.*I, 0.000038716996186849435 + 0.*I}
