{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.08439914471139454 + 0.*I, 0.2292494125335942 + 0.*I, 0.08585930078899297 + 0.*I, 0.1715348405311845 + 0.*I, 0.09549305085221338 + 0.*I, 0.1018409073791915 + 0.*I, 0.028572831440598634 + 0.*I, 0.004199532771398395 + 0.*I, 0.0003885977406081765 + 0.*I, 0.000013866736381373812 + 0.*I, 0.000015090579208454356 + 0.*I, 0.000014268793013805238 + 0.*I, 0.000018956205405373794 + 0.*I, 0.000011643250608095458 + 0.*I, 0.000012904757396015045 + 0.*I, 6.1188575983806*^-6 + 0.*I, 5.497567001633286*^-6 + 0.*I, 2.5067877995610392*^-6 + 0.*I, 4.417707977211194*^-7 + 0.*I, 4.4853187830540264*^-8 + 0.*I, 3.0321967159352425*^-9 + 0.*I, 1.4879208976026348*^-10 + 0.*I, 6.794564910705959*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.4210854715202006*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.09138793793099786 + 0.*I, 0.23846428478959683 + 0.*I, 0.09100045333478857 + 0.*I, 0.1730352725143991 + 0.*I, 0.0919173526892081 + 0.*I, 0.10290594049118253 + 0.*I, 0.029445791063209544 + 0.*I, 0.004396238636417139 + 0.*I, 0.00041263794139378973 + 0.*I, 0.00001536799718593329 + 0.*I, 0.000015052471402654534 + 0.*I, 0.000015245283413456436 + 0.*I, 0.00001853557638487047 + 0.*I, 0.000011406950406467331 + 0.*I, 0.000012613828204166566 + 0.*I, 6.555313003531182*^-6 + 0.*I, 5.533256808298859*^-6 + 0.*I, 2.6017723975257923*^-6 + 0.*I, 4.667778163991443*^-7 + 0.*I, 4.8111403749828696*^-8 + 0.*I, 3.298006312490998*^-9 + 0.*I, 1.6400214519762812*^-10 + 0.*I, 7.59392548843607*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.098266741270997 + 0.*I, 0.24744367530880054 + 0.*I, 0.09589224619301896 + 0.*I, 0.17431808910719493 + 0.*I, 0.08826467539440053 + 0.*I, 0.1039317203493928 + 0.*I, 0.0303326544874194 + 0.*I, 0.004600099784202173 + 0.*I, 0.00043794839119648543 + 0.*I, 0.000016991918405651063 + 0.*I, 0.000014983895990638985 + 0.*I, 0.00001623939380746009 + 0.*I, 0.00001808083298637797 + 0.*I, 0.000011138491595730217 + 0.*I, 0.00001229966759552781 + 0.*I, 6.999077983849134*^-6 + 0.*I, 5.562892613220072*^-6 + 0.*I, 2.698813394985678*^-6 + 0.*I, 4.929298080824651*^-7 + 0.*I, 5.157640980968381*^-8 + 0.*I, 3.5847991242121675*^-9 + 0.*I, 1.8018919689666293*^-10 + 0.*I, 7.993605777301129*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.10503108367319604 + 0.*I, 0.2561785922730042 + 0.*I, 0.10052864454439536 + 0.*I, 0.1753832144250067 + 0.*I, 0.0845381105605947 + 0.*I, 0.10491663470881818 + 0.*I, 0.0312331540461841 + 0.*I, 0.004811279300587223 + 0.*I, 0.00046458336959709357 + 0.*I, 0.00001874650201738604 + 0.*I, 0.000014883075594163133 + 0.*I, 0.000017250227202225688 + 0.*I, 0.000017592046819281393 + 0.*I, 0.00001083760179376725 + 0.*I, 0.000011962340806803697 + 0.*I, 7.449700389905446*^-6 + 0.*I, 5.586171991645017*^-6 + 0.*I, 2.7978785954729797*^-6 + 0.*I, 5.202632102907502*^-7 + 0.*I, 5.5258597697616096*^-8 + 0.*I, 3.8941960767147066*^-9 + 0.*I, 1.9861889910544053*^-10 + 0.*I, 8.815170815523743*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.11167662450359828 + 0.*I, 0.2646603863156072 + 0.*I, 0.10490400957179348 + 0.*I, 0.17623085372939773 + 0.*I, 0.08074085183400471 + 0.*I, 0.10585908654039412 + 0.*I, 0.03214700034459562 + 0.*I, 0.00502993980879829 + 0.*I, 0.0004925988007942195 + 0.*I, 0.000020640163800322856 + 0.*I, 0.00001474817781232929 + 0.*I, 0.00001827683580035711 + 0.*I, 0.00001706935859324688 + 0.*I, 0.000010504067415872955 + 0.*I, 0.000011601959393203744 + 0.*I, 7.906704779792051*^-6 + 0.*I, 5.60279218575488*^-6 + 0.*I, 2.898930406836087*^-6 + 0.*I, 5.488150156551796*^-7 + 0.*I, 5.9170002231212506*^-8 + 0.*I, 4.227396210865209*^-9 + 0.*I, 2.1820323325982827*^-10 + 0.*I, 9.792167077193882*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.4210854715202006*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.11819915703599748 + 0.*I, 0.27288075783920007 + 0.*I, 0.10901310302779967 + 0.*I, 0.17686149239379834 + 0.*I, 0.07687619138458947 + 0.*I, 0.10675749620439047 + 0.*I, 0.0330738820171872 + 0.*I, 0.005256243257800719 + 0.*I, 0.0005220522697912955 + 0.*I, 0.000022681747613439995 + 0.*I, 0.000014577314400021635 + 0.*I, 0.00001931822080081247 + 0.*I, 0.000016512976186433548 + 0.*I, 0.000010137734984816404 + 0.*I, 0.000011218682183233852 + 0.*I, 8.369589998835636*^-6 + 0.*I, 5.612449993641634*^-6 + 0.*I, 3.001926796031285*^-6 + 0.*I, 5.786231938031962*^-7 + 0.*I, 6.33222141388501*^-8 + 0.*I, 4.586397928107999*^-9 + 0.*I, 2.3958612871410883*^-10 + 0.*I, 1.0591527654923993*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.12459461177219412 + 0.*I, 0.2808317638764102 + 0.*I, 0.11285109126020212 + 0.*I, 0.17727589448859327 + 0.*I, 0.07294751622839435 + 0.*I, 0.10761030362960168 + 0.*I, 0.03401346551379359 + 0.*I, 0.005490350708003966 + 0.*I, 0.0005530030393829933 + 0.*I, 0.000024880541804606086 + 0.*I, 0.000014368540601772395 + 0.*I, 0.000020373333198264735 + 0.*I, 0.000015923179019772252 + 0.*I, 9.738511996815193*^-6 + 0.*I, 0.000010812714612562502 + 0.*I, 8.837831999564118*^-6 + 0.*I, 5.614841813716965*^-6 + 0.*I, 3.106820201104199*^-6 + 0.*I, 6.097252036596501*^-7 + 0.*I, 6.772780114516765*^-8 + 0.*I, 4.972999789742971*^-9 + 0.*I, 2.6301183453369964*^-10 + 0.*I, 1.1790568521519164*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.13085905959658864 + 0.*I, 0.2885058244967986 + 0.*I, 0.1164135486947826 + 0.*I, 0.17747510098999886 + 0.*I, 0.0689583044042097 + 0.*I, 0.10841597049460196 + 0.*I, 0.03496539490599471 + 0.*I, 0.005732422108795099 + 0.*I, 0.0005855120646103275 + 0.*I, 0.000027246296019356467 + 0.*I, 0.000014119852598248885 + 0.*I, 0.000021441075404027288 + 0.*I, 0.000015300315792110553 + 0.*I, 9.306368586869953*^-6 + 0.*I, 0.000010384311588396145 + 0.*I, 9.310883997137866*^-6 + 0.*I, 5.609664799344217*^-6 + 0.*I, 3.2135577976433183*^-6 + 0.*I, 6.421592146921284*^-7 + 0.*I, 7.239919774804093*^-8 + 0.*I, 5.388800516925586*^-9 + 0.*I, 2.888134176259882*^-10 + 0.*I, 1.2789769243681805*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.13698871476000019 + 0.*I, 0.2958957287457986 + 0.*I, 0.11969646076839258 + 0.*I, 0.1774604276137959 + 0.*I, 0.06491212100978583 + 0.*I, 0.10917298240979978 + 0.*I, 0.035929291720204766 + 0.*I, 0.005982616070210335 + 0.*I, 0.0006196420069937147 + 0.*I, 0.000029789236388744204 + 0.*I, 0.000013829188394431926 + 0.*I, 0.000022520301201645058 + 0.*I, 0.000014644808210562132 + 0.*I, 8.841339216303368*^-6 + 0.*I, 9.933775801940214*^-6 + 0.*I, 9.788174604175028*^-6 + 0.*I, 5.596617591585584*^-6 + 0.*I, 3.322081609802297*^-6 + 0.*I, 6.759627968477844*^-7 + 0.*I, 7.734999307729141*^-8 + 0.*I, 5.835598670955734*^-9 + 0.*I, 3.1639135755767716*^-10 + 0.*I, 1.4011014570769477*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.1429799376926111 + 0.*I, 0.3029946401180039 + 0.*I, 0.12269622631961852 + 0.*I, 0.1772334622814009 + 0.*I, 0.06081261410559869 + 0.*I, 0.10987985109640609 + 0.*I, 0.036904754795608063 + 0.*I, 0.006241089626790599 + 0.*I, 0.0006554572440142792 + 0.*I, 0.00003252008320409061 + 0.*I, 0.000013494425399329657 + 0.*I, 0.000023609816990344257 + 0.*I, 0.000013957148992105319 + 0.*I, 8.343523205667225*^-6 + 0.*I, 9.461457994852653*^-6 + 0.*I, 0.000010269110806149229 + 0.*I, 5.575400185975354*^-6 + 0.*I, 3.4323284214821115*^-6 + 0.*I, 7.111747857280193*^-7 + 0.*I, 8.259459782777868*^-8 + 0.*I, 6.316192013855471*^-9 + 0.*I, 3.4701130857683893*^-10 + 0.*I, 1.538769112130467*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.14882923764261147 + 0.*I, 0.30979610155881243 + 0.*I, 0.1254096594307974 + 0.*I, 0.1767960622173881 + 0.*I, 0.05666351048940754 + 0.*I, 0.1105351165576085 + 0.*I, 0.037891360168984534 + 0.*I, 0.006507997999793957 + 0.*I, 0.0006930238805935574 + 0.*I, 0.00003545006959093656 + 0.*I, 0.000013113378383167175 + 0.*I, 0.000024708383805638338 + 0.*I, 0.000013237904594731731 + 0.*I, 7.813085201036074*^-6 + 0.*I, 8.967759801414845*^-6 + 0.*I, 0.000010753078405478789 + 0.*I, 5.545715198174151*^-6 + 0.*I, 3.5442289991749476*^-6 + 0.*I, 7.478334174138013*^-7 + 0.*I, 8.814660112932415*^-8 + 0.*I, 6.832201471240751*^-9 + 0.*I, 3.801847725526386*^-10 + 0.*I, 1.7408297026122458*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.1545332751407891 + 0.*I, 0.3162940399917824 + 0.*I, 0.12783399072420212 + 0.*I, 0.17615035069160623 + 0.*I, 0.052468611346201406 + 0.*I, 0.11113734923979823 + 0.*I, 0.038888660987002055 + 0.*I, 0.006783494348616692 + 0.*I, 0.0007324097575978072 + 0.*I, 0.00003859095538683022 + 0.*I, 0.00001268379998808911 + 0.*I, 0.00002581471900686694 + 0.*I, 0.000012487713996200968 + 0.*I, 7.2502569947729975*^-6 + 0.*I, 8.453130817542844*^-6 + 0.*I, 0.000011239441000121529 + 0.*I, 5.507267597515409*^-6 + 0.*I, 3.657708180782038*^-6 + 0.*I, 7.859769945994799*^-7 + 0.*I, 9.402141287750966*^-8 + 0.*I, 7.38660244081757*^-9 + 0.*I, 4.1620040747147874*^-10 + 0.*I, 1.8984813721090177*^-11 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.16008886428739988 + 0.*I, 0.32248277036781575 + 0.*I, 0.12996686811479474 + 0.*I, 0.17529871340080663 + 0.*I, 0.04823178778301518 + 0.*I, 0.11168515218360488 + 0.*I, 0.03989618744499879 + 0.*I, 0.0070677295195942244 + 0.*I, 0.000773684456212287 + 0.*I, 0.00004195504901272074 + 0.*I, 0.000012203376398289835 + 0.*I, 0.00002692749641042269 + 0.*I, 0.000011707290603624191 + 0.*I, 6.655337414507301*^-6 + 0.*I, 7.918071398549388*^-6 + 0.*I, 0.000011727541981976234 + 0.*I, 5.459765795023941*^-6 + 0.*I, 3.7726852086805707*^-6 + 0.*I, 8.256429984143665*^-7 + 0.*I, 1.0023359919841823*^-7 + 0.*I, 7.980394123308088*^-9 + 0.*I, 4.553912802407467*^-10 + 0.*I, 2.078337502098293*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.16549297485959347 + 0.*I, 0.32835699924138595 + 0.*I, 0.13180635701799392 + 0.*I, 0.17424379450940997 + 0.*I, 0.04395697624899331 + 0.*I, 0.11217716315459204 + 0.*I, 0.04091344675420938 + 0.*I, 0.00736085178738577 + 0.*I, 0.000816919302404351 + 0.*I, 0.00004555522139515489 + 0.*I, 0.000011669728983143559 + 0.*I, 0.00002804534859901509 + 0.*I, 0.000010897420388289449 + 0.*I, 6.028693988469058*^-6 + 0.*I, 7.363129794768498*^-6 + 0.*I, 0.000012216705003176287 + 0.*I, 5.402923197728172*^-6 + 0.*I, 3.889073596496928*^-6 + 0.*I, 8.668705975267699*^-7 + 0.*I, 1.0680019091324766*^-7 + 0.*I, 8.617395685917018*^-9 + 0.*I, 4.978017997814277*^-10 + 0.*I, 2.3003821070233247*^-11 + 0.*I, 2.19824158875781*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.17074273424040334 + 0.*I, 0.33391182785960094 + 0.*I, 0.13335094002200343 + 0.*I, 0.17298849233979843 + 0.*I, 0.03964817385420095 + 0.*I, 0.11261205675920927 + 0.*I, 0.041939923140810194 + 0.*I, 0.007663006593383592 + 0.*I, 0.0008621873706093909 + 0.*I, 0.000049404927215945804 + 0.*I, 0.000011080410788899543 + 0.*I, 0.000029166869008889762 + 0.*I, 0.000010058963595405148 + 0.*I, 5.370762412582053*^-6 + 0.*I, 6.788904016730157*^-6 + 0.*I, 0.00001270623339877375 + 0.*I, 5.3364576091397*^-6 + 0.*I, 4.006780396359488*^-6 + 0.*I, 9.096974062927643*^-7 + 0.*I, 1.1373759711830189*^-7 + 0.*I, 9.30080457095528*^-9 + 0.*I, 5.444089623551918*^-10 + 0.*I, 2.560174294785611*^-11 + 0.*I, 2.797762022055395*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I}
