{0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.}
{0.410692502163903, 0.816036304182454, 0.38861540052285, 0.01642529070066, 0.000300041614352, 3.049365187*^-6, 1.972687*^-8, 8.8351*^-11, 2.92*^-13, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 0., 1.*^-15}
{0.421486838516718, 0.837214067629301, 0.397673088935246, 0.017710112285188, 0.00034036571968, 3.63732039*^-6, 2.4735251*^-8, 1.16436*^-10, 4.04*^-13, 3.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 2.*^-15}
{0.431753868171954, 0.857324923089706, 0.406145285356444, 0.019036940361869, 0.000384482913968, 4.315320439*^-6, 3.0812225*^-8, 1.52263*^-10, 5.53*^-13, 3.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15, 1.*^-15}
{0.44146233218237, 0.876307504721926, 0.414004903239022, 0.020402579908246, 0.000432557776536, 5.093276014*^-6, 3.8141346*^-8, 1.97642*^-10, 7.51*^-13, 3.*^-15, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.}
{0.450582802107319, 0.894104217790853, 0.421227150784177, 0.02180349395348, 0.00048474211863, 5.981642185*^-6, 4.6929322*^-8, 2.54731*^-10, 1.015*^-12, 5.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15, 1.*^-15}
{0.45908776928531, 0.910661413116702, 0.427789609174612, 0.023235812867438, 0.000541172676422, 6.991377946*^-6, 5.740755*^-8, 3.2607*^-10, 1.359*^-12, 6.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 0., 2.*^-15, 1.*^-15}
{0.46695172748553, 0.925929547495131, 0.433672301194662, 0.024695345899626, 0.000601968770518, 8.133894759*^-6, 6.9833575*^-8, 4.14655*^-10, 1.805*^-12, 7.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 0., 0., 1.*^-15, 0.}
{0.474151248682273, 0.939863329591996, 0.438857750006784, 0.026177594940196, 0.000667229950491, 9.420993513*^-6, 8.4492371*^-8, 5.23981*^-10, 2.381*^-12, 9.*^-15, 0., 0., 0., 0., 0., 0., 1.*^-15, 1.*^-15, 0., 0.}
{0.480665051720894, 0.952421850870121, 0.443331027894581, 0.027677770462477, 0.000737033644094, 0.000010864789395, 1.01697449*^-7, 6.58104*^-10, 3.12*^-12, 1.2*^-14, 0., 0., 0., 0., 0., 0., 2.*^-15, 1.*^-15, 0., 0.}
{0.486474063669316, 0.963568701161107, 0.447079794824435, 0.029190809593845, 0.000811432831757, 0.000012477624265, 1.21791708*^-7, 8.21704*^-10, 4.061*^-12, 1.5*^-14, 0., 0., 0., 0., 0., 0., 1.*^-15, 0., 1.*^-15, 0.}
