{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{8.619771563189717*^-11 + 0.*I, 0.9999833329399855 + 0.*I, 0.9999833328537933 + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I, 0. + 0.*I, 8.619771563189717*^-11 + 0.*I, 8.619771563189717*^-11 + 0.*I}
{8.919531779838508*^-11 + 0.*I, 0.9999833329248142 + 0.*I, 0.9999833328356024 + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I, 0. + 0.*I, 8.919531779838508*^-11 + 0.*I, 8.919531779838508*^-11 + 0.*I}
{9.2192919964873*^-11 + 0.*I, 0.9999833329094043 + 0.*I, 0.9999833328171892 + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I, 0. + 0.*I, 9.2192919964873*^-11 + 0.*I, 9.2192919964873*^-11 + 0.*I}
{9.501288644742091*^-11 + 0.*I, 0.9999833328940112 + 0.*I, 0.9999833327989982 + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I, 0. + 0.*I, 9.501288644742091*^-11 + 0.*I, 9.501288644742091*^-11 + 0.*I}
{9.801048861390882*^-11 + 0.*I, 0.99998333287879 + 0.*I, 0.9999833327807962 + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I, 0. + 0.*I, 9.801048861390882*^-11 + 0.*I, 9.801048861390882*^-11 + 0.*I}
{1.0078604617547172*^-10 + 0.*I, 0.9999833328633968 + 0.*I, 0.999983332762805 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I, 0. + 0.*I, 1.0078604617547172*^-10 + 0.*I, 1.0078604617547172*^-10 + 0.*I}
{1.0378364834195965*^-10 + 0.*I, 0.9999833328483865 + 0.*I, 0.9999833327444031 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I, 0. + 0.*I, 1.0378364834195965*^-10 + 0.*I, 1.0378364834195965*^-10 + 0.*I}
{1.0620393453564247*^-10 + 0.*I, 0.9999833328328046 + 0.*I, 0.9999833327266117 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I, 0. + 0.*I, 1.0620393453564247*^-10 + 0.*I, 1.0620393453564247*^-10 + 0.*I}
{1.0860201626883283*^-10 + 0.*I, 0.9999833328172114 + 0.*I, 0.9999833327085929 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I, 0. + 0.*I, 1.0860201626883283*^-10 + 0.*I, 1.0860201626883283*^-10 + 0.*I}
{1.1159961843532074*^-10 + 0.*I, 0.9999833328020015 + 0.*I, 0.9999833326904017 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I, 0. + 0.*I, 1.1159961843532074*^-10 + 0.*I, 1.1159961843532074*^-10 + 0.*I}
{1.1441958491786865*^-10 + 0.*I, 0.999983332786797 + 0.*I, 0.9999833326721942 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I, 0. + 0.*I, 1.1441958491786865*^-10 + 0.*I, 1.1441958491786865*^-10 + 0.*I}
