{0.006101280535402, 0.132808215629085, 0.047002699136587, 0.052866579507512, 0.021698922189683, 0.004521065891321, 0.000567161252459, 0.000047523755885, 2.850208657*^-6, 1.28503642*^-7, 4.517387*^-9, 1.27442*^-10, 3.018*^-12, 7.8*^-14, 3.*^-15, 0., 1.*^-15, 3.*^-15, 4.*^-15, 1.*^-15}
{0.006505736221255, 0.143745072648748, 0.0517838807894, 0.057047721965566, 0.023040613475414, 0.004730553589874, 0.000585196793603, 0.000048374832389, 2.863026618*^-6, 1.27407119*^-7, 4.421412*^-9, 1.23145*^-10, 2.877*^-12, 7.3*^-14, 3.*^-15, 1.*^-15, 0., 4.*^-15, 3.*^-15, 1.*^-15}
{0.00691032656262, 0.155110334626332, 0.056862092318759, 0.061363581125463, 0.024386846522259, 0.004933617491105, 0.000601800061938, 0.000049074278847, 2.865957798*^-6, 1.25874281*^-7, 4.3119*^-9, 1.18556*^-10, 2.731*^-12, 6.8*^-14, 2.*^-15, 1.*^-15, 0., 4.*^-15, 4.*^-15, 0.}
{0.007312902099887, 0.166887536237409, 0.062239398179086, 0.065804230933082, 0.025732234662903, 0.005129267091676, 0.000616894519479, 0.000049621190031, 2.859318378*^-6, 1.23936036*^-7, 4.190465*^-9, 1.13732*^-10, 2.584*^-12, 6.3*^-14, 2.*^-15, 0., 0., 4.*^-15, 4.*^-15, 0.}
{0.007711381716911, 0.179058873472514, 0.067916871204354, 0.070359166503029, 0.02707146199085, 0.005316588020331, 0.000630418636313, 0.000050016101656, 2.843503426*^-6, 1.21625677*^-7, 4.058738*^-9, 1.0873*^-10, 2.436*^-12, 5.8*^-14, 2.*^-15, 0., 0., 4.*^-15, 4.*^-15, 0.}
{0.008103786340259, 0.191605285017079, 0.073894568287123, 0.07501734986962, 0.028399308212622, 0.005494744123501, 0.000642325347718, 0.000050260859764, 2.818974053*^-6, 1.18978133*^-7, 3.918337*^-9, 1.03601*^-10, 2.289*^-12, 5.3*^-14, 1.*^-15, 1.*^-15, 0., 4.*^-15, 4.*^-15, 0.}
{0.008488273212399, 0.204506540710022, 0.080171511467708, 0.079767258420721, 0.029710672513762, 0.00566297900967, 0.000652581448684, 0.000050358491001, 2.786245346*^-6, 1.16029304*^-7, 3.770844*^-9, 9.8396*^-11, 2.145*^-12, 5.*^-14, 2.*^-15, 1.*^-15, 1.*^-15, 5.*^-15, 4.*^-15, 1.*^-15}
{0.008863170368399, 0.217741336488396, 0.086745674599244, 0.084596935728522, 0.031000596317425, 0.005820617063039, 0.00066116693353, 0.000050313074693, 2.745875098*^-6, 1.12815462*^-7, 3.617783*^-9, 9.3158*^-11, 2.003*^-12, 4.6*^-14, 2.*^-15, 1.*^-15, 1.*^-15, 5.*^-15, 4.*^-15, 1.*^-15}
{0.009227010931698, 0.231287395170976, 0.093613975714674, 0.089494044478141, 0.032264284823732, 0.005967063940277, 0.000668074288312, 0.00005012961758, 2.698453385*^-6, 1.0937274*^-7, 3.460609*^-9, 8.793*^-11, 1.864*^-12, 4.2*^-14, 1.*^-15, 1.*^-15, 2.*^-15, 5.*^-15, 4.*^-15, 1.*^-15}
{0.009578566834889, 0.245121572384989, 0.100772275181053, 0.094445921183708, 0.033497127227944, 0.006101806567041, 0.000673307743609, 0.000049813931923, 2.644592945*^-6, 1.05736685*^-7, 3.300689*^-9, 8.2749*^-11, 1.73*^-12, 3.8*^-14, 1.*^-15, 1.*^-15, 2.*^-15, 5.*^-15, 4.*^-15, 2.*^-15}
{0.009916881566654, 0.259219966897833, 0.108215379685222, 0.099439632372557, 0.034694715525947, 0.006224412653749, 0.000676882495179, 0.000049372517686, 2.584920405*^-6, 1.01941871*^-7, 3.139298*^-9, 7.7648*^-11, 1.601*^-12, 3.5*^-14, 2.*^-15, 2.*^-15, 2.*^-15, 6.*^-15, 4.*^-15, 2.*^-15}
{0.010241301545889, 0.273558034580248, 0.115937052053402, 0.104462031911213, 0.035852861826326, 0.006334529752593, 0.000678823899777, 0.000048812449376, 2.52006833*^-6, 9.8021585*^-8, 2.977609*^-9, 7.2656*^-11, 1.477*^-12, 3.2*^-14, 1.*^-15, 1.*^-15, 2.*^-15, 5.*^-15, 4.*^-15, 2.*^-15}
{0.010551505729007, 0.288110705199204, 0.123930026865821, 0.109499819142133, 0.036967614099468, 0.006431883880032, 0.000679166653196, 0.000048141268037, 2.450668089*^-6, 9.4007568*^-8, 2.816692*^-9, 6.7798*^-11, 1.359*^-12, 2.9*^-14, 1.*^-15, 2.*^-15, 3.*^-15, 6.*^-15, 4.*^-15, 3.*^-15}
{0.010847533066342, 0.302852501218242, 0.132186031786487, 0.114539597497616, 0.03803527030548, 0.006516277731011, 0.00067795395733, 0.000047366878838, 2.377343493*^-6, 8.9929798*^-8, 2.65751*^-9, 6.3094*^-11, 1.248*^-12, 2.7*^-14, 2.*^-15, 2.*^-15, 3.*^-15, 7.*^-15, 3.*^-15, 3.*^-15}
{0.011129807438485, 0.317757657770278, 0.14069581448809, 0.11956793325695, 0.039052390854277, 0.006587588512939, 0.000675236682764, 0.0000464974546, 2.300705228*^-6, 8.5816333*^-8, 2.500918*^-9, 5.8562*^-11, 1.142*^-12, 2.5*^-14, 2.*^-15, 1.*^-15, 4.*^-15, 7.*^-15, 3.*^-15, 4.*^-15}
{0.011399159723199, 0.332800242963095, 0.149449175012925, 0.124571414114673, 0.040015809362743, 0.00664576542887, 0.000671072533024, 0.000045541345539, 2.221346008*^-6, 8.1693199*^-8, 2.347667*^-9, 5.4214*^-11, 1.042*^-12, 2.2*^-14, 1.*^-15, 0., 4.*^-15, 7.*^-15, 3.*^-15, 3.*^-15}
{0.01165684666814, 0.347954277681064, 0.158435003373184, 0.12953670723175, 0.040922641685509, 0.006690826840618, 0.000665525216275, 0.000044506995435, 2.139836441*^-6, 7.7584309*^-8, 2.198409*^-9, 5.0062*^-11, 9.49*^-13, 2.1*^-14, 2.*^-15, 1.*^-15, 4.*^-15, 7.*^-15, 3.*^-15, 4.*^-15}
{0.011904566273649, 0.363193854057824, 0.167641322158043, 0.134450616447529, 0.041770293207343, 0.006722857143425, 0.000658663629859, 0.000043402864342, 2.056721558*^-6, 7.3511418*^-8, 2.053691*^-9, 4.6112*^-11, 8.61*^-13, 1.8*^-14, 1.*^-15, 0., 4.*^-15, 6.*^-15, 3.*^-15, 3.*^-15}
{0.012144469423283, 0.378493251813712, 0.177055333881211, 0.139300138338347, 0.042556464396515, 0.006742003384531, 0.000650561062649, 0.000042237357956, 1.972517985*^-6, 6.9494126*^-8, 1.913973*^-9, 4.2371*^-11, 7.8*^-13, 1.6*^-14, 1.*^-15, 0., 4.*^-15, 7.*^-15, 3.*^-15, 3.*^-15}
{0.012379167536848, 0.393827051678397, 0.186663472770965, 0.144072516818649, 0.043279154629514, 0.00674847165837, 0.000641294419747, 0.000041018763583, 1.887711693*^-6, 6.5549878*^-8, 1.779622*^-9, 3.8839*^-11, 7.05*^-13, 1.5*^-14, 1.*^-15, 0., 4.*^-15, 6.*^-15, 3.*^-15, 3.*^-15}
