{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
{4.1750602974843793*^-8 + 0.*I, 0.9935991679061841 + 0.*I, 0.9935995621081996 + 0.*I, 1.2190827902713863*^-6 + 0.*I, 1.1571946068045236*^-6 + 0.*I, 6.483070080776088*^-7 + 0.*I, 3.0565798780912706*^-7 + 0.*I, 1.8610402108265592*^-8 + 0.*I, 5.438920425149263*^-8 + 0.*I, 1.0731520060612566*^-7 + 0.*I, 1.1983840295971829*^-7 + 0.*I, 9.624406219906652*^-9 + 0.*I, 2.4596406899072687*^-8 + 0.*I}
