{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.34861150528240353 + 0.*I, 0.2604652094853943 + 0.*I, 0.25147691187858984 + 0.*I, 0.23112289606799233 + 0.*I, 0.09571662475220677 + 0.*I, 0.011991289717805389 + 0.*I, 0.0007619462467856054 + 0.*I, 0.000029652177802041994 + 0.*I, 7.782601896266784*^-7 + 0.*I, 3.0049807087095814*^-8 + 0.*I, 1.0590019972056554*^-7 + 0.*I, 8.085420111214604*^-7 + 0.*I, 3.531239745058201*^-8 + 0.*I, 4.5630500045135145*^-6 + 0.*I, 3.8794079060267*^-7 + 0.*I, 3.3439871982565705*^-6 + 0.*I, 8.328701950333085*^-7 + 0.*I, 8.202059031958697*^-8 + 0.*I, 4.466982339579317*^-9 + 0.*I, 1.5478729409323932*^-10 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.3479530605029924 + 0.*I, 0.26604673583121574 + 0.*I, 0.2571986944982063 + 0.*I, 0.22751460754719677 + 0.*I, 0.0981146138960165 + 0.*I, 0.012621034700988078 + 0.*I, 0.000821174521803414 + 0.*I, 0.00003268796879840608 + 0.*I, 8.770967951932107*^-7 + 0.*I, 3.229840839225062*^-8 + 0.*I, 1.1351499740186455*^-7 + 0.*I, 8.425578013060431*^-7 + 0.*I, 5.9110805139539486*^-8 + 0.*I, 4.4964815870685015*^-6 + 0.*I, 5.776797928902511*^-7 + 0.*I, 3.471976794955367*^-6 + 0.*I, 8.9262039981719*^-7 + 0.*I, 9.012739443647888*^-8 + 0.*I, 5.023403915060953*^-9 + 0.*I, 1.7841284005726268*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.3470842296305898 + 0.*I, 0.2711441463276066 + 0.*I, 0.2624642455139936 + 0.*I, 0.2237047335068132 + 0.*I, 0.10050508462540186 + 0.*I, 0.013273354383791515 + 0.*I, 0.0008841497311840031 + 0.*I, 0.00003599261579889657 + 0.*I, 9.871335970856878*^-7 + 0.*I, 3.4621594480199747*^-8 + 0.*I, 1.2153920092572434*^-7 + 0.*I, 8.77170203139599*^-7 + 0.*I, 1.588324138879216*^-7 + 0.*I, 4.419034382863175*^-6 + 0.*I, 7.775833976708669*^-7 + 0.*I, 3.6008223958106105*^-6 + 0.*I, 9.556401892041322*^-7 + 0.*I, 9.891520935667586*^-8 + 0.*I, 5.641198619343868*^-9 + 0.*I, 2.0519141941122143*^-10 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 1.6209256159527285*^-12 + 0.*I}
{0.3460052363021937 + 0.*I, 0.27575723333441715 + 0.*I, 0.26727446704839514 + 0.*I, 0.2196969103057889 + 0.*I, 0.10288524928518951 + 0.*I, 0.013948534937591184 + 0.*I, 0.0009510492602116117 + 0.*I, 0.00003958609180454431 + 0.*I, 1.1094853924475958*^-6 + 0.*I, 3.700819650731546*^-8 + 0.*I, 1.299856000613886*^-7 + 0.*I, 9.1234639842952*^-7 + 0.*I, 2.63853405790826*^-7 + 0.*I, 4.330523606377313*^-6 + 0.*I, 9.876615969517388*^-7 + 0.*I, 3.730267805757137*^-6 + 0.*I, 1.022037587894431*^-6 + 0.*I, 1.0843019815354182*^-7 + 0.*I, 6.325984180932665*^-9 + 0.*I, 2.354116901415182*^-10 + 0.*I, 4.39648317751562*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.3447165134145891 + 0.*I, 0.27988630463440245 + 0.*I, 0.2716307715926014 + 0.*I, 0.2154950305323977 + 0.*I, 0.10525228231759165 + 0.*I, 0.014646842259202765 + 0.*I, 0.001022055374799713 + 0.*I, 0.00004348954900645908 + 0.*I, 1.245363212554196*^-6 + 0.*I, 3.944320425830484*^-8 + 0.*I, 1.3886420902053942*^-7 + 0.*I, 9.480515927862144*^-7 + 0.*I, 3.7416039155857566*^-7 + 0.*I, 4.2307861880530595*^-6 + 0.*I, 1.2078980038410238*^-6 + 0.*I, 3.860042796510754*^-6 + 0.*I, 1.0919209980642108*^-6 + 0.*I, 1.1872158811598867*^-7 + 0.*I, 7.084599573659035*^-9 + 0.*I, 2.6980639944440554*^-10 + 0.*I, 5.795364188543318*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.3432187020010025 + 0.*I, 0.283532179990198 + 0.*I, 0.2755350767174037 + 0.*I, 0.21110323743178674 + 0.*I, 0.10760332390278293 + 0.*I, 0.01536852091139629 + 0.*I, 0.0010973551740178777 + 0.*I, 0.000047725365592832254 + 0.*I, 1.3960779865485051*^-6 + 0.*I, 4.19096091164306*^-8 + 0.*I, 1.4818701821184277*^-7 + 0.*I, 9.842484161026734*^-7 + 0.*I, 4.897262151359882*^-7 + 0.*I, 4.11968121838413*^-6 + 0.*I, 1.4382530055812026*^-6 + 0.*I, 3.989861618869384*^-6 + 0.*I, 1.1653956022428249*^-6 + 0.*I, 1.2983940589350595*^-7 + 0.*I, 7.923217637539892*^-9 + 0.*I, 3.0802027595200343*^-10 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.3415126498747867 + 0.*I, 0.2866961871266005 + 0.*I, 0.2789897991816171 + 0.*I, 0.20652591900161 + 0.*I, 0.10993548369420128 + 0.*I, 0.016113793079797215 + 0.*I, 0.001177140534003307 + 0.*I, 0.000052317198617757306 + 0.*I, 1.5630521987830548*^-6 + 0.*I, 4.438498457659534*^-8 + 0.*I, 1.5796259855704875*^-7 + 0.*I, 1.0208985878890076*^-6 + 0.*I, 6.105093985908639*^-7 + 0.*I, 3.99709081388977*^-6 + 0.*I, 1.6786584122741033*^-6 + 0.*I, 4.119425400794797*^-6 + 0.*I, 1.2425690032458194*^-6 + 0.*I, 1.4183878516149662*^-7 + 0.*I, 8.85018724972042*^-9 + 0.*I, 3.5218494787159216*^-10 + 0.*I, 8.193445921733655*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.33959941005419214 + 0.*I, 0.2893801571385968 + 0.*I, 0.2819978484561947 + 0.*I, 0.20176770175561745 + 0.*I, 0.11224584462898869 + 0.*I, 0.016882857530187145 + 0.*I, 0.0012616080356186998 + 0.*I, 0.00005729002900967117 + 0.*I, 1.747823197284504*^-6 + 0.*I, 4.684439502966598*^-8 + 0.*I, 1.6820080883661606*^-7 + 0.*I, 1.0579602083282682*^-6 + 0.*I, 7.364544085675107*^-7 + 0.*I, 3.862923203534763*^-6 + 0.*I, 1.9290208097544337*^-6 + 0.*I, 4.2484196161041154*^-6 + 0.*I, 1.3235430085245525*^-6 + 0.*I, 1.5477399362140432*^-7 + 0.*I, 9.872791473242161*^-9 + 0.*I, 4.014122367834716*^-10 + 0.*I, 9.814371537686385*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.33748023895758816 + 0.*I, 0.2915864193417939 + 0.*I, 0.28456261966820495 + 0.*I, 0.19683344417280593 + 0.*I, 0.11453146682200988 + 0.*I, 0.017675888589607783 + 0.*I, 0.0013509588882021364 + 0.*I, 0.00006267021619432711 + 0.*I, 1.9520532079653208*^-6 + 0.*I, 4.925779784059614*^-8 + 0.*I, 1.7891039760797867*^-7 + 0.*I, 1.0953902007670992*^-6 + 0.*I, 8.674904128369577*^-7 + 0.*I, 3.7171107969413697*^-6 + 0.*I, 2.189219006076826*^-6 + 0.*I, 4.376516415938171*^-6 + 0.*I, 1.4084194033259223*^-6 + 0.*I, 1.687042061604416*^-7 + 0.*I, 1.0999401389710785*^-8 + 0.*I, 4.5701220585669944*^-10 + 0.*I, 1.1790568521519164*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.33515659438319023 + 0.*I, 0.29331779556918125 + 0.*I, 0.28668798598159295 + 0.*I, 0.19172822983919424 + 0.*I, 0.11678939152601764 + 0.*I, 0.01849303513519196 + 0.*I, 0.0014453988347984394 + 0.*I, 0.00006848554940930285 + 0.*I, 2.1775375946830877*^-6 + 0.*I, 5.159039861979409*^-8 + 0.*I, 1.900986035252572*^-7 + 0.*I, 1.1331436011730036*^-6 + 0.*I, 1.0035316133638617*^-6 + 0.*I, 3.5596121827907723*^-6 + 0.*I, 2.459103609631086*^-6 + 0.*I, 4.503373407516165*^-6 + 0.*I, 1.4972973971794092*^-6 + 0.*I, 1.8369039622712083*^-7 + 0.*I, 1.2239609326059053*^-8 + 0.*I, 5.192068996962007*^-10 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3326301332713833 + 0.*I, 0.2945775939209972 + 0.*I, 0.28837829042718255 + 0.*I, 0.18645736029239138 + 0.*I, 0.11901664515958642 + 0.*I, 0.019334419604999376 + 0.*I, 0.0015451380507958135 + 0.*I, 0.00007476529699790291 + 0.*I, 2.426212586392751*^-6 + 0.*I, 5.380060841275736*^-8 + 0.*I, 2.0177179926861302*^-7 + 0.*I, 1.1711734027031186*^-6 + 0.*I, 1.1444767800128377*^-6 + 0.*I, 3.390412994797032*^-6 + 0.*I, 2.738496984733274*^-6 + 0.*I, 4.628635585923747*^-6 + 0.*I, 1.5902725802874331*^-6 + 0.*I, 1.9979620180521354*^-7 + 0.*I, 1.3603007609219732*^-8 + 0.*I, 5.895950394574357*^-10 + 0.*I, 1.638689184346731*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.32990270925139514 + 0.*I, 0.29536960198799367 + 0.*I, 0.28963833719219956 + 0.*I, 0.18102634757981576 + 0.*I, 0.12121024339180056 + 0.*I, 0.02020013702521695 + 0.*I, 0.001650391026197795 + 0.*I, 0.0000815402616094474 + 0.*I, 2.7001652025404614*^-6 + 0.*I, 5.58411983320184*^-8 + 0.*I, 2.139352028862618*^-7 + 0.*I, 1.2094311996335707*^-6 + 0.*I, 1.2902092061395365*^-6 + 0.*I, 3.2095264002052204*^-6 + 0.*I, 3.0271924078562056*^-6 + 0.*I, 4.751933802005226*^-6 + 0.*I, 1.6874380115439182*^-6 + 0.*I, 2.170879920271318*^-7 + 0.*I, 1.5100409811452664*^-8 + 0.*I, 6.681988296008967*^-10 + 0.*I, 1.9184653865522708*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.32697636998419993 + 0.*I, 0.29569807954721306 + 0.*I, 0.2904733823864136 + 0.*I, 0.1754409065434004 + 0.*I, 0.12336719528081021 + 0.*I, 0.021090254059985547 + 0.*I, 0.0017613764395907339 + 0.*I, 0.00008884283040355712 + 0.*I, 3.001642201461152*^-6 + 0.*I, 5.7659010899158154*^-8 + 0.*I, 2.265925891364873*^-7 + 0.*I, 1.24786561084278*^-6 + 0.*I, 1.4405961978880557*^-6 + 0.*I, 3.016993788129696*^-6 + 0.*I, 3.324954400696356*^-6 + 0.*I, 4.8728860058133705*^-6 + 0.*I, 1.7888821979283878*^-6 + 0.*I, 2.3563400119996916*^-7 + 0.*I, 1.6743006980846076*^-8 + 0.*I, 7.559952663882541*^-10 + 0.*I, 2.240430063693566*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3238533542940125 + 0.*I, 0.2955677507512134 + 0.*I, 0.2908891242983991 + 0.*I, 0.16970694684221854 + 0.*I, 0.12548450745899498 + 0.*I, 0.022004808085007713 + 0.*I, 0.0018783170156133624 + 0.*I, 0.00009670703098318967 + 0.*I, 3.333061004973104*^-6 + 0.*I, 5.919078560623348*^-8 + 0.*I, 2.3974640050994367*^-7 + 0.*I, 1.2864261877965077*^-6 + 0.*I, 1.5954900067782776*^-6 + 0.*I, 2.8128848139630236*^-6 + 0.*I, 3.631517797586525*^-6 + 0.*I, 4.991098001561057*^-6 + 0.*I, 1.8946903823646721*^-6 + 0.*I, 2.5550659366047057*^-7 + 0.*I, 1.854298936621035*^-8 + 0.*I, 8.546052754354606*^-10 + 0.*I, 2.600142323672117*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.32053608910398435 + 0.*I, 0.2949837958166057 + 0.*I, 0.29089169315978936 + 0.*I, 0.16383056472299984 + 0.*I, 0.12755918835558602 + 0.*I, 0.022943806286379598 + 0.*I, 0.0020014393737888274 + 0.*I, 0.0001051685805997238 + 0.*I, 3.6970190020468863*^-6 + 0.*I, 6.036700028744235*^-8 + 0.*I, 2.5339759179843213*^-7 + 0.*I, 1.3250583963397844*^-6 + 0.*I, 1.7547256092598218*^-6 + 0.*I, 2.59729939777742*^-6 + 0.*I, 3.946587390224465*^-6 + 0.*I, 5.106163203372205*^-6 + 0.*I, 2.0049427895685312*^-6 + 0.*I, 2.7677939939962926*^-7 + 0.*I, 2.0512813669881783*^-8 + 0.*I, 9.64606172715321*^-10 + 0.*I, 2.999822612537173*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.31702718617241393 + 0.*I, 0.2939518422296006 + 0.*I, 0.2904876404262069 + 0.*I, 0.1578180345556124 + 0.*I, 0.129588252456192 + 0.*I, 0.023907224786201553 + 0.*I, 0.0021309738612140805 + 0.*I, 0.00011426494399557897 + 0.*I, 4.096305206147122*^-6 + 0.*I, 6.110678629767108*^-8 + 0.*I, 2.6754500837000705*^-7 + 0.*I, 1.3637079909756269*^-6 + 0.*I, 1.9181231936116205*^-6 + 0.*I, 2.370365814741149*^-6 + 0.*I, 4.269838815851302*^-6 + 0.*I, 5.2176639897538735*^-6 + 0.*I, 2.119714803683337*^-6 + 0.*I, 2.995302006425504*^-7 + 0.*I, 2.2667001609022467*^-8 + 0.*I, 1.0873968392388633*^-9 + 0.*I, 3.479438959175241*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.31332943863719986 + 0.*I, 0.29247795547759914 + 0.*I, 0.28968392760220235 + 0.*I, 0.15167580013921714 + 0.*I, 0.13156872458601754 + 0.*I, 0.024895007800407324 + 0.*I, 0.002267154374413494 + 0.*I, 0.00012403538260929992 + 0.*I, 4.533911601711793*^-6 + 0.*I, 6.132081509235832*^-8 + 0.*I, 2.821859856894094*^-7 + 0.*I, 1.4023188166234492*^-6 + 0.*I, 2.0854864057895384*^-6 + 0.*I, 2.1322437815385346*^-6 + 0.*I, 4.600917202779442*^-6 + 0.*I, 5.325171192893663*^-6 + 0.*I, 2.239076390964101*^-6 + 0.*I, 3.238384005399553*^-7 + 0.*I, 2.5020008287413024*^-8 + 0.*I, 1.2245982006220404*^-9 + 0.*I, 4.04121180963557*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.309445817376397 + 0.*I, 0.29056862932099753 + 0.*I, 0.2884879146167974 + 0.*I, 0.14541046580018868 + 0.*I, 0.13349764421419774 + 0.*I, 0.025907066822994377 + 0.*I, 0.0024102181662044586 + 0.*I, 0.00013452100999788996 + 0.*I, 5.01304460165386*^-6 + 0.*I, 6.090778992273727*^-8 + 0.*I, 2.973152168905813*^-7 + 0.*I, 1.4408340076599304*^-6 + 0.*I, 2.2566030155601884*^-6 + 0.*I, 1.8831225911952743*^-6 + 0.*I, 4.939438791318197*^-6 + 0.*I, 5.4282456085630315*^-6 + 0.*I, 2.363091189394595*^-6 + 0.*I, 3.4978639984473153*^-7 + 0.*I, 2.7587199191714262*^-8 + 0.*I, 1.3768097772981491*^-9 + 0.*I, 4.6407322429331543*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.3053794671825872 + 0.*I, 0.28823077562538657 + 0.*I, 0.2869073477753892 + 0.*I, 0.13902878728859758 + 0.*I, 0.13537206977320973 + 0.*I, 0.026943279851598945 + 0.*I, 0.002560405642415553 + 0.*I, 0.00014576484439476903 + 0.*I, 5.537138392242014*^-6 + 0.*I, 5.975300254590366*^-8 + 0.*I, 3.1292599622645417*^-7 + 0.*I, 1.4791955882387244*^-6 + 0.*I, 2.4312448054786273*^-6 + 0.*I, 1.623221801416719*^-6 + 0.*I, 5.284989001985708*^-6 + 0.*I, 5.526437996117294*^-6 + 0.*I, 2.491817596705914*^-6 + 0.*I, 3.7745979675207764*^-7 + 0.*I, 3.038560514312394*^-8 + 0.*I, 1.546585082223828*^-9 + 0.*I, 5.3401727484470036*^-11 + 0.*I, 0. + 0.*I}
{0.301133702764389 + 0.*I, 0.2854717137588115 + 0.*I, 0.28495034730040564 + 0.*I, 0.13253766248959578 + 0.*I, 0.13718908298121502 + 0.*I, 0.02800349064000507 + 0.*I, 0.0027179601415960875 + 0.*I, 0.00015781186120111815 + 0.*I, 6.1098668124870414*^-6 + 0.*I, 5.7729798719208254*^-8 + 0.*I, 3.290083983031878*^-7 + 0.*I, 1.517344605517224*^-6 + 0.*I, 2.609168614498003*^-6 + 0.*I, 1.3527932107848528*^-6 + 0.*I, 5.637124012025652*^-6 + 0.*I, 5.61929058839894*^-6 + 0.*I, 2.625305794978772*^-6 + 0.*I, 4.0694621006309717*^-7 + 0.*I, 3.3433011914496547*^-8 + 0.*I, 1.7349899295027173*^-9 + 0.*I, 6.121769757783113*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.2967120045749949 + 0.*I, 0.2822991595806013 + 0.*I, 0.28262539448158375 + 0.*I, 0.12594412196518245 + 0.*I, 0.13894579316879874 + 0.*I, 0.029087507993819095 + 0.*I, 0.002883127704400579 + 0.*I, 0.0001707090448110904 + 0.*I, 6.735157609405463*^-6 + 0.*I, 5.469580344197311*^-8 + 0.*I, 3.4555001082736686*^-7 + 0.*I, 1.5552221954706624*^-6 + 0.*I, 2.7901137844565937*^-6 + 0.*I, 1.0721179943828931*^-6 + 0.*I, 5.995370799816158*^-6 + 0.*I, 5.7063366032394924*^-6 + 0.*I, 2.7635997934538636*^-6 + 0.*I, 4.3833698892825623*^-7 + 0.*I, 3.674818227494825*^-8 + 0.*I, 1.944000516118649*^-9 + 0.*I, 7.01882996168024*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.2921180144765945 + 0.*I, 0.2787212140256124 + 0.*I, 0.2799413184565891 + 0.*I, 0.11925531933560943 + 0.*I, 0.1406393415945839 + 0.*I, 0.030195105104602327 + 0.*I, 0.0030561568284070972 + 0.*I, 0.00018450544059245289 + 0.*I, 7.417205782900284*^-6 + 0.*I, 5.049278772872867*^-8 + 0.*I, 3.625356015390935*^-7 + 0.*I, 1.5927682062155668*^-6 + 0.*I, 2.9738066009699082*^-6 + 0.*I, 7.815089908547179*^-7 + 0.*I, 6.359227411323332*^-6 + 0.*I, 5.787102197452043*^-6 + 0.*I, 2.906735385721504*^-6 + 0.*I, 4.7172539208162345*^-7 + 0.*I, 4.035121126122476*^-8 + 0.*I, 2.175815083660382*^-9 + 0.*I, 8.040235144335384*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.28735553124419333 + 0.*I, 0.274746351312416 + 0.*I, 0.2769072826365849 + 0.*I, 0.11247852151838879 + 0.*I, 0.1422669057514092 + 0.*I, 0.03132601892159581 + 0.*I, 0.0032372982095907332 + 0.*I, 0.00019925220620109485 + 0.*I, 8.160488818020895*^-6 + 0.*I, 4.4945003274676765*^-8 + 0.*I, 3.799468073495405*^-7 + 0.*I, 1.62992281893537*^-6 + 0.*I, 3.159956185605495*^-6 + 0.*I, 4.813095921818444*^-7 + 0.*I, 6.72816260482989*^-6 + 0.*I, 5.861107199578441*^-6 + 0.*I, 3.054739994290401*^-6 + 0.*I, 5.072068098854743*^-7 + 0.*I, 4.4263392950938396*^-8 + 0.*I, 2.4322099889673154*^-9 + 0.*I, 9.199307982044047*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.2824285059171983 + 0.*I, 0.27038340678060546 + 0.*I, 0.2735327708015989 + 0.*I, 0.10562109883960336 + 0.*I, 0.14382570364739333 + 0.*I, 0.03247994957000788 + 0.*I, 0.0034268044702079337 + 0.*I, 0.00021500266078611221 + 0.*I, 8.969781406520383*^-6 + 0.*I, 3.7858782775401785*^-8 + 0.*I, 3.9776240079447694*^-7 + 0.*I, 1.666625593088611*^-6 + 0.*I, 3.3482586037081323*^-6 + 0.*I, 1.7189460965738593*^-7 + 0.*I, 7.1016178049276846*^-6 + 0.*I, 5.9278647990268504*^-6 + 0.*I, 3.20763280381442*^-6 + 0.*I, 5.448810069808019*^-7 + 0.*I, 4.85067985778187*^-8 + 0.*I, 2.716005198521998*^-9 + 0.*I, 1.0460521338018225*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I}
{0.2773410370026097 + 0.*I, 0.2656415643828014 + 0.*I, 0.2698275728815869 + 0.*I, 0.09869051502939821 + 0.*I, 0.14531299806499479 + 0.*I, 0.033656559812800246 + 0.*I, 0.0036249298750012926 + 0.*I, 0.00023181233499425247 + 0.*I, 9.850170012981607*^-6 + 0.*I, 2.9018187852614116*^-8 + 0.*I, 4.159571798112438*^-7 + 0.*I, 1.7028163989962766*^-6 + 0.*I, 3.5383936003441367*^-6 + 0.*I, 1.4633179112877317*^-7 + 0.*I, 7.479005992294674*^-6 + 0.*I, 5.986883810926714*^-6 + 0.*I, 3.3654229847357446*^-6 + 0.*I, 5.848484141424138*^-7 + 0.*I, 5.310538675473708*^-8 + 0.*I, 3.029199113768755*^-9 + 0.*I, 1.1881606809538425*^-10 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.27209736553799324 + 0.*I, 0.2605303438431905 + 0.*I, 0.2658017704463944 + 0.*I, 0.09169431711599786 + 0.*I, 0.14672610078219073 + 0.*I, 0.03485547455699401 + 0.*I, 0.003831930032793807 + 0.*I, 0.00024973901879832283 + 0.*I, 0.000010807072015062149 + 0.*I, 1.8186208095016813*^-8 + 0.*I, 4.345020121476751*^-7 + 0.*I, 1.7384351957971944*^-6 + 0.*I, 3.7300281974239624*^-6 + 0.*I, 4.729344027509797*^-7 + 0.*I, 7.859713790914213*^-6 + 0.*I, 6.037669209035812*^-6 + 0.*I, 3.5281116028684782*^-6 + 0.*I, 6.272133923346247*^-7 + 0.*I, 5.808480363356239*^-8 + 0.*I, 3.375388857307371*^-9 + 0.*I, 1.3500311979441904*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I}
{0.2667018700196033 + 0.*I, 0.2550595875024042 + 0.*I, 0.261465721926002 + 0.*I, 0.08464012523741182 + 0.*I, 0.14806237675319966 + 0.*I, 0.03607628040940281 + 0.*I, 0.004048061584005503 + 0.*I, 0.00026884280901473545 + 0.*I, 0.000011846249003966138 + 0.*I, 5.101408184771118*^-9 + 0.*I, 4.5336401299778123*^-7 + 0.*I, 1.7734232082844417*^-6 + 0.*I, 3.922814606482916*^-6 + 0.*I, 8.074487967135725*^-7 + 0.*I, 8.243101201621528*^-6 + 0.*I, 6.079722791874077*^-6 + 0.*I, 3.6956876003912953*^-6 + 0.*I, 6.720822121053516*^-7 + 0.*I, 6.347120606875478*^-8 + 0.*I, 3.7568170796475905*^-9 + 0.*I, 1.5298873279334657*^-10 + 0.*I, 3.419486915845482*^-12 + 0.*I}
{0.26115906120218746 + 0.*I, 0.24923944686698898 + 0.*I, 0.256830047575396 + 0.*I, 0.07753562238079771 + 0.*I, 0.14931924824639342 + 0.*I, 0.037318525281593296 + 0.*I, 0.004273581879599143 + 0.*I, 0.0002891861540010865 + 0.*I, 0.000012973826790663168 + 0.*I, 1.052460341099959*^-8 + 0.*I, 4.725051905296596*^-7 + 0.*I, 1.807721616842173*^-6 + 0.*I, 4.116392604558428*^-6 + 0.*I, 1.1493807905438305*^-6 + 0.*I, 8.628503000984722*^-6 + 0.*I, 6.112545003489345*^-6 + 0.*I, 3.868131392970042*^-6 + 0.*I, 7.195636086976265*^-7 + 0.*I, 6.929319340542861*^-8 + 0.*I, 4.1773917658360915*^-9 + 0.*I, 1.7339463198595697*^-10 + 0.*I, 4.596323321948148*^-12 + 0.*I}
{0.2554735767803962 + 0.*I, 0.2430803688789896 + 0.*I, 0.2519056142176179 + 0.*I, 0.07038854406460349 + 0.*I, 0.15049419892019245 + 0.*I, 0.03858171804300703 + 0.*I, 0.004508748639797666 + 0.*I, 0.0003108338967994229 + 0.*I, 0.00001419631101562402 + 0.*I, 2.900619744394817*^-8 + 0.*I, 4.918845997181621*^-7 + 0.*I, 1.8412719793303724*^-6 + 0.*I, 4.310388801442855*^-6 + 0.*I, 1.4982074025837735*^-6 + 0.*I, 9.015229407438596*^-6 + 0.*I, 6.135634400550317*^-6 + 0.*I, 4.045410206821032*^-6 + 0.*I, 7.697682047336231*^-7 + 0.*I, 7.557960923776365*^-8 + 0.*I, 4.639799655592469*^-9 + 0.*I, 1.9599877276732514*^-10 + 0.*I, 5.395683899678261*^-12 + 0.*I}
{0.24965017595039998 + 0.*I, 0.23659308192840459 + 0.*I, 0.2467035197710077 + 0.*I, 0.0632066679836063 + 0.*I, 0.1515847778478019 + 0.*I, 0.039865328230614956 + 0.*I, 0.004753819608405152 + 0.*I, 0.0003338533206109773 + 0.*I, 0.000015520607399288622 + 0.*I, 5.068920838624536*^-8 + 0.*I, 5.114553891516494*^-7 + 0.*I, 1.8740177853970865*^-6 + 0.*I, 4.504418416040324*^-6 + 0.*I, 1.8533772072615309*^-6 + 0.*I, 9.402567191507671*^-6 + 0.*I, 6.148490405699648*^-6 + 0.*I, 4.227481409380118*^-6 + 0.*I, 8.228089987127874*^-7 + 0.*I, 8.236180626397527*^-8 + 0.*I, 5.147993142884389*^-9 + 0.*I, 2.2140067557074872*^-10 + 0.*I, 5.995204332975846*^-12 + 0.*I}
{0.24369373386881055 + 0.*I, 0.2297885816247902 + 0.*I, 0.24123507759499233 + 0.*I, 0.05599780362539609 + 0.*I, 0.15258860346860637 + 0.*I, 0.041168785809597715 + 0.*I, 0.005009052190008134 + 0.*I, 0.00035831418718768054 + 0.*I, 0.000016954040993333308 + 0.*I, 7.595279960526115*^-8 + 0.*I, 5.311645789873866*^-7 + 0.*I, 1.9059036127089257*^-6 + 0.*I, 4.6980832113519*^-6 + 0.*I, 2.2143120004258776*^-6 + 0.*I, 9.78977978682849*^-6 + 0.*I, 6.150614595412663*^-6 + 0.*I, 4.414290000198662*^-6 + 0.*I, 8.788019867367326*^-7 + 0.*I, 8.967340203724916*^-8 + 0.*I, 5.706413119810349*^-9 + 0.*I, 2.496003403962277*^-10 + 0.*I, 7.394085344003543*^-12 + 0.*I}
{0.23760923600959497 + 0.*I, 0.22267811634339996 + 0.*I, 0.23551180067098446 + 0.*I, 0.04876978187600134 + 0.*I, 0.15350336746899895 + 0.*I, 0.042491480986206476 + 0.*I, 0.005274703074009679 + 0.*I, 0.00038428877580098947 + 0.*I, 0.000018504373811012446 + 0.*I, 1.0521039595090544*^-7 + 0.*I, 5.509547928994607*^-7 + 0.*I, 1.93687579308488*^-6 + 0.*I, 4.890975979776614*^-6 + 0.*I, 2.580406799346236*^-6 + 0.*I, 0.00001017610959941351 + 0.*I, 6.141510189294763*^-6 + 0.*I, 4.605768411103384*^-6 + 0.*I, 9.378638088364255*^-7 + 0.*I, 9.754841379105984*^-8 + 0.*I, 6.319389456166391*^-9 + 0.*I, 2.818190125708498*^-10 + 0.*I, 8.593126210598712*^-12 + 0.*I}
