{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.026842809730798223 + 0.*I, 0.0722725505144073 + 0.*I, 0.011912698403993005 + 0.*I, 0.12901265723679337 + 0.*I, 0.13621465312221304 + 0.*I, 0.08366786582181263 + 0.*I, 0.01788613557460739 + 0.*I, 0.002102902454792499 + 0.*I, 0.00015838543498958302 + 0.*I, 1.6020105908509663*^-6 + 0.*I, 0.000013797427600437118 + 0.*I, 3.2266745941811337*^-6 + 0.*I, 0.000021112774017950642 + 0.*I, 0.00001090765739952815 + 0.*I, 0.000013229999185071508 + 0.*I, 1.004834992990311*^-6 + 0.*I, 3.5370053996786063*^-6 + 0.*I, 1.022683204787711*^-6 + 0.*I, 1.282280059911045*^-7 + 0.*I, 9.338396722569087*^-9 + 0.*I, 4.416023102749023*^-10 + 0.*I, 1.318944953254686*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.019030919583595818 + 0.*I, 0.08341665209821159 + 0.*I, 0.0041186389837966075 + 0.*I, 0.1334708682551922 + 0.*I, 0.1339830889897975 + 0.*I, 0.08510996808941407 + 0.*I, 0.018546725827994773 + 0.*I, 0.002216179284797448 + 0.*I, 0.0001694460934009712 + 0.*I, 2.005376198432885*^-6 + 0.*I, 0.000014033468809238059 + 0.*I, 3.912480606160784*^-6 + 0.*I, 0.000021145498996233414 + 0.*I, 0.000011048324388696074 + 0.*I, 0.000013248014996136703 + 0.*I, 1.2648553981975399*^-6 + 0.*I, 3.6063712016698446*^-6 + 0.*I, 1.0701879826768847*^-6 + 0.*I, 1.366148083548069*^-7 + 0.*I, 1.0107803483094813*^-8 + 0.*I, 4.854117108266109*^-10 + 0.*I, 1.518785097687214*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.011256840745393903 + 0.*I, 0.09448380819039315 + 0.*I, 0.003555290662404787 + 0.*I, 0.13774475975039113 + 0.*I, 0.13164316836380419 + 0.*I, 0.08653592187501946 + 0.*I, 0.019222846492605864 + 0.*I, 0.002334370839007782 + 0.*I, 0.00018117548101770356 + 0.*I, 2.4539427823100372*^-6 + 0.*I, 0.00001425799620591306 + 0.*I, 4.623643601320282*^-6 + 0.*I, 0.000021149914997131706 + 0.*I, 0.00001116699899217366 + 0.*I, 0.000013248227781481605 + 0.*I, 1.5343447845594937*^-6 + 0.*I, 3.6739252085027374*^-6 + 0.*I, 1.1192180071617486*^-6 + 0.*I, 1.4545920024033879*^-7 + 0.*I, 1.0932410532404901*^-8 + 0.*I, 5.323963492287477*^-10 + 0.*I, 1.658673198789984*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.003526289078203959 + 0.*I, 0.10546158909938708 + 0.*I, 0.011098544955379099 + 0.*I, 0.1418304247182034 + 0.*I, 0.12919623014759907 + 0.*I, 0.08794412294379496 + 0.*I, 0.019914498526807378 + 0.*I, 0.002457628169394433 + 0.*I, 0.00019360721159600303 + 0.*I, 2.9513773869283*^-6 + 0.*I, 0.00001446985560260572 + 0.*I, 5.359986188224753*^-6 + 0.*I, 0.000021125332794191823 + 0.*I, 0.000011262842192216738 + 0.*I, 0.00001323021479038289 + 0.*I, 1.8132104040446966*^-6 + 0.*I, 3.739470399999334*^-6 + 0.*I, 1.169787200439032*^-6 + 0.*I, 1.5478160975135324*^-7 + 0.*I, 1.1816991829505243*^-8 + 0.*I, 5.841993555577575*^-10 + 0.*I, 1.8607337892717624*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.004155089784396715 + 0.*I, 0.11633776663380059 + 0.*I, 0.01850085337800067 + 0.*I, 0.14572420563281344 + 0.*I, 0.12664374523421176 + 0.*I, 0.08933295381921004 + 0.*I, 0.020621666542197662 + 0.*I, 0.002586104078994289 + 0.*I, 0.00020677619159137353 + 0.*I, 3.501579004527855*^-6 + 0.*I, 0.00001466784600445692 + 0.*I, 6.121281992399474*^-6 + 0.*I, 0.000021071104194803073 + 0.*I, 0.000011335042415794305 + 0.*I, 0.000013193581005488397 + 0.*I, 2.1013396134250684*^-6 + 0.*I, 3.802803383301523*^-6 + 0.*I, 1.2219062206497713*^-6 + 0.*I, 1.6460139917739983*^-7 + 0.*I, 1.276481143008823*^-8 + 0.*I, 6.405986852087153*^-10 + 0.*I, 2.0805579481475437*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.01178172569860081 + 0.*I, 0.12710032647578196 + 0.*I, 0.025752231516396055 + 0.*I, 0.1494226985544023 + 0.*I, 0.12398731545359977 + 0.*I, 0.09070078555200034 + 0.*I, 0.021344318329807876 + 0.*I, 0.0027199530084009993 + 0.*I, 0.00022071864800299323 + 0.*I, 4.10868858935487*^-6 + 0.*I, 0.000014850721807846414 + 0.*I, 6.9072553898763545*^-6 + 0.*I, 0.000020986625193231134 + 0.*I, 0.00001138281819912379 + 0.*I, 0.000013137958587705613 + 0.*I, 2.3986004071829825*^-6 + 0.*I, 3.863716591112621*^-6 + 0.*I, 1.2755839939870839*^-6 + 0.*I, 1.749387967819871*^-7 + 0.*I, 1.3779399843372175*^-8 + 0.*I, 7.017941783260541*^-10 + 0.*I, 2.3203661214665772*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.019348129161611553 + 0.*I, 0.13773748022121168 + 0.*I, 0.032842991659798315 + 0.*I, 0.15292275687761592 + 0.*I, 0.12122867233801406 + 0.*I, 0.09204597953458295 + 0.*I, 0.02208240439880438 + 0.*I, 0.002859330915794267 + 0.*I, 0.0002354721572173091 + 0.*I, 4.777099404940089*^-6 + 0.*I, 0.000015017188181865041 + 0.*I, 7.717579797450469*^-6 + 0.*I, 0.000020871336192662685 + 0.*I, 0.000011405418987031625 + 0.*I, 0.000013063009407510151 + 0.*I, 2.7048406181506834*^-6 + 0.*I, 3.921997793199239*^-6 + 0.*I, 1.3308264046330012*^-6 + 0.*I, 1.8581380878401887*^-7 + 0.*I, 1.4864798281166715*^-8 + 0.*I, 7.677858349097733*^-10 + 0.*I, 2.580158309228864*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.02684889634479437 + 0.*I, 0.1482376770744143 + 0.*I, 0.03976375294800772 + 0.*I, 0.1562214947167906 + 0.*I, 0.1183696756984043 + 0.*I, 0.0933668893539963 + 0.*I, 0.022835857524006194 + 0.*I, 0.0030043951471991903 + 0.*I, 0.0002510756713869356 + 0.*I, 5.51146821514692*^-6 + 0.*I, 0.000015165907196745822 + 0.*I, 8.551875585460778*^-6 + 0.*I, 0.00002072472500280753 + 0.*I, 0.000011402131394611104 + 0.*I, 0.000012968423201975556 + 0.*I, 3.0198859857222264*^-6 + 0.*I, 3.977431184409853*^-6 + 0.*I, 1.3876394033829344*^-6 + 0.*I, 1.972488172796716*^-7 + 0.*I, 1.6026180382766597*^-8 + 0.*I, 8.40416625180751*^-10 + 0.*I, 2.899902540320909*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.034278714002006216 + 0.*I, 0.1585896151808042 + 0.*I, 0.046505451059597476 + 0.*I, 0.15931628991898705 + 0.*I, 0.1154123120262085 + 0.*I, 0.09466186268620724 + 0.*I, 0.023604592312409526 + 0.*I, 0.0031553043063903274 + 0.*I, 0.0002675695490061969 + 0.*I, 6.316730605249177*^-6 + 0.*I, 0.000015295488986488696 + 0.*I, 9.409712808938766*^-6 + 0.*I, 0.000020546330792292625 + 0.*I, 0.000011372275809939937 + 0.*I, 0.00001285392399186236 + 0.*I, 3.343543397704707*^-6 + 0.*I, 4.029796007998244*^-6 + 0.*I, 1.446023412121633*^-6 + 0.*I, 2.092646056439662*^-7 + 0.*I, 1.7267187679692597*^-8 + 0.*I, 9.189982108637198*^-10 + 0.*I, 3.241851231905457*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.04163236425139272 + 0.*I, 0.1687822525973992 + 0.*I, 0.053059347424411214 + 0.*I, 0.16220478671418181 + 0.*I, 0.1123586927066045 + 0.*I, 0.09592924322161522 + 0.*I, 0.024388504773598108 + 0.*I, 0.0033122181129829897 + 0.*I, 0.00028499558100136824 + 0.*I, 7.19810919758146*^-6 + 0.*I, 0.000015404495790072303 + 0.*I, 0.000010290607987961666 + 0.*I, 0.000020335743000643447 + 0.*I, 0.000011315212189444424 + 0.*I, 0.000012719268593919253 + 0.*I, 3.675597004537679*^-6 + 0.*I, 4.07886719955286*^-6 + 0.*I, 1.5059782088044928*^-6 + 0.*I, 2.218830008615669*^-7 + 0.*I, 1.8592616335411094*^-8 + 0.*I, 1.003797045484589*^-9 + 0.*I, 3.619327060278011*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.04890472922540189 + 0.*I, 0.17880481788059568 + 0.*I, 0.059417037955999945 + 0.*I, 0.16488489798838216 + 0.*I, 0.10921105205681238 + 0.*I, 0.09716737262601693 + 0.*I, 0.02518747191180282 + 0.*I, 0.0034752972519980223 + 0.*I, 0.00030339701519999096 + 0.*I, 8.16112879498121*^-6 + 0.*I, 0.000015491441796022798 + 0.*I, 0.000011194023596949876 + 0.*I, 0.00002009260540170033 + 0.*I, 0.00001123034241157228 + 0.*I, 0.00001256424619899832 + 0.*I, 4.015811194690855*^-6 + 0.*I, 4.124417207762576*^-6 + 0.*I, 1.5675007958293463*^-6 + 0.*I, 2.351262073929661*^-7 + 0.*I, 2.000719590000699*^-8 + 0.*I, 1.0956124896210895*^-9 + 0.*I, 3.999023334699814*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.05609079558099861 + 0.*I, 0.18864682028398863 + 0.*I, 0.06557046129480605 + 0.*I, 0.16735480718239604 + 0.*I, 0.10597174518660601 + 0.*I, 0.09837459253219105 + 0.*I, 0.02600135132939663 + 0.*I, 0.0036447032239816934 + 0.*I, 0.0003228185847969911 + 0.*I, 9.211628215766154*^-6 + 0.*I, 0.000015554790011584888 + 0.*I, 0.000012119369219298903 + 0.*I, 0.000019816617191636968 + 0.*I, 0.000011117110010339106 + 0.*I, 0.000012388682213426705 + 0.*I, 4.363927996742235*^-6 + 0.*I, 4.166214395695534*^-6 + 0.*I, 1.630584800516033*^-6 + 0.*I, 2.4901760653506244*^-7 + 0.*I, 2.151641087522194*^-8 + 0.*I, 1.1953993350743988*^-9 + 0.*I, 4.438671652451376*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.0631856588737989 + 0.*I, 0.19829805955700056 + 0.*I, 0.07151190655281248 + 0.*I, 0.16961296981499174 + 0.*I, 0.10264324568560745 + 0.*I, 0.0995492465594161 + 0.*I, 0.026829980847398186 + 0.*I, 0.003820598180404034 + 0.*I, 0.00034330653240211007 + 0.*I, 0.000010355774593406863 + 0.*I, 0.00001559295199626831 + 0.*I, 0.000013066000814632163 + 0.*I, 0.000019507535209406512 + 0.*I, 0.000010975003594815293 + 0.*I, 0.000012192438614277991 + 0.*I, 4.719668589281412*^-6 + 0.*I, 4.204025194631811*^-6 + 0.*I, 1.695221607533881*^-6 + 0.*I, 2.6358000226878175*^-7 + 0.*I, 2.31253904914297*^-8 + 0.*I, 1.3032019907655015*^-9 + 0.*I, 4.898303984646191*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.0701845277819968 + 0.*I, 0.20774863533499224 + 0.*I, 0.07723402055461738 + 0.*I, 0.1716581146272045 + 0.*I, 0.09922814314000662 + 0.*I, 0.1006896823600112 + 0.*I, 0.027673178143805544 + 0.*I, 0.00400314475799135 + 0.*I, 0.0003649086336210417 + 0.*I, 0.000011600077209905637 + 0.*I, 0.00001560428801727909 + 0.*I, 0.00001403322000825824 + 0.*I, 0.000019165175801916238 + 0.*I, 0.000010803558003757987 + 0.*I, 0.000011975414015985564 + 0.*I, 5.082732390526701*^-6 + 0.*I, 4.237612194479823*^-6 + 0.*I, 1.7613989822251599*^-6 + 0.*I, 2.788367980954831*^-7 + 0.*I, 2.4839397205767*^-8 + 0.*I, 1.4195977726672029*^-9 + 0.*I, 5.4001247917767614*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.07708272818499061 + 0.*I, 0.21698895611399485 + 0.*I, 0.08272981456380891 + 0.*I, 0.17348924435378607 + 0.*I, 0.09572914047739634 + 0.*I, 0.10179425368499471 + 0.*I, 0.028530740407806125 + 0.*I, 0.004192505900002531 + 0.*I, 0.00038767422101404497 + 0.*I, 0.000012951399996907757 + 0.*I, 0.00001558710620574999 + 0.*I, 0.000015020273602672777 + 0.*I, 0.000018789415601183634 + 0.*I, 0.000010602358413436264 + 0.*I, 0.000011737545979606523 + 0.*I, 5.452797213756354*^-6 + 0.*I, 4.266736386426828*^-6 + 0.*I, 1.8291018033522734*^-6 + 0.*I, 2.9481261876185277*^-7 + 0.*I, 2.6665203378684055*^-8 + 0.*I, 1.5458079261065905*^-9 + 0.*I, 6.001865671123596*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.08387570708659477 + 0.*I, 0.2260097477959855 + 0.*I, 0.0879926704995926 + 0.*I, 0.17510563611100594 + 0.*I, 0.09214905115420002 + 0.*I, 0.10286132247661063 + 0.*I, 0.029402444014614563 + 0.*I, 0.004388844680414117 + 0.*I, 0.00041165420741062775 + 0.*I, 0.000014416978610931608 + 0.*I, 0.000015539660402907884 + 0.*I, 0.00001602635619768478 + 0.*I, 0.00001838019501043675 + 0.*I, 0.000010371037606482504 + 0.*I, 0.00001147881159013764 + 0.*I, 5.829520799416343*^-6 + 0.*I, 4.291156185942668*^-6 + 0.*I, 1.8983117966442364*^-6 + 0.*I, 3.1153040147557936*^-7 + 0.*I, 2.860780501379168*^-8 + 0.*I, 1.6817880421626796*^-9 + 0.*I, 6.619149672815183*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.021405182655144*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.09055903638559572 + 0.*I, 0.23480206180661603 + 0.*I, 0.09301634662299829 + 0.*I, 0.1765068414141924 + 0.*I, 0.08849079617201383 + 0.*I, 0.10388926097020246 + 0.*I, 0.03028804421878473 + 0.*I, 0.004592324108587675 + 0.*I, 0.00043690110500538287 + 0.*I, 0.000016004431802052466 + 0.*I, 0.000015460151003843237 + 0.*I, 0.000017050607392654626 + 0.*I, 0.000017937516783028684 + 0.*I, 0.000010109282411185918 + 0.*I, 0.000011199227212266294 + 0.*I, 6.212537595473578*^-6 + 0.*I, 4.310628809456319*^-6 + 0.*I, 1.969007401569911*^-6 + 0.*I, 3.290158145929923*^-7 + 0.*I, 3.0674196516145*^-8 + 0.*I, 1.8290036152279756*^-9 + 0.*I, 7.320810624378282*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.0971284164836106 + 0.*I, 0.2433572827694075 + 0.*I, 0.09779498270379161 + 0.*I, 0.17769268581440123 + 0.*I, 0.08475740094699981 + 0.*I, 0.10487645381760392 + 0.*I, 0.03118727486819406 + 0.*I, 0.004803106939199609 + 0.*I, 0.0004634690468074965 + 0.*I, 0.000017721780198876047 + 0.*I, 0.00001534672300351758 + 0.*I, 0.000018092113607259822 + 0.*I, 0.00001746145019687617 + 0.*I, 9.816832391429388*^-6 + 0.*I, 0.000010898850799634374 + 0.*I, 6.601462798627723*^-6 + 0.*I, 4.324910807262939*^-6 + 0.*I, 2.0411633938621776*^-6 + 0.*I, 3.472929943626469*^-7 + 0.*I, 3.287119465511524*^-8 + 0.*I, 1.9876100765259253*^-9 + 0.*I, 8.08020317322189*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.10357967973238513 + 0.*I, 0.2516671357353895 + 0.*I, 0.10232310465598804 + 0.*I, 0.17866326816500247 + 0.*I, 0.08095199201880733 + 0.*I, 0.10582130021898895 + 0.*I, 0.03209984813981049 + 0.*I, 0.005021355467604849 + 0.*I, 0.000491413805803198 + 0.*I, 0.00001957745860980964 + 0.*I, 0.000015197464597882515 + 0.*I, 0.000019149908792037706 + 0.*I, 0.00001695213120989081 + 0.*I, 9.49348220036228*^-6 + 0.*I, 0.000010577782005860572 + 0.*I, 6.995889600958094*^-6 + 0.*I, 4.333756198349193*^-6 + 0.*I, 2.1147503970198045*^-6 + 0.*I, 3.6638698741597864*^-7 + 0.*I, 3.5205194315324206*^-8 + 0.*I, 2.1588064669231244*^-9 + 0.*I, 8.899547765395256*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.10990879371720053 + 0.*I, 0.2597236929631874 + 0.*I, 0.10659562863799545 + 0.*I, 0.17941895951738562 + 0.*I, 0.07707779361278977 + 0.*I, 0.10672221606458088 + 0.*I, 0.033025454296997665 + 0.*I, 0.00524723132220295 + 0.*I, 0.0005207928121864214 + 0.*I, 0.00002158033458599107 + 0.*I, 0.000015010408205284877 + 0.*I, 0.00002022297440618104 + 0.*I, 0.0000164097629928861 + 0.*I, 9.139083578801888*^-6 + 0.*I, 0.000010236162406584981 + 0.*I, 7.39539041116899*^-6 + 0.*I, 4.336920000902467*^-6 + 0.*I, 2.1897361923706175*^-6 + 0.*I, 3.8632321786025164*^-7 + 0.*I, 3.7683589582115935*^-8 + 0.*I, 2.3432145113133633*^-9 + 0.*I, 9.821032875834135*^-11 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
