t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14,C_1_15
0.31,0.06923077584705224,0.0,0.9774491553012322,0.17292689666089098,0.019585632012355463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0675185371225625,0.0,0.9789801206358637,0.17189535537235343,0.0192022592210231,0.00034013368454163784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.06792278966925663,0.0,0.9798112154257014,0.1665524332038118,0.018154984473501452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0667838849008141,0.0,0.9813857647225533,0.1675474171049167,0.019240757941450366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.06165606576966075,0.0,0.9818054115316279,0.1600458441315455,0.018648347675126825,0.001450709639885522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.06142762546213133,0.0,0.9833816467002957,0.15763481710682437,0.01873934449141756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.05128209919384294,0.0,0.9839026573929692,0.15503187584302217,0.0182982457575284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.051080034543302365,0.0,0.9853751463983546,0.14730562184531576,0.017658693739559896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.03761038639291052,0.0,0.9862406703018912,0.146918323208547,0.019049530962398205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.03371585339457879,0.0,0.987456484695561,0.1386305423891711,0.016999328750179465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.021369537835155744,0.0,0.9884792324002646,0.13476560232335016,0.01637664404221695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.013491939060716752,0.0,0.9891967411334348,0.1286737338296935,0.019096590625620358,0.001262807836705122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.0033014872923965975,0.0,0.9898997313063719,0.1237679269847838,0.015479608992089222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.0028550711830937904,0.0,0.989830843953655,0.11605912309060704,0.014901526635839183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.010399261942502725,0.0,0.9897103979684053,0.11096196575768136,0.018743527915786373,0.00044214566791860184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.017329726036460096,0.0,0.9886455654514436,0.10405796996458265,0.013835554243699094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.03323830960554165,0.0,0.9874363084619859,0.09474148069166041,0.013316014121627194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.037642048479366794,0.0,0.9853878286006466,0.09242885204673369,0.0173041448207819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0.051276315205934495,0.0,0.9832007319402684,0.07909902370335721,0.012210950282775222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.05582187226566928,0.0,0.980505547121273,0.07318274496975653,0.01175806614289622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.06481426702664188,0.0,0.9778253281860572,0.06435191026751125,0.014728996192879776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.06984282895767358,0.0,0.9751042989598102,0.05416958226357497,0.010825923428846945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.53,0.07322829017664335,0.0,0.9726534204767923,0.04693155240857669,0.010487022457937872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.07795393731880126,0.0,0.9706533117736155,0.03644055529273328,0.012405017974131752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
