t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14,Cxx_1_15
0.2,-0.00044984402958517244,0.9444845607564913,-0.9155212292559816,-0.028239120016030683,-0.0002677702666692705,5.965155506271191e-06,1.4746377300228763e-05,3.7855055413649197e-06,4.045672906016762e-06,6.1295861922827655e-06,7.061338939601258e-06,-2.5413867710266658e-06,-0.0002315573903013124,0.0004863296827005148,-0.0002578888060426332,-2.0186565624635833e-06
0.21,-6.385755951926475e-05,0.9466726819304547,-0.9166239429977241,-0.029632971646065875,-0.0002920463871022294,-3.075345408304342e-06,-5.181781899149529e-06,2.0805173755938933e-05,1.5747856661335602e-05,-7.871564804418085e-07,-7.232422080644119e-06,-2.137898191950649e-06,-0.0002578459828694035,0.0005498343740518719,-0.0002790808590868443,5.26050645507925e-06
0.22,-4.1295648539607654e-06,0.950312418908489,-0.9191177629855727,-0.030798462503366403,-0.00034178973214071817,-2.511538975502603e-05,-1.1667720614477739e-05,-1.0347564512069862e-05,-8.251881875365186e-06,-2.6847298270071818e-06,-2.385919496417088e-07,-7.551202097916265e-06,-0.0002967106944882225,0.0006152590609123376,-0.00031741356386988384,-6.764579086993017e-06
0.23,-0.0001874199015407807,0.9551001764847789,-0.922698505384335,-0.03183472810938312,-0.0003933475043252366,1.0590094892792834e-05,1.0327299676538004e-05,-1.6007301800929907e-05,-1.0844548924859865e-05,4.032924144414807e-06,1.2980470184997817e-05,-3.6804128162315486e-06,-0.0003474656496799122,0.0006817005626649497,-0.00032251515267733843,9.865945140852261e-06
0.24,-0.0006279085361489134,0.9607400307608791,-0.9270635908630036,-0.032553013924357166,-0.0003727236796457478,4.9058710406002515e-06,6.793685036754482e-06,2.0263553539845436e-05,1.642664963333318e-05,3.908172224981188e-06,-7.202231576158846e-06,1.4259184286102844e-07,-0.0003816516392185221,0.0007488378810394936,-0.0003588406463779503,-8.960591726170364e-06
0.25,-0.0012761695763894854,0.9668532816172869,-0.9320030493389994,-0.033131626540194636,-0.00045456281009312316,-3.322877026190607e-05,-8.522524757997862e-06,1.463816361033099e-05,1.0335330462823977e-05,2.9550727295712953e-07,-4.173017076114505e-06,-2.0645891380843828e-05,-0.0004534699681183474,0.0008172726341964809,-0.0003503818413974902,1.0693963072933022e-05
0.26,-0.0020111767120105373,0.9730464434429883,-0.937040096644896,-0.03344778642866841,-0.0004808313276131737,7.029712051631609e-06,2.813556252367899e-06,-2.026618156750204e-05,-1.5009754215145055e-05,1.2374287762795255e-06,1.7610158452890934e-05,4.002578727985151e-06,-0.0005004246310173766,0.0008852089894562931,-0.0003734236996438822,-7.063995383443933e-06
0.27,-0.0028528293527489146,0.978998750277424,-0.9421132801743327,-0.03350547499402676,-0.00044918875141022885,1.6770163049711906e-05,1.0901345001312901e-05,-1.4726559637301406e-06,9.320555430791799e-07,3.53862957486184e-06,-4.028570030234491e-06,-1.3812439365823437e-05,-0.0005750904683805569,0.0009552127404120203,-0.0003578381653547569,6.967006211028304e-06
0.28,-0.0035905114768464697,0.9843783756046071,-0.946766718069424,-0.033436649362658,-0.0005457353600530068,-3.382925088940558e-05,5.022283899869251e-07,2.9764925410152854e-05,2.260378416485409e-05,5.110099226920961e-06,-8.953027205105268e-06,-2.3731716120245494e-05,-0.0006542986505770065,0.0010237763907366554,-0.00035778940823222305,-1.3221741947816446e-06
0.29,-0.004316007409258138,0.9890157391283716,-0.9510658311745482,-0.03305610650024765,-0.0005207964907295026,-5.103837004041822e-06,1.3338995141637389e-06,1.575977356629843e-06,2.8941870761078903e-08,3.1124670221427397e-06,1.863321434970866e-05,1.5102621638840574e-06,-0.0007215767426644731,0.0010944053760988393,-0.0003417371592351337,-8.641723447944116e-10
0.3,-0.004806866676177496,0.9927553131598289,-0.9547479332378782,-0.03257171343800083,-0.0005230441195046981,2.453096590554482e-05,8.598041853727367e-06,-2.0761601400257068e-05,-1.4161784974167646e-05,-3.9367708140614077e-07,1.5484552195466073e-06,-3.211496248323176e-05,-0.0008287852634639575,0.0011632021019090388,-0.0003141424684177385,6.21347370605152e-06
0.31,-0.005187288435110071,0.995601144140398,-0.9579308044416801,-0.03187510663642516,-0.0005759758182727198,-2.3362488737563303e-05,5.3976783313952614e-06,1.5634033549316584e-05,1.368544740316946e-05,4.733723566671677e-06,-1.2260424069196474e-05,-2.0646289344880553e-05,-0.0009018703425434371,0.001231961113415933,-0.00030094750874573584,-7.4508282352642174e-06
0.32,-0.005303802335684886,0.9975920860127432,-0.9606157775975556,-0.031037820450505932,-0.00054256075891463,-1.9272785973120654e-05,5.786295686517617e-06,2.8497046340336674e-05,2.0012305122399376e-05,9.252272356298497e-06,1.5045044282790965e-05,-1.9640388250197205e-05,-0.001008272842243585,0.0012989334652011367,-0.00024837130151102865,1.2609200570543044e-05
0.33,-0.005249365672877523,0.9988608942238285,-0.962891282471224,-0.03006488870095836,-0.0005612219981427913,2.0727246536171584e-05,8.967463961902233e-06,-1.1366724096267822e-05,-9.466966369275909e-06,-3.5524132807607245e-07,6.9543046479492165e-06,-3.7583820868283824e-05,-0.0011058210941058272,0.0013613913027889363,-0.00023635662071035124,-1.2382617874125146e-05
0.34,-0.004995063028609564,0.9995675484900178,-0.9649658399566392,-0.029003728410571722,-0.0005610992856739244,-5.820964011610252e-06,4.0876102894125965e-06,-1.2844165933161011e-05,-7.09485323764289e-06,-2.799528579549432e-06,-1.217456287252311e-05,-3.147710276126328e-05,-0.0011886656711437883,0.001421614792269859,-0.00016756293379162346,1.51992506613359e-05
