t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14,Cxx_1_15
0.6,-0.1379039719723819,0.6277999578577775,-0.24182476745408266,-0.22236070311599876,-0.02547880628679433,-0.0013898590041759862,-2.3136005820600936e-05,5.356845512616282e-06,5.371657978647804e-06,1.63873209694243e-05,-5.8854335701741256e-05,-0.00030114934625380396,-0.0010149849744234274,0.001789565730176565,-0.0005810120124203899,-7.417655955466174e-05
0.61,-0.13352054514703482,0.6141580149801382,-0.2282348771895235,-0.22490524854068272,-0.026610014825695028,-0.0014703418779558053,-6.562102746721088e-05,-0.0001220720120358454,-9.563690593994423e-05,-1.3671743416265869e-05,-4.290600273426648e-05,-0.0003199394068595929,-0.0010270940169546106,0.0018662902104863432,-0.0006771739192441562,-0.0001120491562147663
0.62,-0.12889568913280047,0.6007639208767158,-0.21543888107192177,-0.22726439905663243,-0.0276683313343018,-0.0015778249111594311,-0.00019035188322491514,-0.00020255892438969525,-0.0001542623656402009,-7.302244998863561e-05,-4.0831326731605166e-05,-0.00029208044486039864,-0.0010145393485417875,0.0019476014723774498,-0.0007581758632063118,-0.0001350557629533622
0.63,-0.12398657552262693,0.5876192251737877,-0.20346414184821537,-0.22968367302279447,-0.028835584812026527,-0.001715734973093297,-0.0002783391129727031,-0.00015310399112034023,-0.00010940653918078969,-0.0001011983265928329,-5.449141437230409e-05,-0.00025111597457250223,-0.0009898044557991592,0.002029039551752737,-0.0008126987334878821,-0.0001337398143588242
0.64,-0.11873021956035168,0.5747295005349333,-0.19224470980524666,-0.23224849228051114,-0.030219915954942222,-0.0018596545798728048,-0.0002487675106214171,-2.2565184583767106e-05,-5.807263389057127e-06,-7.008229090810225e-05,-7.080922203261952e-05,-0.00023859191874264774,-0.0009732642206385922,0.0021070138040308745,-0.0008421087363766344,-0.00010870479913305253
0.65,-0.1130928092397121,0.5621219408561955,-0.18166492470108742,-0.23484502435054133,-0.031775236865104306,-0.00198733025811737,-0.0001373838772510405,5.673306851194937e-05,5.119688249255461e-05,-1.1219513402660475e-05,-7.500905262225466e-05,-0.0002691885754050327,-0.0009785728182339914,0.0021810415867195704,-0.0008597107319815445,-7.052228410309169e-05
0.66,-0.10710309237068605,0.5498530690863467,-0.17164463153662002,-0.23726304926396913,-0.03334303454841747,-0.002105092959559074,-6.001881789696739e-05,3.3031112597337042e-06,3.283428487654838e-06,1.671163691463473e-05,-6.442081732138671e-05,-0.0003208728367843916,-0.0010023419971285086,0.0022535103902386402,-0.0008849324333977115,-3.538019083859645e-05
0.67,-0.10085294373501852,0.5380069285072456,-0.16220975794569548,-0.2393532738173727,-0.034777233993008694,-0.0022411223643946654,-9.819784373255036e-05,-0.00012940777330450182,-0.00010062288212109305,-1.3125189224583167e-05,-5.0235797519504466e-05,-0.0003567036227934972,-0.0010255577928307558,0.0023272311625866723,-0.0009352044021657679,-1.834586483095979e-05
0.68,-0.0944661944979126,0.526686665555252,-0.1534973071905965,-0.2411241199677595,-0.03605165761356666,-0.002412812017710486,-0.00021958508471731086,-0.00020584750901553317,-0.00015342123930450757,-6.919662740278998e-05,-4.628527335326371e-05,-0.0003570040750038306,-0.0010261178456348885,0.002402771729538851,-0.001018983921966865,-2.7059427283759874e-05
0.6900000000000001,-0.08805397110718405,0.5160007769510575,-0.14568592630763455,-0.24271859437144006,-0.037269823677034575,-0.0026047773750218495,-0.0003108373853299984,-0.00014587952120637127,-9.897748480436341e-05,-9.377649034569835e-05,-5.592695193856745e-05,-0.00033299038039391604,-0.0009940248240508098,0.002477767285954509,-0.0011324572834071622,-5.838856337603282e-05
0.7000000000000001,-0.0816802565674617,0.5060463685938323,-0.13889545718675012,-0.24430327669319485,-0.038576895363292785,-0.0027833398934671294,-0.00028968547556484925,-7.620479052450335e-06,9.569029669642681e-06,-6.134085606779305e-05,-6.952571981932998e-05,-0.0003121379632350374,-0.0009387567546692011,0.002548831231877529,-0.0012609493600868604,-9.942425057984927e-05
0.71,-0.07535491655386783,0.4968933603829714,-0.13312147576393718,-0.24595730137267313,-0.04004729022838671,-0.002933348000705327,-0.00018576351598897922,6.96726502386058e-05,6.266186587078337e-05,-4.137935641135293e-06,-7.434642599390973e-05,-0.00031212826041326913,-0.0008836759843510178,0.0026145929781695894,-0.0013845163741614819,-0.0001325787565259473
0.72,-0.06905558968320324,0.4885748608563243,-0.12824697063267643,-0.2476360874837772,-0.04163388400448165,-0.003077397014118799,-0.00011094897337482479,6.6560224617484565e-06,6.072767449682992e-06,2.0953691664882257e-05,-6.655635301289209e-05,-0.0003283958889029881,-0.0008510783154648816,0.002677378630824836,-0.0014857079607645818,-0.0001428633035482907
0.73,-0.06276455498662092,0.48109148954668945,-0.12412194516381791,-0.24922298771698892,-0.04321160855677775,-0.003254771811188939,-0.00014851076268018737,-0.00013344882689225734,-0.00010206813146684812,-9.676145118264756e-06,-5.379515052794659e-05,-0.000344155242060995,-0.0008475430289769936,0.002741992332782721,-0.0015565874200786922,-0.0001243449664362073
