t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14
0.65,0.292725257243319,,1.176241024322863,0.20918932530802037,0.10862852526845632,0.06974986375498034,0.06267782182841315,0.05637899624812404,0.05072154507863283,0.031799440612573636,0.0009760127796320297,0.030197098597730346,0.04676305998729046,0.0484828374260769,0.06933546409550442
0.66,0.2919365401431844,,1.154372330517468,0.20897274291956658,0.10902468710441768,0.07104148582407774,0.06377127462007688,0.05734045277759068,0.051383959184335526,0.03171949089357304,0.0028494375393513325,0.03005968843943371,0.04721491449366804,0.049056420948657295,0.07010353114380465
0.67,0.2909794792180496,,1.1336547855347248,0.20880137188232087,0.10928272854111766,0.07227632318114416,0.06482375219434053,0.0582695506506959,0.052015766055036085,0.03162588172094711,0.004756747408074059,0.029912688617865064,0.04763401531705284,0.04959820280530154,0.07074728277249784
0.68,0.2898673918267329,,1.114112521024662,0.20868352136083346,0.10941043008881855,0.07345560397851533,0.06583774236306505,0.05916856327007314,0.052620750454531975,0.03152526737234168,0.006685764229925054,0.02976355842042649,0.04802443862522134,0.0501114062035285,0.07126443160389002
0.6900000000000001,0.28861405672397633,,1.0957678036241152,0.20862642487758032,0.1094163504476981,0.07458091578448546,0.06681597006146772,0.060039891330611356,0.05320285132828668,0.03142442270857622,0.008623935965309673,0.029619835051362068,0.048390521873476755,0.05059944676949819,0.07165331137455509
0.7000000000000001,0.2872336818156692,,1.0786409960141996,0.20863622693427897,0.10930975023206888,0.07565417792921089,0.0677613523836501,0.06088602624711195,0.053766113844253706,0.0313301805177458,0.010558450164746198,0.029489047865903614,0.04873692933776198,0.05106588072781545,0.07191286613303556
0.71,0.285740633529284,,1.0627507274380272,0.20871770108598492,0.10910026581873003,0.07667764884222353,0.06867701480161202,0.06170955079178911,0.05431468835872931,0.03124928712267491,0.012476261211278369,0.029378739605841715,0.04906820905270366,0.051514283592664974,0.07204257474563493
0.72,0.28414957134913543,,1.048113733085564,0.2088744523594518,0.10879800570176987,0.07765388555179903,0.06956622865657691,0.06251311280044514,0.054852792114052175,0.031188380701415518,0.014380011967180067,0.02929635230889246,0.04938901625079944,0.05194823600511569,0.07204246573292057
0.73,0.28247530572669916,,1.0347448893915152,0.20910884610690617,0.10841339310023285,0.07858579218168049,0.07043246009838436,0.06329949832620954,0.05538477495169543,0.031153897734100464,0.016244815301461105,0.02924922146680899,0.04970392227513634,0.05237115837795089,0.0719129407505216
0.74,0.2807328142514383,,1.0226569577129219,0.20942203929409609,0.10795705705790783,0.07947645389253476,0.07127916517114082,0.06407139441081534,0.05591485059523644,0.031152051804674032,0.018068902708638205,0.029244354905238322,0.0500175081257244,0.052786470173919194,0.07165503933874053
