t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.61,-0.9993222907955692,0.05586533290631448,-0.056769390502172175,-0.9997726622168674,-0.999997341787965,-0.9999993480812779,-0.9999981546596738,-0.999742677734306,-0.9981222733179614,-0.9869863500703379,0.9819306084408828,-0.9970794319421917,-0.9999970497589824,-0.9999978468902174,-0.9999988814152604
0.62,-0.9993327877114518,0.03645314565004554,-0.037708711235572304,-0.9994105418786473,-0.9999974672891131,-0.9999984994952191,-0.9999979370429422,-0.9997346606885845,-0.9980398200836322,-0.9845357050326601,0.9779582500254844,-0.9956488797188734,-0.999995666732033,-0.9999983283001646,-0.9999988941479849
0.63,-0.9995204189413877,0.017680670662958305,-0.019251370387230404,-0.9989087438995081,-0.9999982343832329,-0.9999993180671197,-0.9999981465491559,-0.9997269990343488,-0.9979493631848224,-0.9819806322958508,0.9736926017789107,-0.9940383489201373,-0.9999937496304727,-0.9999987981822109,-0.999998915313453
0.64,-0.9997788866269219,0.003757127408003053,-0.0056633520427933695,-0.9983150197061895,-0.9999976305764284,-0.9999985824799055,-0.9999980064133738,-0.9997186711495414,-0.9978495871157463,-0.979358640588101,0.9692499462505644,-0.9923263989909195,-0.9999916140990478,-0.9999988808280272,-0.999998944415219
0.65,-0.9999664208734763,-0.0022346290911213276,-0.00010494875880662909,-0.9976935297416162,-0.9999975608350242,-0.9999992760484837,-0.9999980925930047,-0.9997115086108846,-0.9977449567352104,-0.9767070929527556,0.9647515915128009,-0.9905956257489023,-0.9999896440262087,-0.9999985213724663,-0.9999989808753522
0.66,-0.9999819218455263,0.0010001829325703981,-0.0039032069689598956,-0.9971140549517692,-0.9999974476218495,-0.9999985729942326,-0.9999980935332745,-0.999703204050939,-0.9976326370209432,-0.9740624589805867,0.9603194621507841,-0.9889286790427899,-0.999988145707063,-0.9999980363391255,-0.9999990242948197
0.67,-0.9998166346284287,0.012701338365424081,-0.01624433749991545,-0.9966390755040015,-0.9999980081739522,-0.9999992631236335,-0.9999980442951961,-0.9996960463342445,-0.9975182200556835,-0.9714625583900107,0.9560717024527091,-0.9874047453445626,-0.9999873178582046,-0.9999978583444236,-0.999999074346052
0.68,-0.9995590202206448,0.030236050664749686,-0.03435923975292129,-0.9963172682226821,-0.9999968698469034,-0.9999986891049328,-0.9999981355988744,-0.999688125850162,-0.9974007681814048,-0.9689430602518084,0.9521185209079679,-0.9860963269090042,-0.9999872754795909,-0.9999981797374522,-0.9999991305315995
0.6900000000000001,-0.9993502700483602,0.04968250517435348,-0.05415625152019053,-0.9961770062839694,-0.9999967857770669,-0.9999989845937302,-0.9999980408357878,-0.9996805802257172,-0.9972821087498522,-0.9665371562953599,0.9485582570844391,-0.9850660189794711,-0.999988022065308,-0.9999987863151809,-0.9999991919867985
0.7000000000000001,-0.9993086813148606,0.0666796842706725,-0.07114851205633252,-0.9962238727607616,-0.999995600377799,-0.9999990537215963,-0.9999980977978334,-0.9996731847860723,-0.997165076004405,-0.964278899320546,0.9454739671871792,-0.9843632843073591,-0.9999893829869493,-0.9999992266974578,-0.9999992575046457
0.71,-0.9994606736830367,0.07737102413020519,-0.08146465641328413,-0.9964470445109652,-0.999993875082851,-0.9999986447659209,-0.9999980801089876,-0.9996651361149997,-0.9970506331252031,-0.9621985898778808,0.9429305617399095,-0.9840216082322658,-0.9999909997496308,-0.9999991866616675,-0.9999993257853999
0.72,-0.9997209693643787,0.07926220224485672,-0.08272095097438717,-0.9968232426977727,-0.9999944119122036,-0.9999992236609725,-0.9999979942827099,-0.999658114677577,-0.996940376759554,-0.9603220719462859,0.9409727348823492,-0.9840565826864845,-0.9999924415869629,-0.9999987547917412,-0.9999993956453099
