t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.43,-0.6627376630772754,-0.04017372092438674,-0.05190109342100191,-0.4571520694407991,-0.47149227606838373,-0.47409190017621844,-0.47497956242722644,-0.4747093058513791,-0.4721585810427744,-0.4472395977103569,0.4242762882417491,-0.4457090122809301,-0.4678313184282941,-0.4677064592980207,-0.6762105323751559
0.44,-0.6482310552941866,-0.04337460519885688,-0.055391825809682195,-0.4394662647316156,-0.45480647301837146,-0.4575947703068043,-0.45853935399814216,-0.4582470616848086,-0.4554897268804792,-0.42888282477975537,0.40438179836237376,-0.4272609427055045,-0.45090421850825907,-0.4508324642644212,-0.6627463535831458
0.45,-0.6335009266627523,-0.046692865155650076,-0.058987225580985236,-0.4219646077441812,-0.43833209533870965,-0.44131512682728685,-0.4423176950096548,-0.442002164010513,-0.4390294113520711,-0.4106944623699665,0.384620140027367,-0.40898069610407173,-0.4341841778388872,-0.4341745167067689,-0.6491028549902579
0.46,-0.6185532116251001,-0.050124002901226906,-0.06268222550952592,-0.4046723266256008,-0.42209228068246546,-0.42527578447730136,-0.42633726560065055,-0.42599725481772255,-0.4228005219551142,-0.3927013550895825,0.3650216263895136,-0.39089546271261705,-0.41769509875388156,-0.4177570042163897,-0.6352856410573415
0.47000000000000003,-0.6033939295094642,-0.05366303750157549,-0.06647134235879851,-0.3876141149897529,-0.406109509171745,-0.4094988691563958,-0.41062005367283017,-0.41025428495513844,-0.40682530257429894,-0.3749298767516154,0.3456162506817054,-0.37303196809713013,-0.40146026177896127,-0.4016036679784206,-0.6213003155127582
0.48,-0.5880290417338775,-0.05730454729408284,-0.07034872388338302,-0.3708139491196065,-0.3904053917104385,-0.39400561162095643,-0.39518715030475227,-0.39479430622720607,-0.3911251416690948,-0.35740578953217145,0.3264335134296962,-0.3554163358348215,-0.3855021151966473,-0.38573739478088687,-0.6071523400816
0.49,-0.5724645465355035,-0.06104268520473942,-0.07430816823511739,-0.35429516078613715,-0.37500078217893285,-0.3788164615633038,-0.38005886479955153,-0.3796375873777537,-0.375720686270035,-0.3401542764287997,0.30750239805752805,-0.3380741152974974,-0.3698423792449608,-0.3701803192446825,-0.5928471492904825
0.5,-0.5567066176736711,-0.06487110331189977,-0.07834305201700063,-0.33808065948172555,-0.3599159128904942,-0.3639511975981308,-0.36525483097584005,-0.36480372667865085,-0.360631998088711,-0.32320021615893973,0.2888519348815828,-0.3210305609956458,-0.3545022085117304,-0.3549539366156845,-0.578390164281779
0.51,-0.5407614070010919,-0.06878309884994438,-0.08244647686605339,-0.32219259638314407,-0.3451701825523836,-0.34942874538410557,-0.3507938307875564,-0.35031147023047704,-0.3458783230382251,-0.30656776227587257,0.2705104123843641,-0.3043102023151826,-0.3395019406774881,-0.3400788997013982,-0.5637867501581618
0.52,-0.524635076570988,-0.07277166747195978,-0.08661132269925673,-0.30665235246422473,-0.3307822072237799,-0.3352672366586876,-0.33669385491112297,-0.33617877327795137,-0.33147813759168093,-0.2902802761654954,0.25250519014466716,-0.28793677003747886,-0.3248611281818785,-0.32557506321012886,-0.5490422992791735
0.53,-0.5083338845894656,-0.0768293962811198,-0.09083013970299364,-0.2914807056454731,-0.3167697888726926,-0.3214839532568187,-0.32297204314746647,-0.32242274103607377,-0.3174491357600167,-0.2743606719969054,0.23486350530591435,-0.2719335585559027,-0.3105985521306312,-0.31146145037601863,-0.534162099044182
0.54,-0.49186412905171417,-0.08094856730793851,-0.09509525622541809,-0.2766977045073266,-0.3031499139973977,-0.30809534110207754,-0.3096447013279076,-0.30905964597208924,-0.3038082207275788,-0.258831179150156,0.2176119449173317,-0.25632317697907114,-0.2967321916169243,-0.2977562429799987,-0.5191514049435885
0.55,-0.4752322146558636,-0.08512119798963216,-0.09939882837808106,-0.26232274258342586,-0.2899389211214319,-0.2951171720599012,-0.2967274625210719,-0.2961050962125624,-0.2905716819346367,-0.24371330506843525,0.2007762709393179,-0.24112750072006425,-0.28327938158855925,-0.2844769208077479,-0.5040155784566369
0.56,-0.4584446205692858,-0.08933904538724927,-0.1037328301226694,-0.24837447287524664,-0.27715231667576845,-0.28256436932338064,-0.2842351137410999,-0.28357385526107937,-0.2777549994400215,-0.22902787582904877,0.18438165163003695,-0.22636772329831703,-0.2702566291189097,-0.2716401006124425,-0.48875995126726157
0.5700000000000001,-0.4415078286254369,-0.09359367151884024,-0.10808911811296394,-0.2348707175791163,-0.26480472389765686,-0.2704509635567357,-0.2721815532427618,-0.271479799616687,-0.2653727879864568,-0.21479491564652975,0.16845245540236936,-0.21206423231131946,-0.25767954667521165,-0.259261481133381,-0.4733897948090886
0.58,-0.42442840084274713,-0.09787642813540684,-0.11245943118531454,-0.22182858348805143,-0.2529099965803628,-0.2587901896685815,-0.2605798849707518,-0.2598360192905707,-0.2534389336118936,-0.20103373418613368,0.15301232744407975,-0.19823669587205103,-0.24556299246669025,-0.2473559342260463,-0.45791039592735583
0.59,-0.407212997927979,-0.10217851626886158,-0.11683544085980856,-0.20926440663307194,-0.2414812024929803,-0.24759448541696505,-0.2494424191714436,-0.24865481588192156,-0.2419665629239014,-0.18776285593601122,0.1380840466594672,-0.1849039894369176,-0.23392102909068443,-0.23593749521509338,-0.4423271011444935
0.6,-0.389868244024697,-0.10649104563063413,-0.12120880542968504,-0.1971936467471712,-0.23053053061324746,-0.23687540170217258,-0.23878058272093633,-0.23794761455684074,-0.23096794461101056,-0.17499990761720932,0.12368943833003272,-0.17208408095711658,-0.22276681480085722,-0.22501926516395745,-0.4266451886708555
0.61,-0.37240094112652167,-0.11080500000138399,-0.12557113389207009,-0.18563103526443198,-0.2200694083293092,-0.22664371743920647,-0.22860503359616785,-0.22772507735819913,-0.22045461223624702,-0.16276179728996837,0.10984965347624848,-0.15979421456337048,-0.21211273473222136,-0.21461352934786257,-0.4108700103398663
0.62,-0.3548180495478823,-0.11511128929982763,-0.12991403749718694,-0.1745905327315389,-0.21010849669841053,-0.2169094399002709,-0.2189256616417929,-0.21799710510626383,-0.2104373562773254,-0.15106463999178074,0.09658501448513436,-0.1480508330231955,-0.20197038426991062,-0.204731747932409,-0.3950070078275811
0.63,-0.3371264778398121,-0.11940081292473115,-0.13422920193140703,-0.16408518367832922,-0.20065756584633954,-0.20768167228451717,-0.20975145423406708,-0.20877270938093853,-0.20092611163181945,-0.13992357166386582,0.08391469973646656,-0.1368693883381874,-0.19235045664609596,-0.1953844177070737,-0.3790615741332887
0.64,-0.31933324679806424,-0.12366447031952155,-0.13850838477872973,-0.15412720520612994,-0.19172558927842462,-0.1989687203969808,-0.20109060452965014,-0.2000601166263205,-0.19193003689285748,-0.12935285943717384,0.07185694026350538,-0.12626445341438391,-0.18326281467001093,-0.18658117455679502,-0.36303916856962104
0.65,-0.30144532077941055,-0.12789321299035583,-0.14274346403849403,-0.14472789960179944,-0.18332065928361763,-0.190778011022758,-0.19295042990433195,-0.19186668721975425,-0.18345742219719163,-0.11936582064979993,0.06042899463852117,-0.11624964025444835,-0.17471638886171703,-0.1783307050298895,-0.346945149667388
0.66,-0.28346977254228733,-0.13207805325857142,-0.14692644820006115,-0.1358976771322679,-0.17545001500561724,-0.18311612023005633,-0.18533739928308088,-0.18419894381120885,-0.17551572937599189,-0.10997483082618038,0.049647010114462375,-0.1068376110515567,-0.16671923597524685,-0.1706407818511731,-0.3307849581506829
0.67,-0.2654138739191644,-0.13621009697299047,-0.15104950347768878,-0.12764609813373837,-0.1681201217766951,-0.175988860629222,-0.17825722102941197,-0.17706265892186507,-0.16811166197494698,-0.1011913430159264,0.03952601176534043,-0.09804009471303424,-0.1592785976692323,-0.16351834112241723,-0.31456421892643105
0.68,-0.24728480826480473,-0.14028055160024394,-0.15510496303542187,-0.11998180355132619,-0.16133656325597856,-0.1694011578890894,-0.17171471672297867,-0.1704627343161979,-0.16125106322832264,-0.09302584041234427,0.030080103539197097,-0.08986783831128403,-0.15240079217881522,-0.15696935452533234,-0.2982883976891484
0.6900000000000001,-0.22908984170413044,-0.14428077850648782,-0.1590853732796632,-0.11291251269960732,-0.15510408432559472,-0.16335711097249736,-0.165713883021238,-0.16440325951744464,-0.1549389507955428,-0.08548780953394743,0.021322210091209208,-0.08233058145832875,-0.14609125342961304,-0.15099888918796506,-0.2819630333781657
0.7000000000000001,-0.21083634684075384,-0.1482023237722558,-0.1629835206267517,-0.10644502048507011,-0.14942660518896866,-0.1578600110703228,-0.16025791056947303,-0.15888753082676682,-0.14917952629216744,-0.07858572829691876,0.013264035166096842,-0.07543704394947784,-0.1403545377696958,-0.14561112267470677,-0.2655937724358225
0.71,-0.19253172326005183,-0.15203689276906338,-0.16679240263307785,-0.10058519289319334,-0.14430716833726237,-0.15291227550717215,-0.15534911527902195,-0.15391798587299654,-0.14397613238579032,-0.07232709417450285,0.005916323837760717,-0.06919495632842612,-0.13519428983339082,-0.140809282006128,-0.2491861967193456
0.72,-0.17418348490203128,-0.15577640562435446,-0.17050528151805835,-0.09533797568690396,-0.1397480100774377,-0.148515532002028,-0.1509890237286444,-0.14949628837222997,-0.1393313143237179,-0.0667183869850507,-0.0007113753281297223,-0.06361101904353304,-0.13061329453893,-0.13659571756707437,-0.23274598939493013
0.73,-0.15579919466036726,-0.159413015966621,-0.17411570252271616,-0.09070740296507558,-0.13575058252699357,-0.14467063889237716,-0.147178392703275,-0.14562334949970013,-0.13524684008327315,-0.06176506537175087,-0.006610669091436298,-0.05869089674228564,-0.1266134892675588,-0.13297191629298727,-0.2162788703860885
0.74,-0.13738641214944178,-0.16293915303659293,-0.17761752514047519,-0.08669649676479038,-0.13231542738232588,-0.14137756882829067,-0.14391709327198732,-0.14229920858657838,-0.13172356874042437,-0.05747150508237317,-0.011774413708891826,-0.054439163468277006,-0.12319584784393828,-0.1299383960833514,-0.19979054055923337
0.75,-0.11895275332956473,-0.16634755182171698,-0.1810049510073079,-0.08330728677256138,-0.12944222829675034,-0.13863546798943485,-0.14120417032135268,-0.13952309247216002,-0.12876149664391973,-0.05384099508703112,-0.01619681395222132,-0.05085929694330693,-0.1203604219888568,-0.12749475880214475,-0.1832867784501496
0.76,-0.1005058985233997,-0.16963115034879933,-0.1842724233847092,-0.08054090835823471,-0.1271298575577042,-0.13644267077386635,-0.1390378521138924,-0.13729343378348538,-0.1263598324210101,-0.05087584361666578,-0.019872943193531615,-0.047953781407089044,-0.11810642747127548,-0.1256397083164968,-0.16677329336278351
0.77,-0.08205355442050724,-0.17278321806747293,-0.18741474725920565,-0.07839749559504804,-0.1253763324804696,-0.13479668882600268,-0.1374155434006089,-0.13560785664998082,-0.12451692460561539,-0.048577253990324705,-0.02279923526404292,-0.04572398555591712,-0.11643216270168018,-0.12437103276253345,-0.15025584400658648
0.78,-0.06360340535737222,-0.17579740738467398,-0.19042714108519046,-0.07687619696488791,-0.1241788731351569,-0.13369427964296457,-0.13633389540070306,-0.13446324502193027,-0.12323030464759466,-0.04694531702624663,-0.024973601563216468,-0.044170153126648064,-0.11533503628683288,-0.12368566227307812,-0.13374025957052513
0.79,-0.04516320166032517,-0.1786676443640388,-0.19330511864753763,-0.07597522684868098,-0.12353387005228013,-0.13313138735953808,-0.1357887418056754,-0.13385568409542511,-0.12249668445800099,-0.04597910742824756,-0.026394933573505176,-0.043291502234656026,-0.11481159578877381,-0.12357962706845708,-0.11723232130494073
0.8,-0.026740754410195723,-0.18138818998627373,-0.19604454723163248,-0.07569182856819,-0.12343688592837561,-0.13310315918577886,-0.13577511697882536,-0.13378047558423942,-0.12231194515151657,-0.04567662846993746,-0.02706336658216573,-0.04308616937560936,-0.1148575112663624,-0.12404806755823733,-0.10073784868496805
0.81,-0.008343824983067896,-0.18395366578243766,-0.19864167523106085,-0.07602228556614392,-0.12388268944142977,-0.13360398164567966,-0.13628729253138464,-0.13423217429355544,-0.12267116425973729,-0.04603480643783777,-0.026980322825720292,-0.04355120154426516,-0.11546759223646563,-0.1250852632045192,-0.08426263476409304
0.8200000000000001,0.010019742025916191,-0.1863590430068564,-0.2010931114442119,-0.07696194779930414,-0.12486527836328497,-0.13462750563618933,-0.13731880210283007,-0.1352046119996804,-0.12356864009675976,-0.04704952354052581,-0.026148422335745526,-0.04468259079762542,-0.11663582136441983,-0.12668466088537636,-0.06781252305767867
0.8300000000000001,0.028342075225149675,-0.18859965366138204,-0.2033958320462481,-0.07850523799495461,-0.1263778851529792,-0.1361666539315434,-0.1388624490677747,-0.1366909038909199,-0.12499789450045223,-0.048715630446629715,-0.024571436241886534,-0.04647528795756836,-0.11835535820883095,-0.12883888218016865,-0.051393341825193374
0.84,0.04661527208578393,-0.19067117487407237,-0.2055471639161274,-0.08064563839903939,-0.12841296163455537,-0.13821359936902314,-0.14091028346499188,-0.13868342763303934,-0.1269516664461622,-0.0510269201619061,-0.02225434856582539,-0.04892317303877379,-0.1206185420392547,-0.13153970288695196,-0.03501092196592296
0.85,0.06483135419321502,-0.19256965720865432,-0.20754480913007184,-0.08337569448310338,-0.13096220387079807,-0.14075979938594402,-0.14345363804238126,-0.14117385655456835,-0.1294219278642146,-0.05397612554776178,-0.019203470789506936,-0.052019052707843585,-0.12341690408865087,-0.1347780823614772,-0.018671186758947144
0.86,0.08298257595171811,-0.19429151471556544,-0.20938684026659668,-0.0866870511707919,-0.13401656216166924,-0.1437959994621953,-0.1464831317008249,-0.14415316206413467,-0.13239989153677353,-0.05755498207754525,-0.015426225570879986,-0.05575472516337687,-0.12674116883136977,-0.13854416684810694,-0.002379835028824804
0.87,0.10106106834016107,-0.19583353435149736,-0.2110716895024386,-0.09057047617785537,-0.13756628936633764,-0.1473122925659055,-0.1499887295031106,-0.14761167144408596,-0.13587605828907556,-0.06175423549895783,-0.010931189754037824,-0.060120988891303684,-0.13058131679700907,-0.14282735293025461,0.01385736092475624
0.88,0.11905885813598525,-0.19719289179657856,-0.21259816131470222,-0.09501588324678654,-0.14160097469507568,-0.1512981577517294,-0.1539597823307901,-0.1515391050947604,-0.1398402452056349,-0.06656366409087104,-0.00572809321313836,-0.06510766552161185,-0.13492661018178606,-0.14761632279213793,0.03003456404779479
