t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.34,-1.2495430037895439e-16,-1.3931997916438732e-17,9.709030454607692e-17,-1.3931997916438732e-17,-1.3931997916438732e-17,-1.041376186672327e-16,-4.8626467435974874e-17,-6.597370219574294e-17,-4.515702048402126e-17,-5.730008481585891e-17,-2.656295322589486e-18,-3.04118709382184e-17,-5.079487178094588e-17,-4.6891743959998067e-17,-5.0523821237824507e-17
0.35000000000000003,-1.0516761073109393e-17,4.4994390158148434e-17,-1.0516761073109393e-17,-2.325613659981407e-16,-1.0766127572781059e-16,-7.296680620827445e-17,-3.8272336688738307e-17,-3.133344278483108e-17,-5.908901840045999e-17,-5.648693318649478e-17,-6.179952383167375e-18,-3.74049749507499e-17,-5.952269926945419e-17,-4.96564594998361e-17,-5.5077470362263625e-17
0.36,-1.7694179454963432e-16,-1.214306433183765e-16,-1.214306433183765e-16,-3.8163916471489756e-17,4.5102810375396984e-17,2.42861286636753e-17,-5.204170427930421e-17,-3.8163916471489756e-17,-6.938893903907228e-17,-4.9439619065339e-17,-3.903127820947816e-18,-3.859759734048396e-17,-6.049848122469115e-17,-5.431852884152377e-17,-5.589062199162775e-17
0.37,-1.8106176280507924e-17,-1.846396299742814e-16,-1.2912847874302358e-16,3.74049749507499e-17,-1.2912847874302358e-16,-7.361732751176575e-17,-8.055622141567298e-17,-1.463672932855431e-17,-3.892285799222961e-17,-3.71881345162528e-17,5.312590645178972e-18,-3.155028321932818e-17,-5.561957144850638e-17,-4.846383711010205e-17,-5.252959525692269e-17
0.38,-1.2029223103726672e-16,-6.478107980600889e-17,-6.478107980600889e-17,-9.269928574751063e-18,4.6241222656506764e-17,-3.7025504190379976e-17,-7.865886761382335e-17,-5.784218590210166e-17,-3.355605723842636e-17,-4.3964398094287205e-17,2.108773225484306e-17,-2.0111950299606107e-17,-4.765068548073792e-17,-4.3639137442541553e-17,-4.694595406862234e-17
0.39,5.198749417067994e-17,5.198749417067994e-17,-1.7005711075435137e-16,-5.903480829183572e-17,-8.679038390746463e-17,-5.209591438792849e-17,-4.515702048402126e-17,-2.4340338772299575e-17,-4.8626467435974874e-17,-2.2605615296322767e-17,2.4231918555051024e-17,-2.1521413123837263e-17,-4.6241222656506764e-17,-4.1253892663073444e-17,-4.797594613248357e-17
0.4,-6.797947621484113e-17,4.3042826247674526e-17,4.3042826247674526e-17,-6.797947621484113e-17,-5.410168840702667e-17,1.5287250632045613e-17,-2.6346112791397758e-17,-7.491837011874836e-17,-3.3285006695304986e-17,-4.0223900599212215e-17,9.215718466126788e-18,-2.5912431922403556e-17,-5.4969050145015075e-17,-4.7379634937616544e-17,-5.128276275856436e-17
0.41000000000000003,-3.252606517456513e-17,2.2985086056692694e-17,2.2985086056692694e-17,-1.1579279202145187e-16,2.2985086056692694e-17,-1.8648277366750676e-17,-3.252606517456513e-17,-5.681219383824043e-17,-2.211772431870429e-17,-3.426078865054194e-17,1.3444106938820255e-17,-2.47198095326695e-17,-5.095750210681871e-17,-4.380176776841438e-17,-5.1120132432691534e-17
0.42,-5.784218590210166e-17,5.318011656041399e-17,5.318011656041399e-17,-8.559776151773058e-17,-8.559776151773058e-17,-4.3964398094287205e-17,-5.784218590210166e-17,-7.171997370991612e-17,-4.3964398094287205e-17,-5.784218590210166e-17,1.2414114874959026e-17,-2.336455681706262e-17,-4.981908982570893e-17,-4.9060148304969076e-17,-5.242117503967414e-17
0.43,-7.426784881525705e-18,1.0359551758098995e-16,1.0359551758098995e-16,4.808436634973212e-17,-6.293793611278353e-17,-2.1304572689340162e-17,6.451002926288751e-18,-4.9060148304969076e-17,-4.212125440106185e-17,-5.946848916082992e-17,1.555830117516699e-17,-2.6291902682773483e-17,-5.55653613398821e-17,-4.971066960846038e-17,-5.307169634316544e-17
0.44,-7.746624522408929e-17,3.355605723842636e-17,8.906720846968419e-17,5.800481622797449e-18,-2.1955093992831465e-17,-4.971066960846038e-17,-6.358845741627484e-17,-5.664956351236761e-17,-7.052735132018206e-17,-4.450649918052996e-17,1.5341460740669888e-17,-3.4098158324669114e-17,-6.380529785077194e-17,-5.44811591673966e-17,-5.827586677109586e-17
0.45,-1.9792110658722883e-16,-8.689880412471318e-17,2.4123498337802474e-17,-8.689880412471318e-17,-1.0077659193252764e-16,-5.914322850908427e-17,-8.689880412471318e-17,-6.60821224129915e-17,-9.730714498057402e-17,-4.526544070126981e-17,1.2847795743953228e-17,-3.745918505937418e-17,-6.69494841509799e-17,-5.990217002982412e-17,-5.957690937807847e-17
0.46,4.298861613905025e-17,1.540109186015659e-16,1.540109186015659e-16,-6.80336863234654e-17,-9.578926193909432e-17,-2.6400322900022033e-17,-5.4155898515650946e-17,-3.333921680392926e-17,-4.3747557659790104e-17,-4.548228113576691e-17,1.6967763999398144e-17,-3.4206578541917665e-17,-6.217899459204368e-17,-5.5348520905385e-17,-5.654114329511906e-17
0.47000000000000003,-5.106592232406726e-17,-1.0657707355532509e-16,-1.6208822478658291e-16,1.1546753136970622e-16,-6.494371013188172e-17,1.8323016715005025e-17,-7.882149793969617e-17,-9.269928574751063e-17,-3.0249240612345574e-17,-4.412702842016003e-17,1.8323016715005025e-17,-2.981555974335137e-17,-5.843849709696869e-17,-5.648693318649478e-17,-5.702903427273753e-17
0.48,2.64924800846833e-16,-1.791644090032296e-16,-1.791644090032296e-16,-6.814210654071395e-17,5.675798372961616e-17,-8.201989434852841e-17,-8.201989434852841e-17,-1.1671436386806455e-16,-7.508100044462118e-17,-5.42643187328995e-17,2.1141942363467336e-18,-3.778444571111983e-17,-6.597370219574294e-17,-5.968532959532702e-17,-6.011901046432122e-17
0.49,-2.9219248548484344e-17,8.180305391403131e-17,-2.9219248548484344e-17,-1.463672932855431e-18,-1.463672932855431e-18,-5.697482416411326e-17,-1.5341460740669888e-17,-5.697482416411326e-17,-6.044427111606687e-17,-3.268869550043796e-17,7.209944447028604e-18,-4.700016417724662e-17,-7.258733544790452e-17,-6.001059024707267e-17,-6.337161698177773e-17
0.5,6.364266752489911e-17,-4.7379634937616544e-17,-4.7379634937616544e-17,-1.0289078616887437e-16,-7.513521055324546e-17,8.131516293641283e-18,-8.901299836105991e-17,-9.595189226496714e-17,-9.942133921692076e-17,-5.431852884152377e-17,1.1926223897340549e-18,-5.084908188957016e-17,-7.556889142223966e-17,-6.635317295611287e-17,-6.819631664933823e-17
0.51,-6.624475273886432e-17,-1.0733601507606494e-17,-1.0733601507606494e-17,-1.0733601507606494e-17,-9.400032835449323e-17,-2.461138931542095e-17,-6.624475273886432e-17,-6.277530578691071e-17,-1.0787811616230769e-16,-4.5428071027142636e-17,4.87890977618477e-18,-4.9764879717084654e-17,-7.470152968425126e-17,-6.862999751833243e-17,-7.074419175467916e-17
0.52,-1.0934178909516312e-16,1.6805133673525319e-18,5.719166459861036e-17,-8.158621347953421e-17,-1.0934178909516312e-16,-1.0934178909516312e-16,-1.2321957690297758e-16,-8.852510738344144e-17,-8.852510738344144e-17,-6.770842567171975e-17,-9.595189226496714e-18,-5.730008481585891e-17,-8.462197956249362e-17,-7.388837805488713e-17,-7.334627696864437e-17
0.53,-9.259086553026208e-17,-3.707971429900425e-17,-9.259086553026208e-17,-1.20346441145891e-16,-3.707971429900425e-17,-9.259086553026208e-17,-1.481020167615199e-16,-8.912141857830846e-17,-1.0993810029003015e-16,-6.483528991463317e-17,-1.5395670849294163e-17,-7.39425881635114e-17,-9.540979117872439e-17,-8.196568423990414e-17,-8.05020113070487e-17
0.54,1.485356976305141e-17,-9.616873269946424e-17,1.485356976305141e-17,-2.071910351619799e-16,-1.2902005852577503e-17,-2.677979366039196e-17,-8.229094489164979e-17,-7.535205098774256e-17,-7.535205098774256e-17,-7.188260403578894e-17,-1.1167282376600696e-17,-6.320898665590491e-17,-8.792879618857441e-17,-8.250778532614689e-17,-7.546047120499111e-17
0.55,-1.518425142565949e-16,-1.518425142565949e-16,-1.518425142565949e-16,1.4690939437178585e-17,-8.245357521752261e-17,-1.3796472644878044e-16,-4.082021179407924e-17,-7.551468131361538e-17,-6.857578740970816e-17,-6.337161698177773e-17,-6.1257422745431e-18,-4.6891743959998067e-17,-7.92009687000661e-17,-7.161155349266757e-17,-7.025630077706069e-17
0.56,1.0733601507606494e-17,-1.0028870095490916e-16,-1.5579985218616699e-16,-1.2804427657053807e-16,-7.253312533928025e-17,-5.865533753146579e-17,-3.0899761915836876e-17,-5.171644362755856e-17,-5.865533753146579e-17,-4.130810277169772e-17,-4.0115480381963664e-18,-4.087442190270352e-17,-6.429318882839041e-17,-5.800481622797449e-17,-5.881796785733862e-17
0.5700000000000001,5.767955557622884e-17,-1.0885389811754465e-16,-1.0885389811754465e-16,2.168404344971009e-18,-8.109832250191573e-17,-1.1709383462843448e-17,-3.946495907847236e-17,-5.334274688628682e-17,-4.640385298237959e-17,-4.9873299934333204e-17,9.974659986866641e-18,-3.7730235602495554e-17,-6.678685382510707e-17,-6.114900252818245e-17,-6.136584296267955e-17
