t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.33,0.0018797401185345268,0.0,0.9944686064973395,0.054691751457157746,0.00033866142906677633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.011651531747057594,0.0,0.9953151081616423,0.0491064512786782,0.0003883145770769528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.01971210082985843,0.0,0.996506997788947,0.04224442569166569,0.0009277327920406069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.024889212890873993,0.0,0.9975995504343763,0.03381098024719261,0.0002893466246007004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.026321437143655587,0.0,0.998316289854097,0.024937647568128007,0.0006984806765376801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.023368255438942068,0.0,0.9986713367813241,0.015605805146981826,0.0005306768065720535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.017286526896453918,0.0,0.9988666239767744,0.005354905311238788,0.0004220863324535367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.00906320826645992,0.0,0.998960522749568,0.0027901434364455122,0.0003740575677567829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.9987760326334809,0.012866472506943153,0.000608405321415003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.009681075876008513,0.0,0.9980745549883905,0.02233685590494229,0.0008150763151133619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.018131356144079427,0.0,0.9968154168856446,0.03149338128429859,0.0007540826720455909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.024241135246343817,0.0,0.9953260978295116,0.04025344867274364,0.0018443672562802084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.02698093291714303,0.0,0.9941741613116821,0.04744037691556256,0.0015682359787368442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.025676102258963742,0.0,0.9938092575037649,0.05325167216200675,0.0019603746882413484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.01987100853625706,0.0,0.9942466180168081,0.05797387997516365,0.0023665733064557382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.011046224710867324,0.0,0.9951507087006451,0.0606125575056756,0.002394670566628907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0.0009998767886709233,0.0,0.9960177764679049,0.06154839579482765,0.002440483842782537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.007842593533752235,0.0,0.9965165641697983,0.06134304421705808,0.0023238561157495384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.016675290710933342,0.0,0.9966623827268544,0.05955069859032328,0.0026504185368636125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.022484697070217517,0.0,0.9967058313920188,0.056247353523885,0.0018073298603652657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
