t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.3,-0.012289596469094156,0.9998934815201944,-0.6868143987561525,-0.010094294895837342,0.0007216891071495082,0.0010995460453554979,0.0011543806370292124,0.0011698101895616722,0.0011622616978715621,0.0006028458042106688,5.59769134086353e-05,0.0005809623988605062,0.0011190565851174608,0.001125416145749441,0.0006327082908210678
0.31,-0.013618002583510551,0.9998600538542932,-0.6686685941194238,-0.011007687333734383,0.0009030138258514543,0.0013282180320609294,0.0013838519718040228,0.0013967554437384344,0.0013840498855444937,0.0007193092258496788,7.139130488860619e-05,0.0006908002734589778,0.0013267665130536292,0.0013351478071814311,0.0007571974100518911
0.32,-0.0150122649147084,0.9998186685852142,-0.6503012228147467,-0.011932843787809112,0.0011125740250193857,0.0015886004803618205,0.0016441544658504746,0.0016536399203130325,0.0016346739001090252,0.0008514163453672754,9.020520258761107e-05,0.0008151761617816115,0.0015609095846620905,0.0015719066358089954,0.0008996186322454049
0.33,-0.01646807381911892,0.999768004202193,-0.6317421524353019,-0.012862090161076329,0.001352492144139768,0.0018827940402688162,0.0019372717884472927,0.0019423540098427363,0.0019159116832919015,0.001000273221695892,0.00011296419915770434,0.0009551126120251469,0.0018230818162957123,0.001837409666592302,0.0010615785995301136
0.34,-0.017980421779648592,0.9997066215224959,-0.6130212847052804,-0.013787294636397338,0.0016248041338658877,0.0022127803837069353,0.002265072840471904,0.0022646767785050037,0.002229431265617766,0.0011669571308975148,0.00014026318716006334,0.0011116078766864306,0.002114779381594009,0.002133284455268794,0.0012447219435468716
0.35000000000000003,-0.019543584482883673,0.9996329694185907,-0.5941687490215304,-0.01469992360669253,0.0019314085341974561,0.002580371571106731,0.0026292640944551773,0.0026222298732467408,0.0025767421287491883,0.0013524709536024502,0.0001727939392193959,0.0012855906199562405,0.0024373516115983075,0.002461025384824891,0.0014507104612984968
0.36,-0.02115116251075648,0.9995453911855565,-0.5752147637367245,-0.015591140201423794,0.0022740510339423047,0.002987193103978502,0.0030313746718854725,0.0030164642590163274,0.0029591841353503647,0.0015577483648016432,0.00021132042673266752,0.0014779266089537235,0.0027919930376194436,0.0028219835175276927,0.0016812209264147927
0.37,-0.02279613466087506,0.9994421327537728,-0.5561894391900489,-0.016451898304827982,0.002654322525255595,0.0034346729973025025,0.0034727473712954857,0.003448651975032215,0.003377920114362814,0.0017836845418582794,0.00025662516015784,0.001689451763003301,0.0031797395798626466,0.0032173628142583913,0.0019379445551258277
0.38,-0.024470874057706943,0.999321354180047,-0.5371228635318949,-0.01727303215806618,0.0030736137408904803,0.0039240037511512945,0.003954502500170614,0.003919852102630789,0.003833904214476191,0.002031086884268783,0.00030955606140313334,0.0019209227596356637,0.0036014380575780294,0.0036481850789629386,0.002222570370268396
0.39,-0.02616720590750684,0.9991811416469033,-0.5180449423781317,-0.01804535931672338,0.0035331023276164806,0.004456129984773667,0.004477526601602883,0.004430900986509631,0.004327876036349914,0.002300672087819684,0.0003710158006708323,0.0021730151199741733,0.004057742518641907,0.004115280554577034,0.0025367817040311824
