t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.26,-4.924446267429161e-16,-3.2591117304914263e-16,-4.369334755116583e-16,-4.646890511272872e-16,-1.1774435593192578e-16,-6.917209860457518e-17,-9.345822726825048e-17,1.0625181290357943e-17,7.134050294954619e-17,-5.0090140368830305e-17,-2.1358782797964437e-16,7.079840186330344e-17,1.3812735677465326e-16,1.115644035487584e-16,-9.607386500937176e-17
0.27,-5.794518510848778e-16,3.117081245895825e-17,-3.5740724615984654e-16,3.117081245895825e-17,-4.515702048402126e-17,-8.679038390746463e-17,-1.7401444868392346e-17,-2.6075062248276382e-17,-9.286191607338345e-17,1.2522535092207576e-17,-1.6290137641594704e-16,-1.509751525186065e-16,-9.703609443745265e-17,-2.5099280293039428e-17,1.0587234214320951e-16
0.28,3.9416169980710514e-16,-2.1646096373673096e-16,2.831393973445895e-16,-3.274832661992466e-16,-1.6094981250547313e-16,-8.294146619514109e-18,-1.5233040523421337e-17,1.7726705520137997e-17,7.150313327541902e-17,-7.703256435509509e-17,-1.2387009820646888e-16,1.8306753682417742e-16,-5.421010862427522e-18,-6.207057437479513e-17,3.550762114890027e-17
0.29,-1.6391103968907417e-16,-5.52489098307879e-16,-5.2888737226558513e-17,-1.3615546407344525e-16,1.691558676984728e-16,-1.0839988845781634e-16,4.77252243800963e-17,5.986828871193395e-17,-8.021063197319322e-17,7.26618743472629e-17,-3.467414072880204e-17,-1.4840694862253145e-16,9.749010409718095e-17,1.1378024173877566e-16,-1.5557623548809185e-16
0.3,2.8677825088599396e-16,3.1453382650162287e-16,-1.0179980773281083e-16,-5.3227550405460233e-17,-1.0873870163671806e-16,4.044751729728735e-17,-6.016644430936746e-17,-7.447791298617612e-17,6.213156074699744e-17,-6.406957213031528e-17,-2.5953089503871762e-18,2.2612391559900802e-17,-1.6351801640154817e-16,-9.378348791999613e-17,1.1180834903756764e-18
0.31,2.950961144280312e-16,-8.151269101971254e-16,2.257071753889589e-16,-7.266526247905192e-17,8.866402078679114e-17,-1.3164586066226336e-16,-5.4447277849506426e-18,-9.78153647489266e-18,-8.708515137310913e-17,9.300082947673316e-17,6.340211016787889e-17,1.1820852998702114e-16,1.7168680214486864e-16,3.9786831598428996e-17,1.6928292264056094e-16
0.32,-1.786028261592e-16,9.895292999708913e-17,-1.814090463134535e-17,-7.191733238662637e-17,-6.064162979277712e-17,1.8254491749572152e-16,-4.535437916073151e-17,-5.129038605508965e-17,8.161924776447713e-17,-2.6380841142235184e-17,1.2161275540203617e-16,-2.0674126066698786e-16,-1.1746907022406813e-16,1.336152122646296e-17,-7.310826071046592e-17
0.33,-1.659909290910571e-16,-1.659909290910571e-16,1.983010008640724e-16,1.1026378445824943e-16,1.8160428740779562e-16,-6.9063254870853e-17,-9.211483301390516e-19,7.359064597392724e-17,-2.1331254227178673e-17,5.704301031636723e-17,1.3805662952355753e-16,1.6685236159841473e-16,1.2192615759252026e-17,-6.943383178527676e-17,-1.6323531915540205e-16
0.34,1.9007927556154852e-16,-4.482989635979165e-16,3.357960475436003e-16,-8.4007033642787e-17,-2.609488281924213e-16,4.4362503579496726e-17,-8.980243306790092e-18,2.2027938826295335e-17,5.520452530435177e-17,2.116057708830693e-17,1.9484976512048474e-16,-5.779644612294993e-17,9.938576383313608e-17,8.466094307806732e-17,9.824396342023728e-17
0.35000000000000003,-4.6556318912885364e-17,-2.6860092383791667e-16,9.22215591652592e-17,-1.0206747014414319e-16,2.977151403009415e-17,-7.431189452851428e-17,-7.95160649564447e-17,-1.9234424166250652e-17,-5.573476792933296e-18,4.4011831939333446e-18,1.5494265484354564e-16,-7.192664974904617e-17,-1.800080538186949e-16,-3.857388041796084e-17,1.1551496521475246e-16
