t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.41000000000000003,-0.0027660357469788677,0.7734317005954016,-0.6460001201038901,-0.1190235363295582,-0.005356293438219972,-0.0001858452631231522,7.1223908941764336e-06,-1.1870428319515902e-05,-1.3414476624895588e-05,0.00032013213670695206,0.0017344635153415944,-0.0020283870094423007,-0.0001703095452000314,8.991101858091266e-06,1.3314946611775458e-05
0.42,-0.001515286874363475,0.7745922626419439,-0.6451823648322876,-0.12190414440026232,-0.005793229317102799,-0.00018398415130405077,6.077461553155583e-05,5.014103376044243e-05,0.00010297270847059448,0.0004775306142539848,0.001842230773697634,-0.002236185299431981,-0.00014465681937247954,4.6865256317640824e-05,2.7703254349364936e-05
0.43,-0.0006785494355233124,0.7773974662620097,-0.6458451579742954,-0.12469243385035672,-0.006143690253299694,-0.00017033228375562537,-9.027854640653032e-05,-1.4483295711187338e-05,0.00016003392684577067,0.0006459017561848968,0.0019521861093055592,-0.0024429888462029203,-0.0001485604326336154,-4.366429502189462e-06,-4.478497830417982e-06
0.44,-0.00023977290466820067,0.7817689761454198,-0.6477978891106837,-0.12712387871652564,-0.006501883798936514,-0.00020803301690913711,-1.844574928600018e-05,-1.622228284486882e-05,7.22484848919569e-05,0.0007232230771547221,0.00207873466889108,-0.002715411693608616,-0.00021942686066778183,-4.0936898022814194e-05,-2.028117265490126e-05
0.45,-0.0001416548502813364,0.7874718009829246,-0.6508783004675333,-0.12933353798454,-0.006866455546279515,-0.00023782897577667717,7.647753868261775e-05,5.393217645655035e-05,0.00012698583726117318,0.0008323496023025512,0.0022074896842080027,-0.0029985732180500824,-0.0002556857023336967,1.5278018725639608e-05,1.3130683631845663e-05
0.46,-0.0003609556091752064,0.7943587537133703,-0.6550041913143809,-0.131562559027471,-0.007229632475514669,-0.0002331122202664515,-6.671567603383499e-05,1.3457831049168423e-05,0.00024282174073253504,0.001019925803269317,0.0023285023058810528,-0.00322475075726264,-0.00023113143645037137,5.259424151626835e-05,3.34091092594746e-05
0.47000000000000003,-0.0009357532194020357,0.8024482855033506,-0.660131853448241,-0.13358575716211585,-0.00766142877560011,-0.00024119289274149303,-3.908791481738172e-05,-9.339891149817703e-06,0.00020179205137133005,0.0011521659702348752,0.0024615284520061453,-0.0034670082055900386,-0.00025260575539398644,-5.0214439076823325e-06,2.255667700679087e-06
0.48,-0.0019067588165035398,0.8117207569110657,-0.6662598701668234,-0.13519615298463583,-0.00801254745634733,-0.0002840504952355549,8.275041047600684e-05,5.507600565335391e-05,0.0001979384530016448,0.0012462274102195692,0.0026092247110053035,-0.003792037750588395,-0.00033391049454295496,-3.9616057420310824e-05,-1.9148252027256785e-05
0.49,-0.003228184929598088,0.8219470031332075,-0.6733201852328237,-0.13669030033128066,-0.008264760510700742,-0.0003078003855700451,-3.909925722411778e-05,4.037745637136547e-05,0.00031673990984854017,0.001413150269220953,0.0027509160420227663,-0.00410400480805756,-0.0003643415059487176,2.087538706241343e-05,1.2834374327197473e-05
0.5,-0.004769943576116431,0.8328085739276785,-0.6810383176492338,-0.13818365319061465,-0.008687235602488574,-0.00029296579948207,-5.207516510935539e-05,9.48942070699843e-06,0.0003441042107441561,0.0015603374628329059,0.0028979683028935582,-0.004328924583793803,-0.0003423965288932851,5.4704736929978015e-05,3.8853559698959206e-05
